key,source_text,target_text
block.extrautilitiesrebirth.angel_block,Angel Block,天使ブロック
block.extrautilitiesrebirth.bedrock_bricks,Bedrockium Bricks,ベドロキウムレンガ
block.extrautilitiesrebirth.bedrock_cobblestone,Bedrockium Cobblestone,ベッドロキウム丸石
block.extrautilitiesrebirth.bedrock_drum,Bedrock Drum,ベッドロックのドラム
block.extrautilitiesrebirth.bedrock_slabs,Bedrockium Slabs,ベッドロキウムスラブ
block.extrautilitiesrebirth.block_of_demon_metal,Block Of Demon Metal,悪魔金属のブロック
block.extrautilitiesrebirth.block_of_enchaned_metal,Block of Enchaned Metal,エンチャントされた金属のブロック
block.extrautilitiesrebirth.block_of_evil_infused_iron,Block of Evil Infused Iron,邪悪に浸透した鉄のブロック
block.extrautilitiesrebirth.border_stone,Border Stone,境界石
block.extrautilitiesrebirth.chandelier,Chandelier,シャンデリア
block.extrautilitiesrebirth.chisled_stone_bricks,Chislet Stone Bricks,石ブロックをノミで削る
block.extrautilitiesrebirth.chunk_loading_wand,Chunk Loading Wand,チャンクローディングワンド
block.extrautilitiesrebirth.clean_glass,Clear Glass,クリアガラス
block.extrautilitiesrebirth.compressed_cobblestone,Compressed Cobblestone,圧縮された丸石
block.extrautilitiesrebirth.compressed_dirt,Compressed Dirt,圧縮された土
block.extrautilitiesrebirth.compressed_gravel,Compressed Gravel,圧縮砂利
block.extrautilitiesrebirth.compressed_sand,Compressed Sand,圧縮された砂
block.extrautilitiesrebirth.creative_chest,Creative Chest,クリエイティブチェスト
block.extrautilitiesrebirth.creative_drum,Creative Drum,クリエイティブドラム
block.extrautilitiesrebirth.creative_energy_storage,Creative Energy Storage,クリエイティブエネルギーストレージ
block.extrautilitiesrebirth.creative_harvest,Creative Harvest,クリエイティブハーベスト
block.extrautilitiesrebirth.creative_inv_sample,Creative Inv Sample,クリエイティブ用インベントリサンプル
block.extrautilitiesrebirth.creative_spikes,Creative Spikes,クリエイティブスパイク
block.extrautilitiesrebirth.creeper_glass,Creeper Glass,クリーパーガラス
block.extrautilitiesrebirth.culinary_generator,Culinary Generator,料理発電機
block.extrautilitiesrebirth.cursed_earth,Cursed Earth,呪いの大地
block.extrautilitiesrebirth.dark_ethereal_glass,Dark Ethereal Glass,ダークエーテリアルガラス
block.extrautilitiesrebirth.dark_glass,Dark Glass,ダークガラス
block.extrautilitiesrebirth.death_generator,Death Generator,デスジェネレーター
block.extrautilitiesrebirth.diamond_edged_computational_matrix,Diamond Edged Computational Matrix,ダイヤモンドエッジの計算マトリクス
block.extrautilitiesrebirth.diamond_spike,Diamond Spike,ダイヤモンドスパイク
block.extrautilitiesrebirth.disenchantment_generator,Disenchantment Generator,エンチャント解除生成器
block.extrautilitiesrebirth.double_compressed_cobblestone,Compressed Cobblestone,圧縮された丸石
block.extrautilitiesrebirth.double_compressed_dirt,Double Compressed Dirt,二倍圧縮された土
block.extrautilitiesrebirth.double_compressed_gravel,Double Compressed Gravel,二重圧縮された砂利
block.extrautilitiesrebirth.double_compressed_sand,Double Compressed Sand,二倍圧縮された砂
block.extrautilitiesrebirth.edged_glass,Edged Glass,エッジドグラス
block.extrautilitiesrebirth.edged_stone_bricks,Edged Stone Bricks,エッジドストーンブリック
block.extrautilitiesrebirth.enchanter,Enchanter,エンチャント
block.extrautilitiesrebirth.ender_core,Ender Core,エンダーコア
block.extrautilitiesrebirth.ender_generator,Ender Generator,エンダージェネレーター
block.extrautilitiesrebirth.ender_infused_obsidian,Ender Infused Obsidian,エンダーマンに浸透した黒曜石
block.extrautilitiesrebirth.ender_lilly_endstone,Ender Lilly Endstone,エンドリリィエンドストーン
block.extrautilitiesrebirth.ender_lilly_stage_1,Ender Lilly Seed,エンダーリリー種子
block.extrautilitiesrebirth.ender_lilly_stage_2,Ender Lilly,エンダーリリー
block.extrautilitiesrebirth.ender_lilly_stage_3,Ender Lilly,エンダーリリー
block.extrautilitiesrebirth.ender_lilly_stage_4,Ender Lilly,エンダーリリー
block.extrautilitiesrebirth.ender_lilly_stage_5,Ender Lilly,エンダーリリー
block.extrautilitiesrebirth.ender_lilly_stage_6,Ender Lilly,エンダーリリー
block.extrautilitiesrebirth.ender_lilly_stage_7,Ender Lilly,エンダーリリー
block.extrautilitiesrebirth.ender_lilly_stage_8,Ender Lilly,エンダーリリー
block.extrautilitiesrebirth.ender_marker,Ender Marker,エンダーマーカー
block.extrautilitiesrebirth.ender_quarry,Ender Quarry,エンダークォーリー
block.extrautilitiesrebirth.ender_quarry_silk_touch_upgrade,Ender Quarry Silk-Touch Upgrade,エンダーキャンターのシルクタッチアップグレード
block.extrautilitiesrebirth.ender_quarry_silk_touch_upgrade_2,Ender Quarry Speed II Upgrade,エンダーキャンター速度IIアップグレード
block.extrautilitiesrebirth.ender_quarry_silk_touch_upgrade_3,Ender Quarry Speed III Upgrade,エンダークォーリー速度IIIアップグレード
block.extrautilitiesrebirth.ender_quarry_speed_upgrade,Ender Quarry Speed I Upgrade,エンダークォーリー速度Iアップグレード
block.extrautilitiesrebirth.ender_quarry_upgrade_base,Ender Quarry Upgrade Base,エンダークォーリーアップグレードベース
block.extrautilitiesrebirth.ender_quarry_world_hole_upgrade,Ender Quarry World-Hole Upgrade,エンダーキャンターの世界ホールアップグレード
block.extrautilitiesrebirth.ender_thermic_pump,Ender Thermic Pump,エンダーテルミックポンプ
block.extrautilitiesrebirth.ethereal_glass,Ethereal Glass,エターナルガラス
block.extrautilitiesrebirth.fe_transmitter,Fe Transmitter,鉄伝送器
block.extrautilitiesrebirth.ferrous_juniper_log,Ferrous Juniper Log,鉄分ジュニパーログ
block.extrautilitiesrebirth.ferrous_juniper_planks,Ferrous Juniper Log,鉄分ジュニパーログ
block.extrautilitiesrebirth.frosty_generator_1,Frosty Generator,フロスティジェネレーター
block.extrautilitiesrebirth.furnace,Furnace,炉
block.extrautilitiesrebirth.furnace_generator,Furnace Generator,炉発電機
block.extrautilitiesrebirth.glass_bricks,Glass Bricks,ガラスレンガ
