key,source_text,target_text
block.filteredchests.huge,Diamond Filtered Chest,ダイヤモンドフィルタ付きチェスト
block.filteredchests.large,Gold Filtered Chest,ゴールドフィルター付きチェスト
block.filteredchests.medium,Iron Filtered Chest,アイアンフィルター付きチェスト
block.filteredchests.normal,Filtered Chest,フィルターチェスト
block.filteredchests.small,Small Filtered Chest,小型フィルタ付きチェスト
button.filteredchests.blacklist,Blacklist,黒リスト
button.filteredchests.group_filter_type,Creative Tab,クリエイティブタブ
button.filteredchests.item_filter_type,Item,アイテム
button.filteredchests.locked,Filter Locked,フィルターがロックされています
button.filteredchests.stack_filter_type,NBT,
button.filteredchests.unlocked,Filter Unlocked,フィルターが解除されました
button.filteredchests.whitelist,Whitelist,白リスト
title.filteredchests.filter,Filter,フィルター
