key,source_text,target_text
block.framedcompactdrawers.framed_compact_drawer,Framed Compacting Drawer,フレーム付きコンパクトドロワー
block.framedcompactdrawers.framed_drawer_controller,Framed Drawer Controller,フレーム付きドロワーコントローラー
block.framedcompactdrawers.framed_full_four,Framed Drawers 2x2,フレーム付き引き出し 2x2
block.framedcompactdrawers.framed_full_one,Framed Drawer,枠付き引き出し
block.framedcompactdrawers.framed_full_two,Framed Drawers 1x2,フレーム付き引き出し 1x2
block.framedcompactdrawers.framed_half_four,Framed Half Drawers 2x2,ひきだしの骨組み 2x2
block.framedcompactdrawers.framed_half_one,Framed Half Drawer,フレーム付きハーフドロワー
block.framedcompactdrawers.framed_half_two,Framed Half Drawers 1x2,ひきだしの骨組み 1x2
block.framedcompactdrawers.framed_slave,Framed Controller Slave,フレーム付きコントローラースレーブ
block.framedcompactdrawers.framed_trim,Framed Trim,枠縁
itemGroup.framed_compacting_drawers,Framed Compacting Drawers,フレーム付きコンパクトドロワー
