key,source_text,target_text
options.fsb-interop.debug_mode,Debug Mode,デバッグモード
options.fsb-interop.debug_mode.tooltip,"If enabled, the mod will output conversion results and error logs in conversion process.",有効にすると、モッドは変換プロセス中の結果とエラー原木を出力します。
options.fsb-interop.dump_data,Dump Data,データを捨てる
options.fsb-interop.dump_data.tooltip,"Dump converted skies from FSB Interop to "".minecraft/fsb-interop-dump"" and open the directory. (Note: The original directory will be deleted.)","FSB Interop から変換されたスカイをダンプして、"".minecraft/fsb-interop-dump"" に保存してディレクトリを開きます。(注: 元のディレクトリは削除されます。)"
options.fsb-interop.interoperability,Interoperability,相互運用性
options.fsb-interop.interoperability.tooltip,"If enabled, the mod will attempt to read/load MCPatcher/OptiFine Custom Skies.",有効にすると、モッドは MCPatcher/OptiFine カスタムスカイを読み込もうとします。
options.fsb-interop.prefer_fsb_native,Prefer FSB Native,FSBネイティブを優先
options.fsb-interop.process_mcpatcher,Process MCPatcher,MCPatcher処理
options.fsb-interop.process_mcpatcher.tooltip,"If enabled, the mod will attempt to read/load MCPatcher Custom Skies.",有効にすると、mod は MCPatcher Custom Skies を読み込もうとします。
options.fsb-interop.process_optifine,Process OptiFine,プロセスOptiFine
options.fsb-interop.process_optifine.tooltip,"If enabled, the mod will attempt to read/load OptiFine Custom Skies.",有効にすると、Mod は OptiFine カスタムスカイズを読み込もうとします。
options.fsb-interop.title,FabricSkyBoxes Interop Configuration,FabricSkyBoxes 互換設定
options.fsb-interop.prefer_fsb_native.tooltip,"If enabled, the mod will not process/convert MCPatcher/OptiFine if FSB skies are detected.",
