key,source_text,target_text
sidebar_button.ftbessentials.trash_can,Trash Can,ごみ箱
ftbessentials.chat.status.start_record,is now recording!,録画中！
ftbessentials.chat.status.start_stream,is now streaming!,配信中！
ftbessentials.chat.status.stop_record,is no longer recording!,録画終了！
ftbessentials.chat.status.stop_stream,is no longer streaming!,配信終了！
ftbessentials.click_to_teleport,Click to teleport,クリックしてテレポート
ftbessentials.dimension_not_found,Dimension not found!,ディメンションが見つかりません！
ftbessentials.duration.expected_format,Invalid duration format. Expected: <number>[smhdw],期間の形式が無効です。期待される値: <number>[smhdw]
ftbessentials.duration.indefinite,until further notice,追って通知があるまで
ftbessentials.enderchest.unable,Unable to open enderchest inventory!,エンダーチェストのインベントリを開けません！
ftbessentials.feedback.limit_radius,Limiting radius to %s,半径を %s に制限
ftbessentials.flight.disabled,Flight disabled,飛行無効
ftbessentials.flight.enabled,Flight enabled,飛行有効
ftbessentials.god_mode.disabled,God mode disabled,神モード無効
ftbessentials.god_mode.enabled,God mode enabled,神モード有効
ftbessentials.home.deleted,Home deleted!,ホームが削除されました！
ftbessentials.home.for_player,Homes for %s,%s のホーム
ftbessentials.home.not_found,Home not found!,ホームが見つかりません！
ftbessentials.home.set,Home set!,ホーム設定！
ftbessentials.home.show_home,%s: %s away,%s: %s 離れています
ftbessentials.home.too_many,Can't add any more homes!,これ以上ホームを追加できません！
ftbessentials.home.y_too_low,Y-level too low! Homes must be set above Y=%s,Y レベルが低すぎます。ホームは Y=%s より上に設定する必要があります。
ftbessentials.jump.failed,Can't jump: %s,ジャンプできません: %s
ftbessentials.kit.added_items,Added item(s) from kit '%s' to focused inventory,キット 「%s」 のアイテムをフォーカスされたインベントリに追加しました
ftbessentials.kit.already_exists,Kit '%s' already exists,キット「%s」は既に存在します
ftbessentials.kit.autogrant_modified,Kit '%s' autogrant modified: %s,キット「%s」の自動付与が変更されました: %s
ftbessentials.kit.autogranted,Autogranted on player login,プレイヤーログイン時に自動的に付与されます
ftbessentials.kit.cant_store,Can't store kit in inventory: %s,キットをインベントリに保存できません: %s
ftbessentials.kit.cooldown,Cooldown: %s,クールダウン: %s
ftbessentials.kit.cooldown.none,No Cooldown,クールダウンなし
ftbessentials.kit.cooldown_modified,Kit '%s' cooldown modified: %s,キット「%s」のクールダウンが変更されました: %s
ftbessentials.kit.cooldown_reset,Cooldown for %s reset for UUID %s,UUID %s の %s のクールダウンがリセットされました
ftbessentials.kit.cooldown_reset_all,Cooldown for %s reset for all players,全プレイヤーの %s のクールダウンがリセットされました
ftbessentials.kit.count,%s kit(s),%s キット
ftbessentials.kit.created,Kit '%s' created,キット「%s」が作成されました
ftbessentials.kit.deleted,Kit '%s' deleted,キット「%s」が削除されました
ftbessentials.kit.gave_to_players,Kit '%s' given to %s player(s),キット「%s」が%s人のプレイヤーに与えられました
ftbessentials.kit.items,Items:,アイテム:
ftbessentials.kit.no_items,No items to add to kit!,キットに追加するアイテムがありません。
ftbessentials.kit.no_permission,No permission to give kit '%s',キット「%s」を付与する権限がありません
ftbessentials.kit.no_such_kit,No such kit: '%s',そのようなキットはありません: 「%s」
ftbessentials.kit.not_enough_space,Not enough space in inventory to store kit,インベントリにキットを保管するのに十分なスペースがありません
ftbessentials.kit.not_looking_at_block,Not looking at a block,ブロックを見ない
ftbessentials.kit.on_cooldown,"Kit ""%s"" is on cooldown - %s remaining",キット「%s」はクールダウン中です - 残り %s
ftbessentials.kit.one_time,One-Time Use,1回限りの使用
ftbessentials.kit.one_time_only,"Kit ""%s"" is a one-time use kit (already given to ""%s"")",キット「%s」は使い捨てキットです (すでに「%s」に渡されています)
ftbessentials.kit_name,Kit Name: %s,キット名: %s
ftbessentials.leaderboard,Leaderboard [ %s ],リーダーボード [ %s ]
ftbessentials.leaderboard.no_data,No data!,データがありません！
ftbessentials.messages.kick_self,You kicked yourself!,自分自身をキックした！
ftbessentials.mute_expiry,Mute expiry in: %s,ミュートの有効期限: %s
ftbessentials.muted,"You can't use chat, you've been muted by an admin!",チャットは使用できません。管理者によってミュートされています！
ftbessentials.muted.muted,Player %s has been muted by %s - duration: %s,プレイヤー %s は %s によってミュートされました - 期間: %s
ftbessentials.muted.unmuted,Player %s has been unmuted by %s,プレイヤー %s は %s によってミュート解除されました
ftbessentials.near.players_within,%s player(s) within %sm,%sm 内の %s 人のプレイヤー
ftbessentials.nick.changed,Nickname changed to '%s',ニックネームを「%s」に変更しました
ftbessentials.nick.reset,Nickname reset!,ニックネームをリセット！
ftbessentials.nick.too_long,Nickname too long!,ニックネームが長すぎます！
ftbessentials.none,None,なし
ftbessentials.rtp.failed,Could not find a valid location to teleport to!,テレポート先の有効な場所が見つかりませんでした。
ftbessentials.rtp.found,Found good location after %s attempt(s) @ %s,%s 回の試行後に適切な場所が見つかりました @ %s
ftbessentials.rtp.looking,Looking for random location...,ランダムな場所を探しています...
ftbessentials.rtp.not_here,You may not use /rtp in this dimension!,このディメンションでは /rtp を使用できません！
ftbessentials.speed_boost,Speed boost for %s (%s) = %s%%,%s (%s) のスピードブースト = %s%%
ftbessentials.speed_boost.none,No speed boost for %s,%s の速度ブーストはありません
ftbessentials.teleport.history_empty,Teleportation history is empty!,テレポート履歴が空です！
ftbessentials.teleport.interrupted,Teleportation interrupted!,テレポートが中断されました！
ftbessentials.teleport.max_less_than_min,Maximum teleport distance cannot be less than minimum!,最大テレポート距離は最小距離より小さくすることはできません！
ftbessentials.teleport.not_from_here,Teleportation from your dimension is not allowed!,あなたのディメンションからのテレポートは許可されていません！
ftbessentials.teleport.not_to_here,Teleportation to this dimension is not allowed!,この次元へのテレポートは許可されていません！
ftbessentials.teleport.notify,Teleporting in %ss,テレポート中：%s秒
ftbessentials.teleport.on_cooldown,Can't teleport yet! Cooldown: %s,まだテレポートできません！ クールダウン: %s
ftbessentials.teleport_prevented,Teleportation was prevented!,テレポートは阻止されました！
ftbessentials.tp_offline.cant_update,Can't update dat file: %s,dat ファイルを更新できません: %s
ftbessentials.tp_offline.moved,Offline player %s moved to %s in %s,オフラインプレイヤー %s は %s の %s に移動されました
ftbessentials.tp_offline.player_is_online,Player is online! Use regular /tp command instead,プレイヤーはオンラインです！ 代わりに通常の /tp コマンドを使用してください
ftbessentials.tpa.accept,Accept ✔,承認 ✔
ftbessentials.tpa.accept.tooltip,Click to Accept,クリックして承認
ftbessentials.tpa.already_sent,Request already sent!,リクエストはすでに送信されています！
ftbessentials.tpa.click_one,Click one of these: ,これらのいずれかをクリックしてください: 
ftbessentials.tpa.denied,Request denied!,リクエストは拒否されました！
ftbessentials.tpa.deny,Deny ❌,拒否 ❌
ftbessentials.tpa.deny.tooltip,Click to Deny,クリックして拒否
ftbessentials.tpa.expired,TPA request expired!,TPA リクエストの有効期限が切れました！
ftbessentials.tpa.gone_offline,Player has gone offline!,プレイヤーがオフラインになりました。
