key,source_text,target_text
ftbultimine.change_shape,Hold Shift + (Scroll Mouse or Arrow up/down) to change shape,シフト + (マウスをスクロールまたは上下キー)を押してシェイプを変更
ftbultimine.change_shape.next,Cycle to Next Shape,次のシェイプに切り替え
ftbultimine.change_shape.no_shift,Scroll Mouse or Up/Down keys to change shape,マウスをスクロールまたは上下キーを押してシェイプを変更
ftbultimine.change_shape.prev,Cycle to Previous Shape,前のシェイプに切り替え
ftbultimine.change_shape.short,Hold Shift for menu,シフトを押してメニューを開く
ftbultimine.client_settings,Client Settings,クライアント設定
ftbultimine.client_settings.general,General,一般
ftbultimine.client_settings.general.require_ultimine_key_for_cycling,Require Ultimine Key for Shape Cycling,シェイプ切り替えにUltimineキーが必須
ftbultimine.client_settings.general.shape_feedback_hotbar_message,Hotbar Message on Shape Change,シェイプ変更時のホットバーメッセージ
ftbultimine.client_settings.overlay,Overlay Panel,オーバーレイパネル
ftbultimine.client_settings.overlay.overlay_inset_x,Overlay Panel X Inset,オーバーレイパネルX インセット
ftbultimine.client_settings.overlay.overlay_inset_x.tooltip,"Inset is toward center of screen.
Ignored if X pos is center.","インセットは画面の中央に向かいます。
X 位置が中央の場合は無視されます。"
ftbultimine.client_settings.overlay.overlay_inset_y,Overlay Panel Y Inset,オーバーレイパネルY インセット
ftbultimine.client_settings.overlay.overlay_inset_y.tooltip,"Inset is toward center of screen.
Ignored if Y pos is center.","インセットは画面の中央に向かいます。
Y 位置が中央の場合は無視されます。"
ftbultimine.client_settings.overlay.overlay_pos,Overlay Panel Position,オーバーレイパネルの位置
ftbultimine.client_settings.overlay.require_sneak_for_menu,Require Sneak for Shape Menu,シェイプメニューがスニークを必須
ftbultimine.client_settings.overlay.require_sneak_for_menu.tooltip,"When the Ultimine key is pressed, must the player also Sneak to show the shapes menu?",Ultimineキーが押されたとき、プレイヤーがスニークしてシェイプメニューを表示する必要がありますか？
ftbultimine.client_settings.overlay.shape_menu_context_lines,Shape Menu Context Lines,シェイプメニューコンテキスト行数
ftbultimine.client_settings.overlay.shape_menu_context_lines.tooltip,"When displaying the shape selection menu by holding the Ultimine key and sneaking at the same time, the number of shape names to display above and below the selected shape",Ultimineキーを押しながらスニークする同時にシェイプ選択メニューを表示するとき、選択されたシェイプの上下に表示するシェイプ名の数
ftbultimine.client_settings.rendering,Rendering,レンダリング
ftbultimine.client_settings.rendering.preview_line_alpha,Render Outline Alpha,アウトラインレンダーアルファ
ftbultimine.client_settings.rendering.preview_line_alpha.tooltip,Opacity of preview lines which are 'inside' blocks,ブロック「内部」のプレビュー線の不透明度
