key,source_text,target_text
ftbutilities,FTB Utilities Common,FTBユーティリティ共通
ftbutilities.auto_shutdown,Auto Shutdown,自動シャットダウン
ftbutilities.auto_shutdown.enabled_singleplayer,Enabled in Singleplayer,シングルプレイで有効化
ftbutilities.auto_shutdown.times,Shutdown Times,シャットダウン時間
ftbutilities.afk,AFK,退席中
ftbutilities.afk_kicked,You will be kicked after: %s,あなたはキックされます: %s
ftbutilities.afk.enabled_singleplayer,Enabled in Singleplayer,シングルプレイで有効化
ftbutilities.afk.notification_timer,Notification Timer,通知タイマー
ftbutilities.afk.log_afk,Log AFK,退席ログ
ftbutilities.server_info,Server Info,サーバー情報
ftbutilities.server_info.difficulty,Difficulty,難易度
ftbutilities.server_info.admin_quick_access,Admin Quick Access,管理者クイックアクセス
ftbutilities.chat,Chat,チャット
ftbutilities.chat.add_nickname_tilde,Add Nickname Tilde,ニックネームにチルダを追加
ftbutilities.commands,Commands,コマンド
ftbutilities.login,Login,ログイン
ftbutilities.login.enable_motd,Enable MOTD,MOTDを有効化
ftbutilities.login.enable_starting_items,Enable Starting Items,開始時アイテムの有効化
ftbutilities.login.enable_global_badges,Enable Global Badges,グローバルバッジの有効化
ftbutilities.login.enable_event_badges,Enable Event Badges,イベントバッジの有効化
ftbutilities.login.motd,MOTD,MOTD
ftbutilities.login.starting_items,Starting Items,開始時アイテム
ftbutilities.world,World,ワールド
ftbutilities.world.blocked_claiming_dimensions,Blocked Claiming Dimensions,領有禁止ディメンション
ftbutilities.world.chunk_claiming,Chunk Claiming,チャンクの領有
ftbutilities.world.chunk_loading,Chunk Loading,チャンクのロード
ftbutilities.world.safe_spawn,Safe Spawn,セーフスポーン
ftbutilities.world.spawn_area_in_sp,Spawn Area In Singleplayer,シングルプレイのスポーンエリア
ftbutilities.world.spawn_radius,Spawn Radius,スポーン範囲
ftbutilities.world.spawn_dimension,Spawn Dimension,スポーンディメンション
ftbutilities.world.unload_erroring_chunks,Unload Erroring Chunks,エラーのあるチャンクのアンロード
ftbutilities.world.rtp_min_distance,Min /rtp Distance,最小 /rtp 距離
ftbutilities.world.rtp_max_distance,Max /rtp Distance,最大 /rtp 距離
ftbutilities.world.forced_spawn_dimension_time,Forced Spawn Dimension Time,強制スポーンディメンションの時間
ftbutilities.world.forced_spawn_dimension_weather,Forced Spawn Dimension Weather,強制スポーンディメンションの気候
ftbutilities.world.disable_player_suffocation_damage,Disable Player Suffocation Damage,プレイヤーの窒息によるダメージの無効化
ftbutilities.world.show_playtime,Show Playtime in Top-Left Corner,左上にプレイタイムを表示
ftbutilities.world.logging,Logging,ログ
ftbutilities.world.logging.include_creative_players,Include Creative Players,クリエイティブプレイヤーを含める
ftbutilities.world.logging.include_fake_players,Include Fake Players,フェイクプレイヤーを含める
ftbutilities.world.logging.block_placed,Block Placed,ブロックの設置
ftbutilities.world.logging.block_broken,Block Broken,ブロックの破壊
ftbutilities.world.logging.item_clicked_in_air,Item Clicked in Air,アイテムでのクリック
ftbutilities.ranks,Ranks,ランク
ftbutilities.ranks.enabled,Enabled,有効
ftbutilities.ranks.override_chat,Override Chat,チャットをオーバーライド
ftbutilities.ranks.override_commands,Override Commands,コマンドを上書き
ftbutilities.ranks.crash_client_side_permissions,Crash Client-Side Permissions,Clientサイド権限のクラッシュ
ftbutilities.ranks.load_from_config_folder,Load From Config Folder,Configフォルダからロード
ftbutilities.ranks.print_command_errors,Print Command Errors,コマンドエラーの出力
ftbutilities.ranks.tags.default_player_rank,Default Player Rank,デフォルトのプレイヤーランク
ftbutilities.ranks.tags.default_op_rank,Default OP Rank,デフォルトのOPランク
ftbutilities.debugging.log_chunkloading,Log Chunkloading,チャンクロードのログ
ftbutilities_client,FTB Utilities Client,FTBユーティリティクライアント
ftbutilities.general.render_badges,Show Badges,バッジを表示
ftbutilities.general.journeymap_overlay,Enable Journeymap Integration,Journeymap統合を有効にする
ftbutilities.general.scan_items_whitelist,/scan_items Whitelist,/scan_items ホワイトリスト
ftbutilities.general.scan_items_blacklist,/scan_items Blacklist,/scan_items ブラックリスト
ftbutilities.general.show_shutdown_timer,Show Shutdown Timer,シャットダウンタイマーを表示
ftbutilities.general.shutdown_timer_start,Shutdown Timer Start,シャットダウンタイマー開始
ftbutilities.general.button_daytime,Button Daytime,ボタン：日中
ftbutilities.general.button_nighttime,Button Nighttime,夜間モード
permission.ftbutilities.badge,Badge,バッジ
permission.ftbutilities.badge.tooltip,Badge (icon on chest). Must be an URL,バッジ(胸のアイコン)。 URLでなければいけません。
permission.ftbutilities.homes.max,Max Homes,ホームの最大数
permission.ftbutilities.claims.max_chunks,Max Claimable Chunks,最大領有可能チャンク数
permission.ftbutilities.claims.max_chunks.tooltip,Max amount of chunks that player can claim\n0 - Disabled,プレイヤーが領有可能なチャンクの最大数\n0 - 無効
permission.ftbutilities.claims.blocked_dimensions,Blocked Claiming Dimensions,領有が禁止されたディメンション
