key,source_text,target_text
fc.button.accept,Accept,承認
fc.button.add,Add New Entry,新規エントリを追加
fc.button.alert.active,Forwarded settings,転送された設定
fc.button.alert.inactive,No forwarded settings,転送された設定なし
fc.button.apply,Apply Changes,変更を適用
fc.button.apply.desc,Applies all changes and saves configs,すべての変更を適用し、設定を保存します
fc.button.cancel,Cancel,キャンセル
fc.button.changelog,Change History,変更履歴
fc.button.changelog.desc,Lists all changes just made to configs,設定に加えた変更をすべて一覧表示
fc.button.changes,Changes...,変更...
fc.button.changes.desc,Change management menu for applying and reverting changes.,変更を適用および元に戻すための変更管理メニュー
fc.button.changes.message,%s Changes Made Button,%s 件の変更が行われました
fc.button.changes.message.noChanges,No Changes Made Button,変更が行われていません
fc.button.changes.title,Manage Changes,変更を管理
fc.button.clear,Clear Keybind,キーバインドをクリア
fc.button.click.copy_to_clipboard,"copies ""%s"" to your clipboard",「%s」をクリップボードにコピー
fc.button.click.open_file,Opens a file: %s,ファイルを開く: %s
fc.button.click.open_url,Opens a link to %s,%s へのリンクを開く
fc.button.click.run_command,"runs command ""%s""",コマンド「%s」を実行
fc.button.compound,Add Keybind Option,キーバインドオプションを追加
fc.button.config,Open Config,設定を開く
fc.button.config_inactive,§cConfig not found§r,§c設定が見つかりません§r
fc.button.copy,Copy,コピー
fc.button.delete,Delete Entry,エントリを削除
fc.button.deny,Deny,拒否
fc.button.down,Decrement,減分
fc.button.forward,Forward Setting,設定を転送
fc.button.forward.active,Forward this entry to another player,このエントリを別のプレイヤーに転送
fc.button.forward.confirm,Forward,前進
fc.button.forward.inactive,No-one to forward settings to,設定を転送するプレイヤーがいません
fc.button.goto,Go To...,移動...
fc.button.goto.narration,Go To: %s,移動: %s
fc.button.info,Screen Usage Information,画面使用情報
fc.button.info.alert,§o[!]§r - Settings marked with an icon require an action if changed.,§o[!]§r - アイコン付きの設定は変更時にアクションが必要です
fc.button.info.back,Back,戻る
fc.button.info.back.desc,Backs out to the previous config screen,前の設定画面に戻る
fc.button.info.context_keyboard,Context Menu,コンテキストメニュー
fc.button.info.context_keyboard.desc,"Opens a 'right-click' menu, if applicable",右クリックメニューを開く(該当する場合)
