key,source_text,target_text
advancements.gobber2.gobber2_armor.desc,Make a Piece of Gobber Armor,ゴブラーアーマーの一部を作る
advancements.gobber2.gobber2_armor.title,The Right Suit Makes all the Difference,正しいスーツがすべてを変える
advancements.gobber2.gobber2_armor_dragon.desc,Make a Piece of Dragon Armor,ドラゴンアーマーの一部を作る
advancements.gobber2.gobber2_armor_dragon.title,Unbreakable Armor With Creative Flight,クリエイティブフライト付き耐久性無限防具
advancements.gobber2.gobber2_armor_end.desc,Make a Piece of End Gobber Armor,エンドゴッバーレザーの一片を作る
advancements.gobber2.gobber2_armor_end.title,Unbreakable Armor With a Glider,グライダー付きの破壊不可能な防具
advancements.gobber2.gobber2_armor_nether.desc,Make a Piece of Nether Gobber Armor,ネザー・ゴブバー・アーマーの一部を作成する
advancements.gobber2.gobber2_armor_nether.title,Weather the Worst the Nether can Muster,ネザーで最悪の天候に耐えろ
advancements.gobber2.gobber2_bow.desc,Craft a Gobber Bow,ゴッバーの弓を製作
advancements.gobber2.gobber2_bow.title,A Better Bow,より良い弓
advancements.gobber2.gobber2_bow_end.desc,Craft a End Gobber Bow,エンドゴッバー弓をクラフト
advancements.gobber2.gobber2_bow_end.title,An Unbreakable and Deadly Bow,破壊不能で致命的な弓
advancements.gobber2.gobber2_bow_nether.desc,Craft a Nether Gobber Bow,ネザーゴッバー弓をクラフト
advancements.gobber2.gobber2_bow_nether.title,An Even Better Bow,さらに優れた弓
advancements.gobber2.gobber2_caving_dim.desc,Travel to Caving Dimension,洞窟ディメンションへ移動
advancements.gobber2.gobber2_caving_dim.title,Watch Your Step!,足元に気をつけて！
advancements.gobber2.gobber2_dragon_elytra.desc,Make a Dragon Elytra,ドラゴンのエリトラを作成する
advancements.gobber2.gobber2_dragon_elytra.title,A step towards flight,飛行への一歩
advancements.gobber2.gobber2_dragon_star.desc,Make a Dragon Star,ドラゴンスターを作成
advancements.gobber2.gobber2_dragon_star.title,Another step towards flight,飛行への一歩
advancements.gobber2.gobber2_excavator.desc,Craft a Gobber Excavator,ゴッバー掘削機を作成
advancements.gobber2.gobber2_excavator.title,The Big Digger,大掘り機
advancements.gobber2.gobber2_glob.desc,Obtain a Gobber Glob,ゴッバーのグロブを入手する
advancements.gobber2.gobber2_glob.title,A Glob by Any Other Name is Good,別名であってもグローブは良い
advancements.gobber2.gobber2_glob_end.desc,Smelt an End Gobber Ore,エンドゴッバー鉱石を精錬する
advancements.gobber2.gobber2_glob_end.title,Is There no End to Gobber?,ゴッバーに終わりはない？
advancements.gobber2.gobber2_glob_nether.desc,Smelt a Nether Gobber Ore,ネザーゴッバー鉱石を精錬
advancements.gobber2.gobber2_glob_nether.title,Gobber Goes Nether,ゴッバーがネザーへ
advancements.gobber2.gobber2_hammer.desc,Craft a Gobber Hammer,ゴッバーハンマーを製造
advancements.gobber2.gobber2_hammer.title,Make a Tunnel to Nowhere,どこにもないトンネルを作成
advancements.gobber2.gobber2_hammer_end.desc,Craft a End Gobber Hammer,エンドゴッバーハンマーをクラフト
advancements.gobber2.gobber2_hammer_end.title,An unbreakable hammer,壊せないハンマー
advancements.gobber2.gobber2_hunting_dim.desc,Travel to Hunting Dimension,狩猟の次元へ移動
advancements.gobber2.gobber2_hunting_dim.title,"Frankly, you are proably going to die!",正直に言うと、あなたはおそらく死ぬでしょう！
advancements.gobber2.gobber2_ingot.desc,Craft a Gobber Ingot,ゴッバーのインゴットを作成する
advancements.gobber2.gobber2_ingot.title,Gobber Crafting,ゴッバーの製造
advancements.gobber2.gobber2_ingot_end.desc,Craft a End Gobber Ingot,エンドゴッバーインゴットを作成
advancements.gobber2.gobber2_ingot_end.title,A Supreme Material,最高の素材
advancements.gobber2.gobber2_ingot_nether.desc,Craft a Nether Gobber Ingot,ネザー・ゴブラーの鋳鉱を製造
advancements.gobber2.gobber2_ingot_nether.title,A Stronger Material,より強い素材
advancements.gobber2.gobber2_links_end.desc,Craft End Gobber Links,エンドゴッバーロックリンクをクラフト
advancements.gobber2.gobber2_links_end.title,A Link to the Best Armor,最高の防具へのリンク
advancements.gobber2.gobber2_medallion.desc,Craft a Gobber Medallion,ゴッバーのメダリオンを作成
advancements.gobber2.gobber2_medallion.title,The Beginning of Something Magical,魔法の始まり
advancements.gobber2.gobber2_medallion_breathing.desc,Craft Medallion of Breathing,呼吸のメダルをクラフトする
