key,source_text,target_text
block.gobberdelight.ender_gooey_apple_crate,Ender Gooey Apple Crate,エンダーグゥイーリーリンゴボックス
block.gobberdelight.ender_gooey_pie,Ender Gooey Pie,エンダーゴーイーピー
block.gobberdelight.ender_gooey_pie_1,Ender Gooey Pie,エンダーゴーイーピー
block.gobberdelight.ender_gooey_pie_2,Ender Gooey Pie,エンダーゴーイーピー
block.gobberdelight.ender_gooey_pie_3,Ender Gooey Pie,エンダーゴーイーピー
block.gobberdelight.gooey_apple_crate,Gooey Apple Crate,粘着りなリンゴの箱
block.gobberdelight.gooey_pie,Gooey Pie,ゴーイパイ
block.gobberdelight.gooey_pie_1,Gooey Pie,ゴーイパイ
block.gobberdelight.gooey_pie_2,Gooey Pie,ゴーイパイ
block.gobberdelight.gooey_pie_3,Gooey Pie,ゴーイパイ
block.gobberdelight.nether_gooey_apple_crate,Nether Gooey Apple Crate,ネザー・グゥイーアップルクレート
block.gobberdelight.nether_gooey_pie,Nether Gooey Pie,ネザーグーイーパイ
block.gobberdelight.nether_gooey_pie_1,Nether Gooey Pie,ネザーグーイーパイ
block.gobberdelight.nether_gooey_pie_2,Nether Gooey Pie,ネザーグーイーパイ
block.gobberdelight.nether_gooey_pie_3,Nether Gooey Pie,ネザーグーイーパイ
item.gobberdelight.ender_gobber_knife,Ender Gobber Knife,エンダーゴッバー ナイフ
item.gobberdelight.ender_gobburger,Ender Gobburger,エンダーゴーバッガー
item.gobberdelight.ender_goo,Ender Goo,エンダーグー
item.gobberdelight.ender_gooey_apple,Ender Gooey Apple,エンド粘着りなリンゴ
item.gobberdelight.ender_gooey_apple_cider,Nether Gooey Apple Cider,ネザー・グゥイーアップルサイダー
item.gobberdelight.ender_gooey_apple_cider.description_1,§9Clears Levitation Effect,§9浮遊効果を消去
item.gobberdelight.ender_gooey_beef,Ender Gooey Beef,エンダーグーイービーフ
item.gobberdelight.ender_gooey_beef_slice,Ender Gooey Beef Slice,エンダー粘土牛肉スライス
item.gobberdelight.ender_gooey_beefstew,Ender Gooey Beefstew,エンダー・グーニービーフステュー
item.gobberdelight.ender_gooey_bread,Ender Gooey Bread,エンド粘着りなパン
item.gobberdelight.ender_gooey_pie_slice,Ender Gooey Pie Slice,エンダーグゥイーピーのスライス
item.gobberdelight.ender_gooey_pie_slice.description_0,§9Levitation (00:30),§9浮遊 (00:30)
item.gobberdelight.gobber_knife,Gobber Knife,ゴッバーナイフ
item.gobberdelight.gobburger,Gobburger,ゴブバーガー
item.gobberdelight.gooey_apple_cider,Gooey Apple Cider,粘着りなリンゴジュース
item.gobberdelight.gooey_apple_cider.description_1,§9Minor Instant Health,§9小規模即時回復
item.gobberdelight.gooey_beef_slice,Gooey Beef Slice,グーイービーフスライス
item.gobberdelight.gooey_fruit_salad,Gooey Fruit Salad,粘着りなフルーツサラダ
item.gobberdelight.gooey_fruit_salad.description_0,§9Regeneration III (00:10),§9再生 III (00:10)
item.gobberdelight.gooey_pie_slice,Gooey Pie Slice,ゴーイーピー・スライス
item.gobberdelight.gooey_pie_slice.description_0,§9Speed II (00:30),§9スピード II (00:30)
item.gobberdelight.nether_gobber_knife,Nether Gobber Knife,下界ゴブバーナイフ
item.gobberdelight.nether_gobber_knife.description_0,§aNot bad at getting Wither Skeleton skulls,§aウィザースケルトンの頭蓋骨を集めるのは悪くない
item.gobberdelight.nether_gobburger,Nether Gobburger,ネザーゴブガー
item.gobberdelight.nether_gooey_apple_cider,Nether Gooey Apple Cider,ネザー・グゥイーアップルサイダー
item.gobberdelight.nether_gooey_apple_cider.description_0,§9Absorption III (02:00),§9吸収 III (02:00)
item.gobberdelight.nether_gooey_apple_cider.description_1,§9Clears Wither Effect,§9ウィザー効果を消去
item.gobberdelight.nether_gooey_beef_slice,Nether Gooey Beef Slice,ネザーグゥイーリービーフスライス
item.gobberdelight.nether_gooey_pie_slice,Nether Gooey Pie Slice,ネザー粘土パイスライス
item.gobberdelight.nether_gooey_pie_slice.description_0,§9Fire Resistance (00:30),§9火炎耐性 (00:30)
item_group.gobberdelight.gobber_delight_tab,Gobber Delight,ゴブバーの楽しみ
