key,source_text,target_text
advancements.bag_success.descr,Open a bomb bag,爆弾バッグを開く
advancements.bag_success.title,Mystery Bag,謎めいたバッグ
advancements.barrel_success.descr,Find a goblin in a barrel,樽の中のゴブリンを見つける
advancements.barrel_success.title,Kinda Sus,ちょっと怪しい
advancements.blazing_liquor_success.descr,Drink your first blazing liquor,初めての炎のリキュールを飲む
advancements.blazing_liquor_success.title,This is Fine !,これくらい大丈夫
advancements.bomb_success.descr,Obtain a bomb,爆弾を入手する
advancements.bomb_success.title,Bim Bam Boom !,ドーンッ！
advancements.deadly_liquor_success.descr,Drink your first deadly liquor,初めての致命的なリキュールを飲む
advancements.deadly_liquor_success.title,I Don't Feel so Good...,気分が悪いような…
advancements.droblin_success.descr,Obtain a Droblin,ドロブリンを入手する
advancements.droblin_success.title,Best Slave Forever,最高の下僕たち
advancements.engineer_success.descr,Use the engineer workbench,エンジニアワークベンチを使う
advancements.engineer_success.title,This is Goblin Musk,これはゴブリン・マスク
advancements.fire_success.descr,Obtain a fire bomb,火炎爆弾を入手する
advancements.fire_success.title,It's Time for Marshmallow,マシュマロタイム
advancements.glitteron_armor_success.descr,Obtain an armor for your Glitteron,グリッターロン用の防具を入手する
advancements.glitteron_armor_success.title,Everyone should Wear an Armor,みんなが防具を着るべき
advancements.glitteron_success.descr,Tame a Glitteron,グリッターロンを従わせる
advancements.glitteron_success.title,A Bug's Life,虫の人生
advancements.goblin_liquor_success.descr,Drink your first goblin's liquor,初めてのゴブリンのリキュールを飲む
advancements.goblin_liquor_success.title,Sip by Sip,一口ずつ
advancements.goblins_disguise_success.descr,Craft a disguise to blend in with the goblins,ゴブリンに扮するための変装を作成する
advancements.goblins_disguise_success.title,Hiding Among Fools,愚か者に紛れる
advancements.goblins_encounter_success.descr,Find your first goblin's structure,最初のゴブリンの構造物を見つける
advancements.goblins_encounter_success.title,Goblin's Tyranny,ゴブリンの暴虐
advancements.goblins_meat_success.descr,Try to eat goblin meat,ゴブリン肉を食べてみる
advancements.goblins_meat_success.title,Goblin Eater,ゴブリン食い
advancements.goblins_slayer_success.descr,We do not come in peace,平和的ではありません
advancements.goblins_slayer_success.title,Goblin Slayer,ゴブリンスレイヤー
advancements.liquor_success.descr,Purchase some liquor from the bartender,バーテンダーからリキュールを購入する
advancements.liquor_success.title,My Eyes are Up Here !,目はここに上げて
advancements.merchant_success.descr,Purchase something from the merchant,商人から何かを購入する
advancements.merchant_success.title,Have You Seen the Princess?,王女を見かけましたか？
advancements.mushroom_success.descr,Give a mushroom stew to the merchant,きのこシチューを商人に与える
advancements.mushroom_success.title,Seeing a Rainbow Road ?,虹の道が見えますか？
advancements.poison_success.descr,Obtain a poison bomb,毒爆弾を入手する
advancements.poison_success.title,Oh Right. The Poison.,そっか。毒か。
advancements.prototype_success.descr,Obtain the goblin's prototype,ゴブリンのプロトタイプを入手する
advancements.prototype_success.title,This is Mine Now,これは今からもらう
advancements.skybound_success.descr,Equip the full Skybound set,スカイバウンド一式を装備する
advancements.skybound_success.title,To the Sky,空へ
advancements.upgrade_success.descr,Upgrade the goblin's prototype,ゴブリンのプロトタイプをアップグレードする
advancements.upgrade_success.title,"Upgrades, People. Upgrades.",アップグレード。ちゃんとやろうぜ
advancements.wake_up_success.descr,Wake up a sleeping drunk goblin,寝ている酔ったゴブリンを起こす
advancements.wake_up_success.title,Do Not Disturb,邪魔しないで
advancements.wanderer_success.descr,Trade a gold coin with the wanderer goblin,放浪者ゴブリンと金貨を交換する
advancements.wanderer_success.title,Trade Up and Take my Money !,値上げしてぼろ儲け
block.goblins_tyranny.alarm_horn,Alarm Horn,警報ホーン
block.goblins_tyranny.bear_hide,Hide,非表示
block.goblins_tyranny.bear_stool,Stool,スツール
block.goblins_tyranny.blazing_barrel,Blazing Barrel,炎の樽
block.goblins_tyranny.coin_barrel,Coin Barrel,硬貨樽
