key,source_text,target_text
block.gravestone.gravestone,Grave,墓
button.next,Next,次へ
button.prev,Back,戻る
gui.deathinfo.dimension,Dimension,ディメンション
gui.deathinfo.location,Location,場所
gui.deathinfo.name,Name,名前
gui.deathinfo.page,Page,ページ
gui.deathinfo.time,Date,ナツメヤシ
gui.deathinfo.title,Player Death Info,プレイヤー死亡情報
gui.deathinfo.title.items,Death Items,死亡アイテム
gui.deathitems,Death Items,死亡アイテム
item.gravestone.death_info,Obituary,死亡記録
message.create_grave_failed,Grave could not be placed,墓が設置できませんでした
message.deathlocation,Death location,死亡場所
message.died,%s died on %s,%sは%sに死亡した
message.no_deathlocation,No death location available,有効な死亡場所がありません
button.gravestone.next,Next,次へ
button.gravestone.prev,Back,戻る
config.jade.plugin_gravestone.grave,Grave,墓
entity.gravestone.player_ghost,Ghost of Player,プレイヤーの幽霊
gui.gravestone.date_format,yyyy/MM/dd HH:mm:ss,yyyy/MM/dd HH:mm:ss
gui.obituary.copy_id,Copy ID,コピーID
gui.obituary.dimension,Dimension,ディメンション
gui.obituary.id,ID,ID
gui.obituary.location,Location,場所
gui.obituary.name,Name,名前
gui.obituary.page,Page %s of %s,%s /%s ページ
gui.obituary.time,Date,ナツメヤシ
gui.obituary.title,Obituary,死亡記録
gui.obituary.title.items,Death Items,死亡アイテム
item.gravestone.obituary,Obituary,死亡記録
message.gravestone.copied,Copied %s to clipboard,%sをクリップボードにコピーしました
message.gravestone.create_grave_failed,Grave could not be placed,墓が設置できませんでした
message.gravestone.date_of_death,Died on %s,%sに死亡
message.gravestone.death_id_not_found,Death with ID %s not found,Death ID [%s] は見つかりませんでした
message.gravestone.death_not_found,Death not found,死亡は確認されませんでした
message.gravestone.deathlocation,Death location,死亡場所
message.gravestone.died,%s died on %s,%sは%sに死亡した
message.gravestone.grave_of,Grave of %s,%sの墓
message.gravestone.item_count,Contains %s stack(s),%sスタック保持
message.gravestone.no_deathlocation,No death location available,有効な死亡場所がありません
message.gravestone.restore,Restore items,アイテムを戻す
message.gravestone.restore.add,Add,追加
message.gravestone.restore.add.description,Adds to your inventory the items that you had just before you died,インベントリに死亡前に持っていたアイテムを追加します
message.gravestone.restore.replace,Replace,置換
message.gravestone.restore.replace.description,Removes all items from your inventory and restores the ones that you had just before you died,インベントリからすべてのアイテムを消去し、死亡前に持っていたアイテムに戻します
message.gravestone.restore.success,Successfully restored %s's items,%sのアイテムを戻すことに成功しました
tile.gravestone.name,Grave,墓
item.death_location_finder.name,Death location finder,死亡地点探知機
item.death_info.name,Obituary,死亡記録
entity.player_ghost.name,Ghost Player,幽霊プレイヤー
