key,source_text,target_text
advancement.grimoireofgaia.ant.desc,Kill an Ant Worker,働きアリを倒す
advancement.grimoireofgaia.ant.title,Ant Worker,働きアリ
advancement.grimoireofgaia.ant_salvager.desc,Kill an Ant Salvager,回収アリを倒す
advancement.grimoireofgaia.ant_salvager.title,Ant Salvager,回収アリ
advancement.grimoireofgaia.anubis.desc,Kill an Anubis,アヌビスを倒す
advancement.grimoireofgaia.anubis.title,Anubis,アヌビス
advancement.grimoireofgaia.arachne.desc,Kill an Arachne,アラクネを倒す
advancement.grimoireofgaia.arachne.title,Arachne,アラクネ
advancement.grimoireofgaia.banshee.desc,Kill a Banshee,バンシーを倒す
advancement.grimoireofgaia.banshee.title,Banshee,バンシー
advancement.grimoireofgaia.behender.desc,Kill a Behender,ビヘンダーを倒す
advancement.grimoireofgaia.behender.title,Behender,ビヘンダー
advancement.grimoireofgaia.bone_knight.desc,Kill a Bone Knight,骸骨騎士を倒す
advancement.grimoireofgaia.bone_knight.title,Bone Knight,骸骨騎士
advancement.grimoireofgaia.cecaelia.desc,Kill a Cecaelia,セカエリアを倒す
advancement.grimoireofgaia.cecaelia.title,Cecaelia,セカエリア
advancement.grimoireofgaia.cobblestone_golem.desc,Kill a Cobblestone Golem,丸石ゴーレムを倒す
advancement.grimoireofgaia.cobblestone_golem.title,Cobblestone Golem,丸石ゴーレム
advancement.grimoireofgaia.creep.desc,Kill a Creep,クリープを倒す
advancement.grimoireofgaia.creep.title,Creep,クリープ
advancement.grimoireofgaia.cyan_flower.desc,Kill a Cyan Flower,シアンフラワーを倒す
advancement.grimoireofgaia.cyan_flower.title,Cyan Flower,シアンフラワー
advancement.grimoireofgaia.deathword.desc,Kill a Deathword,死の書物を倒す
advancement.grimoireofgaia.deathword.title,Deathword,死の書物
advancement.grimoireofgaia.dullahan.desc,Kill a Dullahan,デュラハンを倒す
advancement.grimoireofgaia.dullahan.title,Dullahan,デュラハン
advancement.grimoireofgaia.ender_eye.desc,Kill an Ender Eye,エンダーアイを倒す
advancement.grimoireofgaia.ender_eye.title,Ender Eye,エンダーアイ
advancement.grimoireofgaia.flesh_lich.desc,Kill a Flesh Lich,フレッシュリッチを倒す
advancement.grimoireofgaia.flesh_lich.title,Flesh Lich,フレッシュリッチ
advancement.grimoireofgaia.gelatinous_slime.desc,Kill a Gelatinous Slime,ゼラチナススライムを倒す
advancement.grimoireofgaia.gelatinous_slime.title,Gelatinous Slime,ゼラチナススライム
advancement.grimoireofgaia.goblin_feral.desc,Kill a Goblin Feral,凶暴なゴブリンを倒す
advancement.grimoireofgaia.goblin_feral.title,Goblin Feral,凶暴なゴブリン
advancement.grimoireofgaia.gravemite.desc,Kill a Gravemite,墓場ダニを倒す
advancement.grimoireofgaia.gravemite.title,Gravemite,墓場ダニ
advancement.grimoireofgaia.harpy.desc,Kill a Harpy,ハーピーを倒す
advancement.grimoireofgaia.harpy.title,Harpy,ハーピー
advancement.grimoireofgaia.kobold.desc,Kill a Kobold,コボルドを倒す
advancement.grimoireofgaia.kobold.title,Kobold,コボルド
advancement.grimoireofgaia.mandragora.desc,Kill a Mandragora,マンドラゴラを倒す
advancement.grimoireofgaia.mandragora.title,Mandragora,マンドラゴラ
advancement.grimoireofgaia.matango.desc,Kill a Matango,マタンゴを倒す
advancement.grimoireofgaia.matango.title,Matango,マタンゴ
advancement.grimoireofgaia.mimic.desc,Kill a Mimic,ミミックを倒す
advancement.grimoireofgaia.mimic.title,Mimic,ミミック
advancement.grimoireofgaia.minotaur.desc,Kill a Minotaur,ミノトーアを倒す
advancement.grimoireofgaia.minotaur.title,Minotaur,ミノトーア
advancement.grimoireofgaia.minotaurus.desc,Kill a Minotaurus,ミノタウロスを倒す
advancement.grimoireofgaia.minotaurus.title,Minotaurus,ミノタウロス
advancement.grimoireofgaia.mummy.desc,Kill a Mummy,ミイラを倒す
advancement.grimoireofgaia.mummy.title,Mummy,ミイラ
advancement.grimoireofgaia.naga.desc,Kill a Naga,ナーガを倒す
advancement.grimoireofgaia.naga.title,Naga,ナーガ
advancement.grimoireofgaia.nine_tails.desc,Kill a Nine Tails,九尾を倒す
advancement.grimoireofgaia.nine_tails.title,Nine Tails,九尾
advancement.grimoireofgaia.oni.desc,Kill an Oni,鬼を倒す
advancement.grimoireofgaia.oni.title,Oni,鬼
advancement.grimoireofgaia.orc.desc,Kill an Orc,オークを倒す
advancement.grimoireofgaia.orc.title,Orc,オーク
advancement.grimoireofgaia.root.desc,Advancements? What are those?,進捗? なにそれ?
advancement.grimoireofgaia.root.title,Grimoire of Gaia,大地の魔導書
advancement.grimoireofgaia.shaman.desc,Kill a Shaman,召喚士を倒す
advancement.grimoireofgaia.shaman.title,Shaman,シャーマン
advancement.grimoireofgaia.sharko.desc,Kill a Sharko,シャルコを倒す
advancement.grimoireofgaia.sharko.title,Sharko,シャルコ
advancement.grimoireofgaia.siren.desc,Kill a Siren,セイレーンを倒す
advancement.grimoireofgaia.siren.title,Siren,セイレーン
advancement.grimoireofgaia.sludge_girl.desc,Kill a Sludge Girl,スラッジガールを倒す
advancement.grimoireofgaia.sludge_girl.title,Sludge Girl,スラッジガール
advancement.grimoireofgaia.sphinx.desc,Kill a Sphinx,スフィンクスを倒す
advancement.grimoireofgaia.sphinx.title,Sphinx,スフィンクス
advancement.grimoireofgaia.sporeling.desc,Kill a Sporeling,胞子の小人を倒す
advancement.grimoireofgaia.sporeling.title,Sporeling,胞子の小人
advancement.grimoireofgaia.spriggan.desc,Kill a Spriggan,スプリガンを倒す
advancement.grimoireofgaia.spriggan.title,Spriggan,スプリガン
advancement.grimoireofgaia.succubus.desc,Kill a Succubus,サキュバスを倒す
advancement.grimoireofgaia.succubus.title,Succubus,サキュバス
advancement.grimoireofgaia.toad.desc,Kill a Toad,トードを倒す
advancement.grimoireofgaia.toad.title,Toad,トード
advancement.grimoireofgaia.valkyrie.desc,Kill a Valkyrie,ヴァルキリーを倒す
advancement.grimoireofgaia.valkyrie.title,Valkyrie,ヴァルキリー
advancement.grimoireofgaia.werecat.desc,Kill a Werecat,ウェアキャットを倒す
advancement.grimoireofgaia.werecat.title,Werecat,ウェアキャット
advancement.grimoireofgaia.witch.desc,Kill a Witch,魔女を倒す
advancement.grimoireofgaia.witch.title,Witch,魔女
advancement.grimoireofgaia.wither_cow.desc,Kill a Wither Cow,ウィザー牛を倒す
advancement.grimoireofgaia.wither_cow.title,Wither Cow,ウィザー牛
block.grimoireofgaia.bust_gorgon,The Gorgon,ゴルゴーンの胸像
block.grimoireofgaia.bust_minotaur,Minotaur Bust,ミノトーアの胸像
block.grimoireofgaia.bust_sphinx,The Sphinx,スフィンクスの胸像
block.grimoireofgaia.bust_valkyrie,The Valkyrie,ヴァルキリーの胸像
block.grimoireofgaia.bust_vampire,The Vampire,ヴァンパイアの胸像
block.grimoireofgaia.deco_garden_gnome,Garden Gnome,ガーデン・ノーム
block.grimoireofgaia.deco_mandragora_pot,Mandragora Pot,マンドラゴラの鉢植え
block.grimoireofgaia.deco_nest_harpy,Harpy Nest,ハーピーの巣
block.grimoireofgaia.doll_creeper_girl,Creeper Girl Doll,クリーパーガールの人形
block.grimoireofgaia.doll_dryad,Dryad Doll,ドリヤードの人形
block.grimoireofgaia.doll_dullahan,Dullahan Doll,デュラハンの人形
block.grimoireofgaia.doll_ender_girl,Ender Girl Doll,エンダーガールの人形
block.grimoireofgaia.doll_maid,Maid Doll,メイドの人形
block.grimoireofgaia.doll_mermaid,Mermaid Doll,マーメイドの人形
block.grimoireofgaia.doll_nine_tails,Nine Tails Doll,九尾の人形
block.grimoireofgaia.doll_slime_girl,Slime Girl Doll,スライムガールの人形
block.grimoireofgaia.pearl_block,Pearl Block,真珠ブロック
entity.grimoireofgaia.ant,Ant Worker,働きアリ
entity.grimoireofgaia.ant_hill,Ant Hill,アリ塚
entity.grimoireofgaia.ant_salvager,Ant Salvager,回収アリ
entity.grimoireofgaia.anubis,Anubis,アヌビス
entity.grimoireofgaia.arachne,Arachne,アラクネ
entity.grimoireofgaia.banshee,Banshee,バンシー
entity.grimoireofgaia.bee,Honey Bee,ミツバチ
entity.grimoireofgaia.behender,Behender,ビヘンダー
entity.grimoireofgaia.bomb,Bomb Projectile,爆弾
entity.grimoireofgaia.bone_knight,Bone Knight,骸骨騎士
entity.grimoireofgaia.bubble,Bubble Projectile,泡
entity.grimoireofgaia.cecaelia,Cecaelia,セカエリア
entity.grimoireofgaia.centaur,Centaur,セントール
entity.grimoireofgaia.chest,Chest,チェスト
entity.grimoireofgaia.cobble_golem,Cobble Golem,コブルゴーレム
entity.grimoireofgaia.cobblestone_golem,Cobblestone Golem,丸石ゴーレム
