key,source_text,target_text
itemGroup.hammercore,Hammer Core,ハンマーコア
keybind.hammercorerenderstack,[HC] Render Item,[HC] アイテムをレンダリング
item.hammercore:manual.name,Hammer Core Manual,ハンマー核心マニュアル
item.hammercore:wrench.name,Wrench,レンチ
tile.hammercore:iron_bordered_cobblestone.name,Iron-Bordered Cobblestone,鉄枠付き丸石
tile.hammercore:gold_bordered_cobblestone.name,Gold-Bordered Cobblestone,金枠付き丸石
tile.hammercore:diamond_bordered_cobblestone.name,Diamond-Bordered Cobblestone,ダイヤモンド縁の丸石
tile.hammercore:emerald_bordered_cobblestone.name,Emerald-Bordered Cobblestone,エメラルド縁の丸石
tile.hammercore:quartz_bordered_cobblestone.name,Quartz-Bordered Cobblestone,クォーツ縁取り丸石
definition.hammercore:fe.short,FE,
definition.hammercore:fe.long,Forge Energy,フォージエネルギー
definition.hammercore:bt.short,BT,
definition.hammercore:bt.long,Burn Ticks,焼却ターン
gui.hammercore.notfuel,Not Fuel!,燃料ではありません！
gui.hammercore.generation,Generation,生成
gui.hammercore.consumption,Consumption,消費
gui.hammercore.burntime,Burn Time,燃焼時間
gui.hammercore.energy,Energy,エネルギー
gui.hammercore.process,Process,プロセス
gui.hammercore.fept,FE/tick,FE/ターン
gui.hammercore.feps,FE/sec,FE/秒
options.modelPart.hammercore:renderSpecial,Render Special,特別レンダリング
options.modelPart.hammercore:overrideCape,Override Cape,オーバーライドキャップ
options.modelPart.hammercore:skinType,Skin Type,スキンタイプ
options.hammercore:skintype.0,Inherit,継承
options.hammercore:skintype.1,Classic,クラシック
options.hammercore:skintype.2,Slim,スリム
gui.hammercore:calculatron,Calculatron vVERSION,カルカトロン vVERSION
info.hammercore:energy_stored,RF Stored,RF 保存
info.hammercore:changed_mode,Charging,充電中
info.hammercore:witherproof,Wither-proof,ウィザード-proof
battery.hammercore:mode.noshare,Off,オフ
battery.hammercore:mode.hotbar,Hotbar,ホットバー
battery.hammercore:mode.armor,Armor,防具
battery.hammercore:mode.armor_hotbar,Armor & Hotbar,防具＆ホットバー
battery.hammercore:mode.inventory,Inventory,インベントリ
capability.fe.name,FE,
capability.ej.name,EJ,
capability.fluid.name,Fluid,流体
capability.items.name,Items,アイテム
chat.hammercore:newversion,New version for mod %s detected: %s.,モジュール %s に新しいバージョンが検出されました: %s。
chat.hammercore:corrupt,Mod %s has been corrupted!,モッド %s が破損しました！
chat.hammercore:newversion.clickdwn,Download,ダウンロード
chat.hammercore:newversion.clickdwn.detail,Click to open browser at mod's official download page.,クリックするとモッドの公式ダウンロードページがブラウザで開きます
hc.manual_cat.hammercore,Hammer Core,ハンマーコア
hc.manual_name.hammercore,Hammer Core,ハンマーコア
hc.manual_text.hammercore,A coremod for any Zeitheron's mod,Zeitheron のモッド用のコアモッド
hc.manual_name.wrench,Wrench,レンチ
hc.manual_text.wrench,Dismantle the damn thing!,それを分解しろ！
recipe.hammercore:type.workbench,Crafting,クラフト
recipe.hammercore:type.workbenchshapeless,Crafting (Shapeless),クラフト(不定形)
recipe.hammercore:type.construct,Multiblock Structure,マルチブロック構造
recipe.hammercore:type.smelting,Smelting,製錬
recipe.hammercore:clickthrough,Click to View Recipe,レシピを表示するためクリック
recipe.hammercore:return,Back,戻る
hc.splash.mod,Also try mod %s!,他のモジュール %s を試してみてください!
hc.splash.thaumcraft.1,%player% you spilled taint all over the floor!,%player% あなたは汚染を床全体にこぼしました！
hc.splash.draconicevolution.1,So THAT is what happens after a draconic reactor meltdown,それがドラコニックリアクターのメルトダウン後に起こることです
hc.splash.draconicevolution.2,How many megatons is the draconic reactor explosion?,ドラコニックリアクターの爆発は何メガトンですか？
hc.splash.ic2.1,How many megatons is the ic2 reactor explosion?,IC2 リアクター爆発は何メガトンですか？
hc.splash.ae2.1,If E=mc^2 then how does AE2 not explode when storing dense materials?,E=mc^2 なら、AE2 は密度材料を貯蔵しても爆発しない理由は？
hc.splash.1,Now with mods!,モジュール対応！
hc.splash.2,A certain penguin comes to mind...,あるペンギンが思い浮かびます…
hc.splash.3,"""It's been a long time. How have you been?""",「お久しぶりです。調子はどうですか？」
hc.splash.4,Now WITH SOUNDS!,今、サウンド付きで!
hc.splash.5,99 percent cubic!,99% 立方体！
hc.splash.6,You just lost few seconds while reading this!,読む間に数秒失っただけだ！
hc.splash.7,Nya!,ニャ！
hc.splash.8,You feel that a dragon is watching you...,ドラゴンがあなたを見ているように感じます…
