key,source_text,target_text
block.hoppergadgetry.chute,Chute,シュート
block.hoppergadgetry.duct,Duct,ダクト
block.hoppergadgetry.grated_hopper,Grated Hopper,グレート・ホッパー
container.chute,Item Chute,アイテムチャート
container.duct,Item Duct,アイテムパイプ
container.grated_hopper,Grated Hopper,グレート・ホッパー
entity.hoppergadgetry.chute_minecart,Minecart with Chute,チュート付きミニカート
entity.hoppergadgetry.grated_hopper_minecart,Minecart with Grated Hopper,格子付きホッパー付きミニカート
item.hoppergadgetry.chute_minecart,Chute Minecart,シュートトロッコ
item.hoppergadgetry.grated_hopper_minecart,Grated Hopper Minecart,格子付きホッパートロッコ
itemGroup.hoppergadgetry.main,Hopper Gadgetry,ホッパー機構
