key,source_text,target_text
_comment,Thermal,サーマル
block.hostilenetworks.loot_fabricator,Loot Fabricator,ルート製造機
block.hostilenetworks.sim_chamber,Simulation Chamber,シミュレーションチャンバー
curios.identifier.deep_learner,Deep Learner,ディープラーナー
enchantment.level.0,0,0
hostilenetworks.color_text.build,Build a Data Model,データモデルを構築
hostilenetworks.color_text.failed,failed,失敗
hostilenetworks.color_text.false,false,偽
hostilenetworks.color_text.hud,HUD,HUD
hostilenetworks.color_text.rclick,Right-Click,右クリック
hostilenetworks.color_text.shift,SHIFT,SHIFT
hostilenetworks.color_text.success,succeeded,成功
hostilenetworks.color_text.true,true,真
hostilenetworks.fail.energy,"Cannot begin simulation
System energy levels critical","シミュレーション開始不可
システムエネルギーが低下しています"
hostilenetworks.fail.energy_mid_cycle,"Simulation progress paused
System energy levels critical","解析の進行が一時停止しました
システムの電力が不足しています"
hostilenetworks.fail.input,"Cannot begin simulation
Missing input: %s","シミュレーション開始不可
入力がありません: %s"
hostilenetworks.fail.output,"Cannot begin simulation
Output buffers are occupied","シミュレーション開始不可
出力バッファが満杯です"
hostilenetworks.fail.redstone,"Simulation progress paused
Incorrect redstone signal applied",シミュレーション進行が一時停止しました
hostilenetworks.gui.accuracy,Model Accuracy: ,モデル精度:
hostilenetworks.gui.clear,Click to clear selection,選択をクリア
hostilenetworks.gui.cost,Model energy cost: %s FE/t,モデルエネルギーコスト: %s FE/t
hostilenetworks.gui.data,%s/%s Data collected,%s/%s データ収集済み
hostilenetworks.gui.energy,%s/%s FE,%s/%s FE
hostilenetworks.gui.fab_cost,Energy cost: %s FE/t,エネルギーコスト: %s FE/t
hostilenetworks.gui.info,Information,情報
hostilenetworks.gui.kill,kill,討伐
hostilenetworks.gui.kills,kills,討伐数
hostilenetworks.gui.learner_empty.0,No Data Model Found,データモデルが見つかりません
hostilenetworks.gui.learner_empty.1,Please insert a Data Model!,データモデルを挿入してください！
hostilenetworks.gui.learner_empty.2,Your models will be trained,モデルはディープラーナーに配置された時に
hostilenetworks.gui.learner_empty.3,when placed in the Deep Learner.,トレーニングされます。
hostilenetworks.gui.learner_empty.5,In order to train the model,モデルをトレーニングするには
hostilenetworks.gui.learner_empty.6,you must deliver the killing blow.,敵にトドメを刺す必要があります。
hostilenetworks.gui.max_data,I am at maximum potential,最大ポテンシャルに達しました
hostilenetworks.gui.max_tier,You cannot improve me further,これ以上改善できません
hostilenetworks.gui.name,Name,名前
hostilenetworks.gui.next_tier,Upgrades to ,アップグレード先:
