key,source_text,target_text
death.attack.hunters_return.boomerang,%1$s was hit by %2$s 's boomerang,%1$sは、%2$sのブーメランにあたった
death.attack.hunters_return.boomerang.item,%1$s was hit by %2$s 's %3$s,%1$sは、%2$sの %3$sにあたった
death.attack.hunters_return.boomerang.player,%1$s was hit by %2$s 's boomerang,%1$sは、%2$sのブーメランにあたった
enchantment.hunters_return.bounce,Bounce,バウンド
enchantment.hunters_return.bounce.desc,This Enchantment make bounce on wall for Boomerang,このエンチャントは、ブーメランがより跳ね返るようになります
enchantment.hunters_return.cutting,Cutting,切り裂き
enchantment.hunters_return.cutting.desc,This Enchantment increase Boomerang Attack Damage,このエンチャントは、ブーメランのダメージを増やします
enchantment.hunters_return.return,Return,帰還
enchantment.hunters_return.return.desc,This Enchantment make Return on owner for boomerang,このエンチャントは、ブーメランが壁に当たっても戻るようになります
entity.hunters_return.boomerang,Boomerang,ブーメラン
entity.hunters_return.hunter,Hunter,ハンター
entity.hunters_return.spin_blade,Spin Blade,ハンタースピンブレード
hunters_return.config.attackableWhitelist,Hunter Attackable Whitelist,邪悪なハンターが狩るエンティティの白リスト
hunters_return.config.foodWhitelist,Hunter Eat Food Whitelist,邪悪なハンターが食べる食べ物の白リスト
hunters_return.config.rudeHogSpawnInBastion,RudeHog Spawn In Bastion,ルードホッグを、砦の遺跡に出現させる
hunters_return.config.separation,Separation,分離
hunters_return.config.spacing,Spacing,間隔
hunters_return.config.structureSpacing,Hunter House Generate Spacing,邪悪なハンターの家の生成の間隔
item.hunters_return.boomerang,Boomerang,ブーメラン
item.hunters_return.mini_crossbow,Mini CrossBow,ミニクロスボウ
item.hunters_return.quiver,Quiver,矢筒
item.hunters_return.quiver.empty.description,Can store two stacks of multiple arrows,複数の矢を2スタック分しまうことができます
item.hunters_return.spawnegg_hunter,Hunter Spawn Egg,狩人のスポーンエッグ
subtitles.hunters_return.hunter.cheer,Hunter Cheers,邪悪なハンターが喜ぶ
subtitles.hunters_return.hunter.death,Hunter Death,邪悪なハンターが死ぬ
subtitles.hunters_return.hunter.hurt,Hunter Hurt,邪悪なハンターが傷つく
subtitles.hunters_return.hunter.idle,Hunter murmurs,邪悪なハンターがつぶやく
subtitles.hunters_return.hunter.laugh,Hunter laughs,邪悪なハンターが笑う
