key,source_text,target_text
block.igleelib.blazum_block,Blazum Block,ブラズムブロック
block.igleelib.derium_block,Derium Block,デリウムブロック
block.igleelib.lavium_block,Lavium Block,ラビウムブロック
block.igleelib.modium_block,Modium Block,モディウムブロック
item.igleelib.blaze_shard,Blaze Shard,ブレイズの碎片
item.igleelib.blazum_ingot,Blazum Ingot,ブラズムインゴット
item.igleelib.derium_ingot,Derium Ingot,デリウムインゴット
item.igleelib.iglium_upgrade_smithing_template,Iglium Upgrade,イグリウムアップグレード
item.igleelib.lavium_ingot,Lavium Ingot,ラビウムインゴット
item.igleelib.modium_ingot,Modium Ingot,モディウムインゴット
item.igleelib.smithing_template.iglium_upgrade.additions_slot_description,Add Diamond or Crying Obsidian or Blaze Rod or Blaze Shard,ダイヤモンド、クライングオブシディアン、ブレイズロッド、またはブレイズシャードを追加する
item.igleelib.smithing_template.iglium_upgrade.applies_to,Netherite Ingot,ネザーの鉄の塊
item.igleelib.smithing_template.iglium_upgrade.base_slot_description,Add Netherite Ingot,ネザーライトインゴットを追加
item.igleelib.smithing_template.iglium_upgrade.ingredients,"Diamond, Crying Obsidian, Blaze Rod, Blaze Shard",ダイヤモンド、クライングオブシディアン、ブレイズロッド、ブレイズシャード
itemGroup.igleelib.base,Iglee's Library,イグリーの図書館
