key,source_text,target_text
entity.immersive_paintings.glow_graffiti,Glowing Graffiti,輝くスプレー塗料
entity.immersive_paintings.glow_painting,Glowing Painting,輝く絵画
entity.immersive_paintings.graffiti,Graffiti,スプレー塗料
entity.immersive_paintings.painting,Painting,絵画
immersive_paintings.by_author,By %s,By %s
immersive_paintings.cancel,Cancel,キャンセル
immersive_paintings.colors,%s colors,%s 絵の具
immersive_paintings.confirm_admin_deletion,"Delete this specific painting, or all paintings of that author?",この特定の絵画を削除するのか、それともその作者のすべての絵画を削除するのか？
immersive_paintings.confirm_deletion,Are you sure? Deleting a painting will also make all existing paintings blank. You can then replace them by reusing the same name.,本当ですか？ペイントを削除すると、既存のペイントもすべて空白になります。その後、同じ名前を再利用して置き換えることができます。
immersive_paintings.delete,Delete,削除
immersive_paintings.delete_all,Delete All,すべて削除
immersive_paintings.dither,%s%% dither,%s%% ディザ
immersive_paintings.done,Done,完了
immersive_paintings.drop,"Drop an image here, enter a file path or URL or select a screenshot to start.",ここに画像をドロップするか、ファイルパスまたはURLを入力するか、スクリーンショットを選択して開始します。
immersive_paintings.error.limit_reached,You reached your maximum amount of uploaded paintings!,アップロードできる絵画の枚数が上限に達しました。
immersive_paintings.error.no_permission,No permission!,許可はない！
immersive_paintings.error.too_large,Image is too large!,画像が大きすぎます
immersive_paintings.filter.all,All,すべて
immersive_paintings.filter_height,Height,高さ
immersive_paintings.filter_width,Width,幅
immersive_paintings.frame.none,None,なし
immersive_paintings.frame.simple,Simple,シンプル
immersive_paintings.frame.vintage,Vintage,ヴィンテージ
immersive_paintings.graffiti_warning,"Image contains transparency, use a graffiti instead!",画像には透明度が含まれています。代わりに落書きを使ってください。
immersive_paintings.height,Height: %s blocks,高さ： %s ブロック
immersive_paintings.hidden,Hidden,ヒドゥン
immersive_paintings.hide,Hide,隠す
immersive_paintings.load,Load Image,画像を読み込む
immersive_paintings.material.acacia,Acacia,アカシヤ
immersive_paintings.material.birch,Birch,バーチ
immersive_paintings.material.calcite,Calcite,方解石
immersive_paintings.material.coal,Coal,石炭
immersive_paintings.material.copper,Copper,銅
immersive_paintings.material.crimson,Crimson,クリムゾン
immersive_paintings.material.dark_oak,Dark Oak,ダークオーク
immersive_paintings.material.diamond,Diamond,ダイヤモンド
immersive_paintings.material.emerald,Emerald,エメラルド
immersive_paintings.material.end_stone,End Stone,エンドストーン
immersive_paintings.material.glowstone,Glowstone,グローストーン
immersive_paintings.material.hyphae,Hyphae,菌糸
immersive_paintings.material.iron,Iron,鉄
immersive_paintings.material.jungle,Jungle,ジャングル
immersive_paintings.material.lapis,Lapis Lazuli,ラピスラズリ
immersive_paintings.material.netherite,Netherite,ネザーライト
immersive_paintings.material.netherrack,Netherrack,ネザーラック
immersive_paintings.material.none,None,なし
immersive_paintings.material.oak,Oak,オーク
immersive_paintings.material.prismarine,Prismarine,プリズマリン
immersive_paintings.material.red_sandstone,Red Sandstone,レッドサンドストーン
immersive_paintings.material.sandstone,Sandstone,サンドストーン
immersive_paintings.material.spruce,Spruce,スプルース
immersive_paintings.material.stone,Stone,石材
immersive_paintings.material.sugar_cane,Sugar Cane,サトウキビ
immersive_paintings.name,Name,名称
immersive_paintings.page.datapacks,Datapacks,データパック
immersive_paintings.page.frame,Frame,フレーム
immersive_paintings.page.new,New Painting,新塗装
immersive_paintings.page.players,Players,選手紹介
immersive_paintings.page.yours,Yours,ユアーズ
immersive_paintings.pixelart,Pixelart,ピクセルアート
immersive_paintings.pixelart.tooltip,Preserves pixels and disables post processing,画素を保持し、後処理を無効にする
immersive_paintings.resolution,%sx%s at %s px,%sx%s at %s px
immersive_paintings.right_click_to_delete,Right click to delete,右クリックで削除
immersive_paintings.save,Save,保存
immersive_paintings.search,Search,検索
immersive_paintings.tooltip.filter_resolution,Filter by resolution,解像度による絞り込み
immersive_paintings.tooltip.resolution,Pixels per block,画素数/ブロック
immersive_paintings.upload,"Uploading, %s seconds left",アップロード中、 %s 残り秒
immersive_paintings.visibility,Hidden paintings are not visible in the selection screen to other players.,隠し絵は、選択画面では他のプレイヤーからは見えません。
immersive_paintings.width,Width: %s blocks,幅： %s ブロック
immersive_paintings.x_offset,%s%% X offset,%s%% X オフセット
immersive_paintings.y_offset,%s%% Y offset,%s%% Yオフセット
immersive_paintings.zoom,%s%% zoom,%s%% ズーム
item.immersive_paintings.glow_graffiti,Glowing Graffiti,輝くスプレー塗料
item.immersive_paintings.glow_painting,Glowing Painting,輝く絵画
item.immersive_paintings.graffiti,Graffiti,スプレー塗料
item.immersive_paintings.painting,Painting,絵画
itemGroup.immersive_paintings.immersive_paintings_tab,Immersive Paintings,イマーシブペインティング
