key,source_text,target_text
gui.tips.list.config,Config,コンフィグ
gui.tips.list.entry.added_by,Added by: %s,追加者: %s
gui.tips.list.entry.click_to_copy,Click to copy ID,クリックしてIDをコピー
gui.tips.list.entry.copied,Copied!,コピーされました！
gui.tips.list.entry.cycle_time,Cycle Time: %s,サイクル タイム: %s
gui.tips.list.entry.disabled,Disabled by config!,構成によって無効にされました!
gui.tips.list.entry.tip_id,Tip ID: %s,ヒント ID: %s
gui.tips.list.search,Search,検索
gui.tips.list.show_disabled,Show Disabled,無効を表示
gui.tips.list.title,Tips List,ヒント リスト
tipsmod.tip.animal_growing,Feeding baby animals will make them grow up sooner.,動物の赤ちゃんに餌をやると、早く大きくなります。
tipsmod.tip.arthropods,"Spiders, Silverfish, Bees, and Endermites all take damage from Bane of Arthropods.",クモ、シルバーフィッシュ、ミツバチ、エンダーマイトはすべて節足動物の破滅からダメージを受けます。
tipsmod.tip.axolotl_food,Axolotls like to eat tropical fish.,アホロートルは熱帯魚を食べるのが好きです。
tipsmod.tip.azalea_caves,Azalea trees grow above the lush cave biomes.,緑豊かな洞窟バイオームの上にはツツジの木が生えています。
tipsmod.tip.baby_panda_slimeball,Baby Pandas have a 0.1% chance to drop a slimeball after they sneeze.,赤ちゃんパンダがくしゃみをした後、0.1% の確率でスライムボールをドロップします。
tipsmod.tip.barrel,Barrels are a convenient alternative to chests.,バレルは、チェストの便利な代替手段です。
tipsmod.tip.bed_explode,Trying to sleep in other dimensions will end poorly.,他の次元で眠ろうとすると死に至ります。
tipsmod.tip.bed_respawn,Sleeping in a bed will set your spawn point.,ベッドで寝るとスポーンポイントが設定されます。
tipsmod.tip.biome_bonemeal,Using bone meal on grass blocks can give different types of flowers.,草ブロックに骨粉を使用すると、さまざまな種類の花ができます。
tipsmod.tip.biome_fishing,Fishing in a Jungle can give you different items compared to fishing in other biomes.,ジャングルでの釣りでは、他のバイオームでの釣りとは異なるアイテムが得られます。
tipsmod.tip.blaze_fuel,Blaze rods are good fuel for furnaces.,ブレイズ ロッドはかまどの燃料として最適です。
tipsmod.tip.blaze_snowball,Blazes take damage from snowballs.,ブレイズは雪玉からダメージを受けます。
tipsmod.tip.boat_jump,By placing a boat in lava you can make a temporary platform.,ボートを溶岩に置くことで、一時的なプラットフォームを作ることができます。
tipsmod.tip.boat_passenger,Boats can carry two passengers.,ボートは 2 人を運ぶことができます
tipsmod.tip.bucket_friends,Fish and Axolotls can be safely picked up using buckets.,魚やアホロートルはバケツで安全に拾うことができます。
tipsmod.tip.bucket_rename,Renaming a bucket with a mob inside will rename that mob as well.,動物が入っているバケットの名前を変更すると、その動物の名前も変更されます。
tipsmod.tip.coarse_to_dirt,Coarse Dirt can be converted into normal dirt using a hoe.,粗い土は、鍬を使用して通常の土に変換できます。
tipsmod.tip.cooked_drops,Animals killed by fire damage usually drop cooked food.,火のダメージで殺された動物は、通常、調理済みの食べ物をドロップします。
tipsmod.tip.creeper_cat,Creepers are afraid of cats and will run away from them.,クリーパーは猫を恐れて逃げます。
tipsmod.tip.creeper_drops_disc,"If a Skeleton's or Stray's arrow kills a Creeper, the Creeper drops a random music disc.",スケルトンまたはストレイの矢でクリーパーを倒した場合、クリーパーはランダムな音楽ディスクを落とします。
tipsmod.tip.crouch_blocks,Sneaking/Crouching will prevent you from falling off the side of blocks.,スニークまたはしゃがむと、ブロックの側面から落ちるのを防ぐことができます。
tipsmod.tip.deflect_ghast_fireballs,You can deflect Ghast Fireballs by attacking them.,攻撃することで、ガスト ファイアボールをそらすことができます。
tipsmod.tip.dog_health,"The lower a dog's tail, the less health they have left.",犬のしっぽが低いほど、残っている健康状態が少なくなります。
tipsmod.tip.dog_rotten_flesh,You can heal your dogs by feeding them Rotten Flesh.,腐った肉を与えることで犬を癒すことができます。
tipsmod.tip.dragon_blocks,"Iron Bars, End Stone, and Obsidian are immune to damage from the Ender Dragon.",アイアン バー、エンド ストーン、オブシディアンはエンダー ドラゴンのダメージを受けません。
tipsmod.tip.dripstone_lava,Pointed dripstone below lava will slowly drip lava particles. This can be used to fill a cauldron.,溶岩の下の尖ったドリップストーンは、溶岩の粒子をゆっくりと滴らせます。 これは大釜を満たすのに使用できます。
tipsmod.tip.end_dimension,You cannot leave the end dimension without defeating the ender dragon.. or dying.,エンダードラゴンを倒すか、死ぬまで、エンドディメンションを出ることはできません。
tipsmod.tip.enderman_blocks,"Enderman can move blocks like dirt, sand, and TNT!",エンダーマンは土、砂、ダイナマイトなどのブロックを動かすことができます!
tipsmod.tip.enderman_projectiles,Endermen can not be hit by projectiles.,エンダーマンは弾丸で攻撃できません。
tipsmod.tip.endermites,There is a small chance that an Endermite will spawn when an Enderpearl lands.,エンダーパールが着地するとき、エンダーマイトがスポーンする可能性があります。
tipsmod.tip.fall_damage_blocks,Some blocks like water and hay can reduce fall damage.,水や干し草などの一部のブロックは、落下ダメージを軽減できます。
tipsmod.tip.fishing_resources,Fishing is a great way to get high level enchanted books.,釣りは、高レベルのエンチャントされた本を入手するための素晴らしい方法です。
tipsmod.tip.fortress_triangulation,You can triangulate stronghold locations by summoning eyes of ender from two different locations and tracking where they intersect.,2 つの異なる場所からエンダーアイを召喚し、交差する場所を追跡することで、要塞の場所を三角測量できます。
tipsmod.tip.fossils,Large fossils are buried under swamps and deserts.,大きな化石は沼地や砂漠に埋もれています。
tipsmod.tip.four_eggs,Hatching chicken eggs can spawn four chickens on very rare occasions.,ニワトリの卵を孵化させると、まれに 4 羽のニワトリがスポーンすることがあります。
tipsmod.tip.freezing_leather,Leather armor can protect against freezing damage.,レザーアーマーは凍結によるダメージを防ぐことができます。
tipsmod.tip.goat_milk,Goats can be milked using a bucket.,ヤギはバケツを使って乳を搾ることができます。
tipsmod.tip.gravity_torch,Falling blocks like sand and gravel instantly break when falling onto a torch.,砂や砂利などの落下ブロックは、松明の上に落ちると即座に壊れます。
tipsmod.tip.hitting_obsidian,It takes roughly 4 minutes to break an obsidian block by hand.,黒曜石ブロックを素手で破壊するのに約4分かかります。
tipsmod.tip.iron_golem_heal,Iron Golems can be healed by giving them iron ingots.,アイアンゴーレムは鉄インゴットを与えることで回復できます。
tipsmod.tip.job_site_dimension,Villagers lose their job site when changing dimensions.,寸法を変更すると、村人は仕事場を失います。
tipsmod.tip.joke.combat,Zombies dislike it when you stab them with a sword.,ゾンビは剣で刺されるのを嫌がります。
tipsmod.tip.joke.lava,"Like any items, buckets will burn in lava, but not when it is IN the bucket.",アイテムと同様に、バケツは溶岩で燃えますが、バケツの中にあるときは燃えません。
tipsmod.tip.joke.skulls,Wither Skeletons are known to lose their heads.,ウィザースケルトンは頭を失うことが知られています。
tipsmod.tip.joke.swim,If you stay under water too long you may drown.,水中に長時間留まると、溺れるかもしれません。
tipsmod.tip.lava_fuel,Lava Buckets can be used as fuel in the Furnace.,溶岩バケツはかまどで燃料として使用できます。
tipsmod.tip.locked_repeaters,Repeaters can be locked and kept in its state by powering the sides of it with another repeater.,リピーターはロックでき、別のリピーターで両側に電力を供給することで状態を保持できます
tipsmod.tip.lure_animals,You can lure animals into following you by holding a food they like.,動物の好きな食べ物を持って、動物をおびき寄せてあなたについてきてもらうことができます。
tipsmod.tip.mean_goats,Be careful around goats. They like to push players and other animals off cliffs.,ヤギはプレイヤーや他の動物を崖から突き落とすのが好きなので、注意してください。
tipsmod.tip.mooshroom_lightning,"A red mooshroom will become a brown mooshroom, and a brown mooshroom will become a red one, when struck by lightning.",赤いムーシュルームは茶色のムーシュルームに、茶色のムーシュルームは雷に打たれると赤いムーシュルームになります。
tipsmod.tip.mushroom_biome_spawns,Hostile mobs cannot spawn in a mushroom biome.,敵対的なモブはキノコバイオームでスポーンできません。
