key,source_text,target_text
biome.incendium.inverted_forest,Inverted Forest,逆転森林
biome.incendium.quartz_flats,Quartz Flats,クォーツフラット
biome.incendium.toxic_heap,Toxic Heap,有毒な山
biome.incendium.volcanic_deltas,Volcanic Deltas,火山デルタ
biome.incendium.withered_forest,Withered Forest,枯れた森
incendium.admin.menu.ai.off,Turn Castle AI: Off,禁断の城AI: OFF
incendium.admin.menu.ai.on,Turn Castle AI: On,禁断の城AI: ON
incendium.admin.menu.back,Back,戻る
incendium.admin.menu.give,Give Items,アイテム入手
incendium.admin.menu.give.kit1,Inferno Kit 1,対インフェルノ装備 1
incendium.admin.menu.give.kit2,Inferno Kit 2,対インフェルノ装備 2
incendium.admin.menu.give.kit3,Inferno Kit 3,対インフェルノ装備 3
incendium.admin.menu.home,Home,ホーム
incendium.admin.menu.inferno,The Hovering Inferno,ホバリングインフェルノ
incendium.admin.menu.inferno.debug.off,Spell Debug: Off,スペルデバッグ: OFF
incendium.admin.menu.inferno.debug.on,Spell Debug: On,スペルデバッグ: ON
incendium.admin.menu.inferno.end,End,終了
incendium.admin.menu.inferno.end2,End Badly,戦闘終了(失敗)
incendium.admin.menu.inferno.inferno,Inferno,地獄炎
incendium.admin.menu.inferno.spawn,Spawn,生成
incendium.admin.menu.inferno.spawn2,Spawn: Phase 2,スポーン:フェーズ2
incendium.admin.menu.inferno.spells,Manual Spells,スペル(手動)
incendium.admin.menu.next,Next,次へ
incendium.admin.menu.root,Incendium Menu: Home,Incendiumメニュー:ホーム
incendium.admin.menu.root.give,Incendium Menu: Give,Incendiumメニュー:アイテム入手
incendium.admin.menu.root.inferno.main,Incendium Menu: Hovering Inferno (Main),Incendiumメニュー:ホバリングインフェルノ(メイン行動)
incendium.admin.menu.root.inferno.spells,Incendium Menu: Hovering Inferno (Spells),Incendiumメニュー:ホバリングインフェルノ(スペル)
incendium.admin.menu.root.spawn,Incendium Menu: Spawn,Incendiumメニュー:スポーン
incendium.admin.menu.rtp,Random Teleport,ランダムTP
incendium.admin.menu.spawn,Spawn Mobs,エンティティ召喚
incendium.advancement.ash_barrens.conquer_castle.desc,Storm a Forbidden Castle and kill every last piglin living inside,禁断の城を襲撃し、中にいるピグリンを殲滅する
incendium.advancement.ash_barrens.conquer_castle.title,The Conqueror,征服者
incendium.advancement.ash_barrens.duel_of_the_fates.desc,Give a Sentry a taste of its own medicine,セントリーにしっぺ返しを喰らわせる
incendium.advancement.ash_barrens.duel_of_the_fates.title,Duel of the Fates,運命の闘い
incendium.advancement.ash_barrens.enter_castle.desc,"In the Golden Age, a great King ruled this castle. But he was betrayed, cursed, and exiled from his Kingdom. This is what remains.",黄金期、この城は偉大な王によって治められていた。しかし、彼は裏切られ、呪われ、自身の王国から追放された。そして最後にこの城だけが残った。
incendium.advancement.ash_barrens.enter_castle.title,In the Hall of the Piglin King,ピグリンの王の宮殿にて
incendium.advancement.ash_barrens.root.desc,"Enter the Ash Barrens, the forgotten home to the Forbidden Castle",禁断の城の忘れ去られた故郷、灰のやせ地に足を踏み入れる
incendium.advancement.ash_barrens.root.title,The Dust Settles,塵を払って
incendium.advancement.infernal_dunes.border_of_life.desc,Kill a Desert Blaze on the boundary of light and dark to get both of its drops,光と闇の境界でデザートブレイズを倒し、両方のドロップを入手する
incendium.advancement.infernal_dunes.border_of_life.title,Border of Life,ボーダーオブライフ
incendium.advancement.infernal_dunes.dune_blaze.desc,Kill one of the odd Desert Blazes native to the Infernal Dunes,地獄の砂丘に生息する奇妙なブレイズを倒す
incendium.advancement.infernal_dunes.dune_blaze.title,Light-Sensitive,感光性
incendium.advancement.infernal_dunes.inferno.armored_wings.desc,Use the Infernal Feather to upgrade your elytra in a Smithing Table,鍛冶台で地獄の羽を使いエリトラを強化する
incendium.advancement.infernal_dunes.inferno.armored_wings.title,Forged in Flames,炎の鍛造
incendium.advancement.infernal_dunes.inferno.kill.desc,Survive the Inferno's last spell and claim your reward,インフェルノのラストスペルを生き残り、報酬を手に入れる
incendium.advancement.infernal_dunes.inferno.kill.title,Fallen to Ashes,灰へ落ちていく
incendium.advancement.infernal_dunes.inferno.lunatic_mode.desc,Survive the Inferno's final phase with no armor,インフェルノの最終フェーズを防具なしで生き残る
incendium.advancement.infernal_dunes.inferno.lunatic_mode.title,Lunatic Mode,Lunaticモード
incendium.advancement.infernal_dunes.inferno.root.desc,The shrine... demands a sacrifice,祭壇は... 生贄を欲している
incendium.advancement.infernal_dunes.inferno.root.title,Beyond the Embers,残り火の先へ
incendium.advancement.infernal_dunes.inferno.run.desc,You can't kill the Inferno. Just survive to win,インフェルノが殺されることはない。あなたが勝つには生き残るほかない
incendium.advancement.infernal_dunes.inferno.run.title,Run.,走れ。
incendium.advancement.infernal_dunes.inferno.summon.desc,Sacrifice a nether star at an altar to summon the Hovering Inferno,祭壇にネザースターを捧げ、ホバリングインフェルノを召喚する
incendium.advancement.infernal_dunes.inferno.summon.title,Risen from Fire,炎からの復活
incendium.advancement.infernal_dunes.pipeline.kill_sentry.desc,Extinguish a Pipeline Sentry,パイプラインセントリーを鎮火する
incendium.advancement.infernal_dunes.pipeline.kill_sentry.title,Ceci n'est pas un blaze,「これはブレイズではない」
incendium.advancement.infernal_dunes.pipeline.pipeline_treasure.desc,Retrieve a Pipeline's hidden treasure,パイプラインに隠されたお宝を見つける
incendium.advancement.infernal_dunes.pipeline.pipeline_treasure.title,Plumber's Plunder,配管工の略奪
incendium.advancement.infernal_dunes.pipeline.root.desc,"Enter a pipeline, but beware the dangerous sentry blazes",パイプラインに足を踏み入れる 危険なセントリーブレイズに注意すること
incendium.advancement.infernal_dunes.pipeline.root.title,Pipe Dream,パイプドリーム
incendium.advancement.infernal_dunes.pipeline.unlimited_power.desc,Get hit by a Sentry's lightning attack,セントリーの痺れるような雷撃を受ける
incendium.advancement.infernal_dunes.pipeline.unlimited_power.title,UNLIMITED POWER!!!,無限のパワーを喰らえ！！！
incendium.advancement.infernal_dunes.root.desc,Experience the blazing heat of the Infernal Dunes,地獄の砂丘の燃えるような熱気を体験する
incendium.advancement.infernal_dunes.root.title,Darude - Firestorm,ダルデュ - ファイヤーストーム
incendium.advancement.misc.loot_piglin_village.desc,Steal some loot from a Piglin Village,ピグリンの村からお宝を盗む
incendium.advancement.misc.loot_piglin_village.title,Piglin Pillage,ピグリン強奪事件
incendium.advancement.misc.root.desc,Visit any Incendium biome,Incendiumで追加されたバイオームに足を踏み入れる
incendium.advancement.misc.root.title,Strange Biomes,奇妙なバイオーム
incendium.advancement.misc.ruined_lab.desc,The piglin's experiments backfired leading to a dangerous situation,ピグリン達は自らの実験によって窮地に立たされている
incendium.advancement.misc.ruined_lab.title,Alchemical Experiments,錬金術実験
incendium.advancement.misc.soul_searcher.desc,Discover every single Incendium biome,すべての種類のIncendiumのバイオームを発見する
incendium.advancement.misc.soul_searcher.title,Soul Searcher,魂の探求者
incendium.advancement.quartz_flats.failed_mission.desc,"Enter the Quartz Tower, where the ancient Ghastlings perished in prison",クォーツタワーへ入り、古代のガストリングが囚われて死んだ場所です
incendium.advancement.quartz_flats.failed_mission.title,Failed Mission,失敗したミッション
incendium.advancement.quartz_flats.feed_ghastling.desc,Feed a Ghastling its odd favorite food - fire charges - to toggle it following you,ガストリングに好物のファイヤーチャージを与えるとあなたについてくるようになる
incendium.advancement.quartz_flats.floor_is_tears.desc,Brave the Quartz Flats' frozen lava seas,凍てつく溶岩湖、水晶の平地に挑む
incendium.advancement.quartz_flats.floor_is_tears.title,The Floor is Tears,床は涙だ！
incendium.advancement.quartz_flats.ghast_buster.desc,Kill a ghast on its home turf above the frozen lava seas,彼らの縄張り、凍てついた溶岩湖の上でガストを倒す
incendium.advancement.quartz_flats.ghast_buster.title,Ghast Buster,ガストバスター
incendium.advancement.quartz_flats.rescue_mission.desc,"Enter the Quartz Tower, the prison of the Ghastlings",ガストリングの牢獄、クォーツタワーに足を踏み入れる
incendium.advancement.quartz_flats.rescue_mission.title,Rescue Mission,レスキュー開始
