key,source_text,target_text
ingameinfoxml.config.category.general,General,一般
ingameinfoxml.config.category.general.tooltip,General options.,一般設定。
ingameinfoxml.config.category.alignment,Alignment,アライメント
ingameinfoxml.config.category.alignment.tooltip,Alignment offset options.,整列オフセット設定。
ingameinfoxml.config.filename,Filename,ファイル名
ingameinfoxml.config.filename.tooltip,The configuration that should be loaded on startup.,起動時にロードが必要な設定。
ingameinfoxml.config.replaceDebug,Replace Debug Overlay,デバッグオーバーレイを置き換え
ingameinfoxml.config.replaceDebug.tooltip,Replace the debug overlay (F3) with the InGameInfoXML overlay.,デバッグオーバーレイ(F3)をInGameInfoXMLオーバーレイに置き換えます。
ingameinfoxml.config.showInChat,Show in Chat,チャットで表示
ingameinfoxml.config.showInChat.tooltip,Display the overlay in chat.,チャットでオーバーレイを表示します。
ingameinfoxml.config.showOnPlayerList,Show on Player List,プレイヤーリストに表示
ingameinfoxml.config.showOnPlayerList.tooltip,Display the overlay on the player list.,プレイヤーリストにオーバーレイを表示します。
ingameinfoxml.config.scale,Scale,スケール
ingameinfoxml.config.scale.tooltip,The overlay will be scaled by this amount.,オーバーレイはこの値でスケーリングされます。
ingameinfoxml.config.fileInterval,File Tag Interval,ファイルタグ間隔
ingameinfoxml.config.fileInterval.tooltip,The interval between file reads for the 'file' tag (in seconds).,'file'タグの読み取り間隔(秒)。
ingameinfoxml.config.showOverlayPotions,Show Potion Effects,ポーションエフェクトを表示する
ingameinfoxml.config.showOverlayPotions.tooltip,Display the vanilla potion effects overlay.,バニラポーションの効果のオーバーレイを表示します。
ingameinfoxml.config.showOverlayItemIcons,Show Item Overlay,アイテムオーバーレイを表示する
ingameinfoxml.config.showOverlayItemIcons.tooltip,"Display the item overlay on icon (durability, stack size).",アイテムオーバーレイをアイコンに表示します(耐久、スタックサイズ)。
ingameinfoxml.config.topleft,Top Left,左上
ingameinfoxml.config.topleft.tooltip,Offsets for the top left side of the screen (X<space>Y).,画面の左上のオフセット (X<スペース>Y)。
ingameinfoxml.config.topcenter,Top Center,右上
ingameinfoxml.config.topcenter.tooltip,Offsets for the top center side of the screen (X<space>Y).,画面の中央上部のオフセット (X<スペース>Y)。
ingameinfoxml.config.topright,Top Right,右上
ingameinfoxml.config.topright.tooltip,Offsets for the top right side of the screen (X<space>Y).,画面右上のオフセット (X<スペース>Y)。
ingameinfoxml.config.middleleft,Middle Left,中央左
ingameinfoxml.config.middleleft.tooltip,Offsets for the middle left side of the screen (X<space>Y).,画面の中央左のオフセット (X<スペース>Y)。
ingameinfoxml.config.middlecenter,Middle Center,中央
ingameinfoxml.config.middlecenter.tooltip,Offsets for the middle center side of the screen (X<space>Y).,画面の中央のオフセット (X<スペース>Y)。
ingameinfoxml.config.middleright,Middle Right,中央右
ingameinfoxml.config.middleright.tooltip,Offsets for the middle right side of the screen (X<space>Y).,画面の中央右のオフセット (X<スペース>Y)。
ingameinfoxml.config.bottomleft,Bottom Left,左下
ingameinfoxml.config.bottomleft.tooltip,Offsets for the bottom left side of the screen (X<space>Y).,画面の左下のオフセット (X<スペース>Y)。
ingameinfoxml.config.bottomcenter,Bottom Center,中央下
ingameinfoxml.config.bottomcenter.tooltip,Offsets for the bottom center side of the screen (X<space>Y).,画面の中央下のオフセット (X<スペース>Y)。
ingameinfoxml.config.bottomright,Bottom Right,右下
ingameinfoxml.config.bottomright.tooltip,Offsets for the bottom right side of the screen (X<space>Y).,画面の右下のオフセット (X<スペース>Y)。
gui.ingameinfoxml.taglist,Tag List,タグリスト
ingameinfoxml.tag.category.formatting.name,Formatting,書式設定
