key,source_text,target_text
_comment,------ On the Dynamics of Integration contents ------,------統合ダイナミクスのコンテンツについて------
advancement.integratedtunnels.break_stone,Break Stone,石を破壊
advancement.integratedtunnels.break_stone.desc,Break Stone blocks using a World Block Importer,ワールドブロックインポーターを使用して石ブロックを破壊
advancement.integratedtunnels.click_sword,Click with a Diamond Sword,ダイヤモンドソードでクリック
advancement.integratedtunnels.click_sword.desc,Click with a Diamond Sword using a Player Simulator,プレイヤーシミュレーターを使用してダイヤモンドソードでクリック
advancement.integratedtunnels.drop_all_items,Omni Item Dropping,オムニアイテムドロップ
advancement.integratedtunnels.drop_all_items.desc,Drop all items using a World Item Exporter,ワールドアイテムエクスポーターを使用してすべてのアイテムをドロップ
advancement.integratedtunnels.export_enchantable_items,Export Enchantable Items,エンチャント可能なアイテムをエクスポート
advancement.integratedtunnels.export_enchantable_items.desc,Use the Enchantable Operator to export all enchantable items into an inventory using an Item Exporter,エンチャント可能なオペレーターを使用して、アイテムエクスポーターを使用してすべてのエンチャント可能なアイテムをインベントリにエクスポート
advancement.integratedtunnels.export_items_limit,Limited Item Exporting,限定アイテムエクスポート
advancement.integratedtunnels.export_items_limit.desc,Export items into an inventory until 10 items are in that inventory using an Item Exporter,アイテムエクスポーターを使用して、そのインベントリに10個のアイテムが入るまでアイテムをエクスポート
advancement.integratedtunnels.exporter_item,Advanced Item Exporting,高度なアイテムエクスポート
advancement.integratedtunnels.exporter_item.desc,Craft an Item Exporter,アイテムエクスポーターをクラフト
advancement.integratedtunnels.exporter_world_block,Advanced Block World Exporting,高度なブロックワールドエクスポート
advancement.integratedtunnels.exporter_world_block.desc,Craft a World Block Exporter,ワールドブロックエクスポーターをクラフト
advancement.integratedtunnels.exporter_world_item,Advanced Item World Exporting,高度なアイテムワールドエクスポート
advancement.integratedtunnels.exporter_world_item.desc,Craft a World Item Exporter,ワールドアイテムエクスポーターをクラフト
advancement.integratedtunnels.filter_storage_day,Filter Item Storage if Day,昼間の場合のみアイテムストレージをフィルタ
advancement.integratedtunnels.filter_storage_day.desc,Use a Filtering Item Interface to only expose an inventory's contents during daytime,フィルタリングアイテムインターフェースを使用して、昼間中にのみインベントリの内容を公開
advancement.integratedtunnels.filter_storage_mod,Filter Item Storage by Mod,Modでアイテムストレージをフィルタ
advancement.integratedtunnels.filter_storage_mod.desc,Use a Filtering Item Interface to only pass items from a certain mod,フィルタリングアイテムインターフェースを使用して、特定のModからのアイテムのみを通す
advancement.integratedtunnels.import_all_items,Omni Item Importing,オムニアイテムインポート
advancement.integratedtunnels.import_all_items.desc,Import all items using an Item Importer,アイテムインポーターを使用してすべてのアイテムをインポート
advancement.integratedtunnels.import_items_list,List-based Item Importing,リストベースのアイテムインポート
advancement.integratedtunnels.import_items_list.desc,Import all items from a list into an inventory using an Item Importer,アイテムインポーターを使用してリストからすべてのアイテムをインベントリにインポート
advancement.integratedtunnels.importer_item,Advanced Item Importing,高度なアイテムインポート
advancement.integratedtunnels.importer_item.desc,Craft an Item Importer,アイテムインポーターをクラフト
advancement.integratedtunnels.importer_world_block,Advanced Block World Importing,高度なブロックワールドインポート
advancement.integratedtunnels.importer_world_block.desc,Craft a World Block Importer,ワールドブロックインポーターをクラフト
advancement.integratedtunnels.importer_world_item,Advanced Item World Importing,高度なアイテムワールドインポート
advancement.integratedtunnels.importer_world_item.desc,Craft a World Item Importer,ワールドアイテムインポーターをクラフト
advancement.integratedtunnels.interface_energy,Energy Interfacing,エネルギーインターフェーシング
advancement.integratedtunnels.interface_energy.desc,Craft an Energy Interface,エネルギーインターフェースをクラフト
advancement.integratedtunnels.interface_fluid,Fluid Interfacing,液体インターフェーシング
advancement.integratedtunnels.interface_fluid.desc,Craft a Fluid Interface,液体インターフェースをクラフト
advancement.integratedtunnels.interface_item,Item Interfacing,アイテムインターフェーシング
advancement.integratedtunnels.interface_item.desc,Craft an Item Interface,アイテムインターフェースをクラフト
advancement.integratedtunnels.pickup_items_limit,Limited Item Pickup,限定アイテムピックアップ
advancement.integratedtunnels.pickup_items_limit.desc,Pick up 5 items at a time using a World Item Importer,ワールドアイテムインポーターを使用して一度に5個のアイテムをピックアップ
advancement.integratedtunnels.place_logwood,Place Logs,ログを配置
advancement.integratedtunnels.place_logwood.desc,Place any log using a World Block Exporter by using the 'logs' tag list,「ログ」タグリストを使用してワールドブロックエクスポーターを使用してログを配置
advancement.integratedtunnels.player_simulator,Player Simulation,プレイヤーシミュレーション
advancement.integratedtunnels.player_simulator.desc,Craft a Player Simulator,プレイヤーシミュレーターをクラフト
aspect.aspecttypes.integratedtunnels.boolean.blacklist,Blacklist,ブラックリスト
aspect.aspecttypes.integratedtunnels.boolean.blacklist.info,If everything except for items in the given list must be handled.,指定されたリスト内のアイテム以外すべてを処理する必要がある場合。
aspect.aspecttypes.integratedtunnels.boolean.craft,Craft,クラフト
aspect.aspecttypes.integratedtunnels.boolean.craft.info,If the instance should be crafted if it is not present in the network.,インスタンスがネットワークに存在しない場合、クラフトする必要があるかどうか。
aspect.aspecttypes.integratedtunnels.boolean.emptyisany,Empty is Wildcard,空はワイルドカード
aspect.aspecttypes.integratedtunnels.boolean.emptyisany.info,"If an empty value matches with everything, otherwise nothing matches.",空の値がすべてと一致する場合、それ以外の場合は何も一致しない。
aspect.aspecttypes.integratedtunnels.boolean.energy.checkamount,Check Energy Amount,エネルギー量をチェック
aspect.aspecttypes.integratedtunnels.boolean.energy.checkamount.info,"If only exactly the given energy amount is allowed to be moved in one tick, not less.",1ティックで移動できるのが指定されたエネルギー量のみに制限される場合。
aspect.aspecttypes.integratedtunnels.boolean.exactamount,Exact Amount,正確な量
aspect.aspecttypes.integratedtunnels.boolean.exactamount.info,If ingredients can only be moved if their slot contains exactly the given amount.,材料のスロットが指定された量をちょうど含む場合にのみ移動できる場合。
aspect.aspecttypes.integratedtunnels.boolean.filter.allowallifnotapplied,Allow if not applied,適用されない場合は許可
aspect.aspecttypes.integratedtunnels.boolean.filter.allowallifnotapplied.info,If all ingredients should be passed if filter is disabled for ins/del.,フィルターが無効の場合、すべての材料を通す必要があるかどうか。
aspect.aspecttypes.integratedtunnels.boolean.filter.applytoextract,Apply to Extractions,抽出に適用
aspect.aspecttypes.integratedtunnels.boolean.filter.applytoextract.info,If the filter should apply to extractions from the network (including views).,フィルターをネットワークからの抽出(ビューを含む)に適用する必要があるかどうか。
aspect.aspecttypes.integratedtunnels.boolean.filter.applytoinsert,Apply to Insertions,挿入に適用
aspect.aspecttypes.integratedtunnels.boolean.filter.applytoinsert.info,If the filter should apply to insertions into the network.,フィルターをネットワークへの挿入に適用する必要があるかどうか。
aspect.aspecttypes.integratedtunnels.boolean.fluid.checkamount,Check Fluid Amount,液体量をチェック
aspect.aspecttypes.integratedtunnels.boolean.fluid.checkamount.info,"If only exactly the given fluid amount is allowed to be moved in one tick, not less.",1ティックで移動できるのが指定された液体量のみに制限される場合。
aspect.aspecttypes.integratedtunnels.boolean.fluid.checknbt,Check NBT,NBTをチェック
aspect.aspecttypes.integratedtunnels.boolean.fluid.nbtrecursive,Check NBT Recursively,NBTを再帰的にチェック
aspect.aspecttypes.integratedtunnels.boolean.fluid.nbtrecursive.info,If nested NBT tags and list should be checked recursively,ネストされたNBTタグとリストを再帰的にチェックする必要があるかどうか
aspect.aspecttypes.integratedtunnels.boolean.fluid.nbtrequire,Require Fluid NBT,液体NBTが必要
aspect.aspecttypes.integratedtunnels.boolean.fluid.nbtrequire.info,"If true, all fluids without NBT tag will not be matched.",trueの場合、NBTタグなしのすべての液体は一致しません。
aspect.aspecttypes.integratedtunnels.boolean.fluid.nbtsubset,NBT subset,NBTサブセット
aspect.aspecttypes.integratedtunnels.boolean.fluid.nbtsubset.info,If the given NBT tag must be a subset of the fluid NBT tag.,指定されたNBTタグが液体NBTタグのサブセットである必要がある場合。
aspect.aspecttypes.integratedtunnels.boolean.fluid.nbtsuperset,NBT superset,NBTスーパーセット
aspect.aspecttypes.integratedtunnels.boolean.fluid.nbtsuperset.info,If the given NBT tag must be a superset of the fluid NBT tag.,指定されたNBTタグが液体NBTタグのスーパーセットである必要がある場合。
aspect.aspecttypes.integratedtunnels.boolean.item.checknbt,Check NBT,NBTをチェック
aspect.aspecttypes.integratedtunnels.boolean.item.checkstacksize,Check Stack Size,スタックサイズをチェック
aspect.aspecttypes.integratedtunnels.boolean.item.checkstacksize.info,"If only exactly the given stack size is allowed to be moved in one tick, not less.",1ティックで移動できるのが指定されたスタックサイズのみに制限される場合。
aspect.aspecttypes.integratedtunnels.boolean.item.nbtrecursive,Check NBT Recursively,NBTを再帰的にチェック
aspect.aspecttypes.integratedtunnels.boolean.item.nbtrecursive.info,If nested NBT tags and list should be checked recursively,ネストされたNBTタグとリストを再帰的にチェックする必要があるかどうか
aspect.aspecttypes.integratedtunnels.boolean.item.nbtrequire,Require Item NBT,アイテムNBTが必要
aspect.aspecttypes.integratedtunnels.boolean.item.nbtrequire.info,"If true, all items without NBT tag will not be matched.",trueの場合、NBTタグなしのすべてのアイテムは一致しません。
aspect.aspecttypes.integratedtunnels.boolean.item.nbtsubset,NBT subset,NBTサブセット
aspect.aspecttypes.integratedtunnels.boolean.item.nbtsubset.info,If the given NBT tag must be a subset of the item NBT tag.,与えられたNBTタグがアイテムのNBTタグのサブセットである必要があるかどうか。
aspect.aspecttypes.integratedtunnels.boolean.item.nbtsuperset,NBT superset,NBTスーパーセット
aspect.aspecttypes.integratedtunnels.boolean.item.nbtsuperset.info,If the given NBT tag must be a superset of the item NBT tag.,与えられたNBTタグがアイテムのNBTタグのスーパーセットである必要があるかどうか。
aspect.aspecttypes.integratedtunnels.boolean.passiveio,Passive Interaction,パッシブI/O
aspect.aspecttypes.integratedtunnels.boolean.passiveio.info,If the target may insert/extract to/from the network.,ターゲットがネットワークに挿入/抽出できる場合。
aspect.aspecttypes.integratedtunnels.boolean.player.continuousclick,Continuous Click,連続クリック
