key,source_text,target_text
config.inventoryhud.category.armorhud,ArmorStatus HUD,防具HUD
config.inventoryhud.category.inventoryhud,Inventory HUD,インベントリHUD
config.inventoryhud.category.potionshud,Potions HUD,ポーションHUD
gui.config.inventoryhud.title,Inventory HUD+ Settings,Inventory HUD+ 設定
inventoryhud.config.gui.arm.tt,Armor HUD options,防具HUDの設定
inventoryhud.config.gui.armbars,Bars:,耐久度ゲージ:
inventoryhud.config.gui.armbars.tt,Toggle on/off overlay durability bars,耐久度ゲージの表示を切り替えます
inventoryhud.config.gui.armcount,Item count:,アイテム所持数:
inventoryhud.config.gui.armcount.tt,Show overall count of items in main/off hand,手に持っているアイテムの総所持数表示を切り替えます
inventoryhud.config.gui.armdebug.tt,Show Armor HUD when debug gui is ON,デバッグ画面(F3)表示中も防具HUDを表示します
inventoryhud.config.gui.armempty,Show empty:,空スロット表示:
inventoryhud.config.gui.armempty.tt,Show/hide empty slot icons.,空スロットのアイコン表示を切り替えます
inventoryhud.config.gui.armhide,Hide above:,表示閾値:
inventoryhud.config.gui.armhide.tt,Hide item if durability higher than this value in percentage from 0 to 100,耐久度(%)がこの数値以下のアイテムのみを表示します
inventoryhud.config.gui.armmove,Move all:,まとめて移動:
inventoryhud.config.gui.armmove.tt.1,true - change position for all items at once,true - 全アイテムの表示位置をまとめて変更します
inventoryhud.config.gui.armmove.tt.2,false - change position for each item,false - 各アイテムの表示位置を個別に変更します
inventoryhud.config.gui.armscale,Scale:,スケール:
inventoryhud.config.gui.armscale.tt,Armor HUD scale,アーマーHUDの表示倍率を選択します
inventoryhud.config.gui.armtoggle,Armor HUD:,防具HUD:
inventoryhud.config.gui.armtoggle.tt,Toggle on/off Armor HUD,防具HUDの表示を切り替えます
inventoryhud.config.gui.armtype,Show:,表示:
inventoryhud.config.gui.armtype.tt,Toggle on/off items in Armor HUD,アイテム別で表示を切り替えます
inventoryhud.config.gui.armview,Durability type:,耐久度の表示形式:
inventoryhud.config.gui.armview.tt,Show durability in:,耐久度の表示形式を選択します:
inventoryhud.config.gui.armview.tt.1,PERCENTAGE - durability in percentage form 0 to 100.,PERCENTAGE - 耐久度を0~100%で表示します．
inventoryhud.config.gui.armview.tt.2,DAMAGE - How much damage was done to the item.,DAMAGE - 消費した耐久値を表示します．
inventoryhud.config.gui.armview.tt.3,DAMAGE_LEFT - How much damage item can get.,DAMAGE_LEFT - 残りの耐久値を表示します．
inventoryhud.config.gui.armview.tt.4,OFF - Turn off numbers.,OFF - 数値を表示しません．
inventoryhud.config.gui.arrowswithoutweapon,Arrows without weapon:,矢の数を常に表示:
inventoryhud.config.gui.arrowswithoutweapon.tt,Show arrows count even when no weapon in your hands,武器を手に持っていない時も矢の所持数を表示します
inventoryhud.config.gui.bardur,Bar duration:,残り時間ゲージ:
inventoryhud.config.gui.bardur.tt,Duration in seconds for full bar (setting for mini-mode),ゲージが最大となる秒数を設定します (小さく表示している時に使用されます)
inventoryhud.config.gui.bl.add,Add Effect,効果を追加する
