key,source_text,target_text
item.ironbows.damage_tooltip,Projectile Damage,投射物ダメージ
item.ironbows.diamond_bow,Diamond Bow,ダイヤモンドの弓
item.ironbows.diamond_crossbow,Diamond Crossbow,ダイヤモンドクロスボウ
item.ironbows.emerald_bow,Emerald Bow,エメラルドの弓
item.ironbows.emerald_crossbow,Emerald Crossbow,エメラルドクロスボウ
item.ironbows.golden_bow,Golden Bow,ゴールデン・ボウ
item.ironbows.golden_crossbow,Golden Crossbow,ゴールデンクロスボウ
item.ironbows.iron_bow,Iron Bow,鉄の弓
item.ironbows.iron_crossbow,Iron Crossbow,鉄の弩
item.ironbows.netherite_bow,Netherite Bow,ネザーiteの弓
item.ironbows.netherite_crossbow,Netherite Crossbow,ネザーイートクルーウォン
