key,source_text,target_text
block.irongenerators.allthemodium_generator,Allthemodium Generator,アレトモディウム発電機
block.irongenerators.bronze_generator,Bronze Generator,青銅発電機
block.irongenerators.certus_quartz_generator,Certus Generator,セルトス発電機
block.irongenerators.copper_generator,Copper Generator,銅発電機
block.irongenerators.diamond_generator,Diamond Generator,ダイヤモンドジェネレーター
block.irongenerators.dirt_generator,Dirt Generator 9000!,土のジェネレーター9000!
block.irongenerators.enderium_generator,Enderium Generator,エンダリウム発電機
block.irongenerators.gold_generator,Gold Generator,金の発電機
block.irongenerators.infinity_generator,The Everlasting Generator,永遠のジェネレーター
block.irongenerators.invar_generator,Invar Generator,インバールジェネレーター
block.irongenerators.iron_generator,Iron Generator,鉄の発電機
block.irongenerators.lead_generator,Lead Generator,鉛の発電機
block.irongenerators.netherite_generator,Netherite Generator,ネザーiteの発電機
block.irongenerators.netherrack_generator,Netherrack Generator,ネザー岩ジェネレーター
block.irongenerators.obsidian_generator,Obsidian Generator,黒曜石発電機
block.irongenerators.osmium_generator,Osmium Generator,オズミウム発電機
block.irongenerators.platin_generator,Platinum Generator,プラチナ発電機
block.irongenerators.quartz_enriched_iron_generator,Quartz Enriched Iron Generator,クォーツを豊富に含む鉄製発電機
block.irongenerators.refined_obsidian_generator,Refined Obsidian Generator,精製黒曜石発電機
block.irongenerators.signalum_generator,Signalum Generator,シグナルム発電機
block.irongenerators.skystone_generator,Skystone Generator,スカイストーン発電機
block.irongenerators.steel_generator,Steel Generator,鋼鉄ジェネレーター
block.irongenerators.stone_generator,Stone Generator,石のジェネレーター
block.irongenerators.tin_generator,Tin Generator,スズのジェネレーター
block.irongenerators.unobtainium_generator,Unobtainium Generator,アンオベイニウム発電機
block.irongenerators.uranium_generator,Uranium Generator,ウランジェネレーター
block.irongenerators.vibranium_generator,Vibranium Generator,ヴィブラニウム発電機
block.moregenerators.bronze_generator,Bronze Generator,青銅発電機
block.moregenerators.certus_quartz_generator,Certus Generator,セルトス発電機
block.moregenerators.copper_generator,Copper Generator,銅発電機
block.moregenerators.diamond_generator,Diamond Generator,ダイヤモンドジェネレーター
block.moregenerators.gold_generator,Gold Generator,金の発電機
block.moregenerators.icon,Icon,アイコン
block.moregenerators.iron_generator,Iron Generator,鉄の発電機
block.moregenerators.lead_generator,Lead Generator,鉛の発電機
block.moregenerators.netherite_generator,Netherite Generator,ネザーiteの発電機
block.moregenerators.obsidian_generator,Obsidian Generator,黒曜石発電機
block.moregenerators.osmium_generator,Osmium Generator,オズミウム発電機
block.moregenerators.refined_obsidian_generator,Refined Obsidian Generator,精製黒曜石発電機
block.moregenerators.skystone_generator,Skystone Generator,スカイストーン発電機
block.moregenerators.steel_generator,Steel Generator,鋼鉄ジェネレーター
block.moregenerators.stone_generator,Stone Generator,石のジェネレーター
block.moregenerators.tin_generator,Tin Generator,スズのジェネレーター
item.moregenerators.diamond_upgrade,Diamond Upgrade,ダイヤモンドアップグレード
item.moregenerators.emerald_upgrade,Emerald Upgrade,エメラルドアップグレード
item.moregenerators.flint_upgrade,Flint Upgrade,Flint アップグレード
item.moregenerators.generator_upgrade_diamondto_obsidian,Generator Upgrade: §9Diamond §rto §8Obsidian,ジェネレーターアップグレード: §9ダイヤモンド §rから §8黒曜石へ
item.moregenerators.generator_upgrade_ironto_gold,Generator Upgrade: Iron to §6Gold,ジェネレーターアップグレード: 鉄 → §6金
item.moregenerators.generator_upgrade_obsidianto_netheride,Generator Upgrade: §8Obsidian §rto §7Netherite,ジェネレーターアップグレード：§8黒曜石 §rから §7ネザーライトへ
item.moregenerators.generator_upgrade_stoneto_iron,Generator Upgrade: §7Stone §rto Iron,ジェネレーターアップグレード: §7石 §r→鉄
item.moregenerators.generator_upgrate_goldto_diamond,Generator Upgrade: §6Gold §rto §9Diamond,%s で採掘の方法を知りません。
item.moregenerators.netherstar_upgrade,Netherstar Upgrade,ネザー・スターアップグレード
itemGroup.tabmore_generators,Iron Generators,鉄ジェネレーター
