key,source_text,target_text
block.ironladders.aluminum_ladder,Aluminum Ladder,アルミニウムのはしご
block.ironladders.bronze_ladder,Bronze Ladder,青銅製の階段
block.ironladders.copper_ladder,Copper Ladder,銅のはしご
block.ironladders.diamond_ladder,Diamond Ladder,ダイヤモンドの階段
block.ironladders.exposed_copper_ladder,Exposed Copper Ladder,風化した銅のはしご
block.ironladders.gold_ladder,Golden Ladder,黄金の階段
block.ironladders.iron_ladder,Iron Ladder,鉄のはしご
block.ironladders.lead_ladder,Lead Ladder,鉛の梯子
block.ironladders.netherite_ladder,Netherite Ladder,ネザライト はしご
block.ironladders.oxidized_copper_ladder,Oxidized Copper Ladder,酸化した銅のはしご
block.ironladders.silver_ladder,Silver Ladder,銀の階段
block.ironladders.steel_ladder,Steel Ladder,鋼の階段
block.ironladders.tin_ladder,Tin Ladder,スズのはしご
block.ironladders.waxed_copper_ladder,Waxed Copper Ladder,錆止めされた銅のはしご
block.ironladders.waxed_exposed_copper_ladder,Waxed Exposed Copper Ladder,錆止めされた風化した銅のはしご
block.ironladders.waxed_oxidized_copper_ladder,Waxed Oxidized Copper Ladder,錆止めされた酸化した銅のはしご
block.ironladders.waxed_weathered_copper_ladder,Waxed Weathered Copper Ladder,錆止めされた錆びた銅のはしご
block.ironladders.weathered_copper_ladder,Weathered Copper Ladder,錆びた銅のはしご
config.info.morph_state,Morph: ,変形：
config.info.morph_upgrade,Shift + Right click to morph multiple ladders,Shift+右クリックで複数の梯子を変形させる
config.info.other_upgrade,Shift + Left click for multiple uses,シフトキー + 左クリックで複数回使用可能
config.info.power_state,State: ,状態: 
config.info.power_state_off,Off,オフ
config.info.power_state_on,On,オン
config.info.tier_upgrade,Shift + Left click to upgrade multiple ladders,Shift + 左クリックで複数の梯子をアップグレード
config.jade.plugin_minecraft.ironladders,Iron Ladders states,鉄の階段の状態
config.nei.light_upgrade,"With this upgrade, the ladder begins to emit light. The level of light emission is 13.

Once the ladder is destroyed, it does not retain the effect of this upgrade","このアップグレードにより、はしごが光を放つようになります。光の放射レベルは13です。

はしごが破壊されると、このアップグレードの効果は保持されません"
config.nei.power_upgrade,"Depending on the incoming redstone signal will raise entities up. The signal spreads from ladder to ladder in a similar fashion to powered ladders.
Once the ladder is destroyed, it does not retain the effect of this upgrade","受け取るレッドストーン信号に応じて、エンティティを上に上げます。信号はパワーはしごと同様の方法で、はしごからはしごへと伝播します。

はしごが破壊されると、このアップグレードの効果は保持されません"
item.ironladders.copper_upgrade,Wooden to Copper Ladder Upgrade,木製から銅製の階段アップグレード
item.ironladders.diamond_upgrade,Gold to Diamond Ladder Upgrade,金からダイヤモンドのはしごアップグレード
item.ironladders.gold_upgrade,Iron to Gold Ladder Upgrade,鉄から金への階段アップグレード
item.ironladders.hiding_upgrade,Concealment Upgrade,隠蔽アップグレード
item.ironladders.iron_upgrade,Copper to Iron Ladder Upgrade,銅から鉄への階段アップグレード
item.ironladders.light_upgrade,Glow Upgrade,光のアップグレード
item.ironladders.morph_upgrade,Morph Upgrade,変形アップグレード
item.ironladders.netherite_upgrade,Diamond to Netherite Ladder Upgrade,ダイヤモンドからネザーライトへの階段アップグレード
item.ironladders.power_upgrade,Power Upgrade,パワーアップグレード
item.ironladders.wood_aluminum_upgrade,Wooden to Aluminum Ladder Upgrade,木製からアルミニウムへの階段アップグレード
item.ironladders.wood_bronze_upgrade,Wooden to Bronze Ladder Upgrade,木製から青銅製の階段アップグレード
item.ironladders.wood_diamond_upgrade,Wooden to Diamond Ladder Upgrade,木製からダイヤモンドラダーへのアップグレード
item.ironladders.wood_gold_upgrade,Wooden to Gold Ladder Upgrade,木材から金への階段アップグレード
item.ironladders.wood_iron_upgrade,Wooden to Iron Ladder Upgrade,木材から鉄への階段アップグレード
item.ironladders.wood_lead_upgrade,Wooden to Lead Ladder Upgrade,木材から鉛への階段アップグレード
item.ironladders.wood_netherite_upgrade,Wooden to Netherite Ladder Upgrade,木製からネザーライトのはしごアップグレード
item.ironladders.wood_silver_upgrade,Wooden to Silver Upgrade,木製から銀のアップグレード
item.ironladders.wood_steel_upgrade,Wooden to Steel Upgrade,木材から鋼鉄へのアップグレード
item.ironladders.wood_tin_upgrade,Wooden to Tin Ladder Upgrade,木製からスズへのはしごアップグレード
itemgroup.ironladders,Iron Ladders,鉄の階段
tooltip.item.upgrade.additional_info,Use Shift + LMB for multiple use,シフトキー + 左クリックで複数使用
tooltip.item.upgrade.additional_info_2,Use Shift + RMB for multiple use,シフトキー + 右クリックで複数使用
tooltip.item.upgrade.aluminum,Aluminum,アルミニウム
tooltip.item.upgrade.bonus,Speed bonus: %s,スピードボーナス: %s
tooltip.item.upgrade.bronze,Bronze,青銅
tooltip.item.upgrade.copper,Copper,銅
tooltip.item.upgrade.default,Wooden,木製
tooltip.item.upgrade.diamond,Diamond,ダイヤモンド
tooltip.item.upgrade.disabled,Disabled,無効
tooltip.item.upgrade.exposed_copper,Exposed Copper,露出した銅
tooltip.item.upgrade.gold,Gold,金
tooltip.item.upgrade.hiding_info,"Hides the visual changes of Glowing, Powered upgrades",グローイング、パワードアップグレードの視覚的変化を隠します
tooltip.item.upgrade.hiding_info_2,Functionality remains unchanged,機能は変更されていません
tooltip.item.upgrade.iron,Iron,鉄
tooltip.item.upgrade.lead,Lead,鉛
tooltip.item.upgrade.light_info,Ladders with this upgrade will emit light,このアップグレード付きは梯子から光を放ちます
tooltip.item.upgrade.morph_info,Changes the visual style of the ladder to the copied one,コピーしたものに合わせて階段のビジュアルスタイルを変更します
tooltip.item.upgrade.morph_info_2,Shift + Click on the ladder to copy its style,階段をShift + クリックしてスタイルをコピーします
tooltip.item.upgrade.morph_info_3,Climbing speed remains unchanged,上昇速度は変更されません
tooltip.item.upgrade.morph_info_4,From any to ,どのタイプから
tooltip.item.upgrade.netherite,Netherite,ネザライト
tooltip.item.upgrade.not_consumable,Not Consumable,消費しない
tooltip.item.upgrade.oxidized_copper,Oxidized Copper,酸化した銅
tooltip.item.upgrade.powered_info,Ladders with this upgrade will automatically raise/lower creatures,このアップグレード付きの梯子は生物を自動的に上げ/下げます
tooltip.item.upgrade.powered_info_2,Direction is switched with redstone signal,方向はレッドストーン信号で切り替わる。
tooltip.item.upgrade.silver,Silver,銀
tooltip.item.upgrade.steel,Steel,鋼鉄
tooltip.item.upgrade.tin,Tin,スズ
tooltip.item.upgrade.upgrades_amount,Upgrades up to §l%s §rladders,§l%s §rまでの階段をアップグレード
tooltip.item.upgrade.vines,Vines,つる
tooltip.item.upgrade.weathered_copper,Weathered Copper,風化された銅
