key,source_text,target_text
itemstages.hidden_name,Not so Unfamiliar Item,それほど不慣れなアイテムではありません
message.itemstages.drop,You dropped the %s.,あなたは%sを落としました。
message.itemstages.mine,You do not know how to mine with the %s.,- このアイテムは武器として使用できません。
message.itemstages.pickup,You could not pick up the %s.,%s を拾うことができませんでした。
message.itemstages.use,You do not know how to use the %s.,%sの使い方がわかりません。
tooltip.itemstages.debug.attack,- This item can not be used as a weapon.,レシピが記録されていないため、エクスポートできません。
tooltip.itemstages.debug.drop,- This item will be dropped out of the inventory.,- このアイテムはインベントリから落ちます。
tooltip.itemstages.debug.jei,- This item will be hidden in JEI.,- このアイテムはJEIで非表示になります
tooltip.itemstages.debug.pickup,- This item can not be picked up.,- このアイテムは拾うことができません。
tooltip.itemstages.debug.use,- This item can not be used on blocks or entities.,- このアイテムはブロックやエンティティには使用できません。
tooltip.itemstages.hidden_name,Unfamiliar Item,異なるアイテム
tooltip.itemstages.item.description,This item has been staged to [%s],このアイテムは [%s] にステージングされています
tooltip.itemstages.name.default,Unfamiliar Item,異なるアイテム
tooltip.itemstages.description,You do not know how to use this yet.,まだ使い方がわかりません。
tooltip.itemstages.info,You need stage %s first.,ステージ %s をまず必要です。
tooltip.itemstages.stage,Stage:,段階:
tooltip.itemstages.enchant,You cannot use this without first understanding the enchantment.,このエンチャントメントを理解せずに使用することはできません。
message.itemstages.attack,You can't deal damage with %s without understanding the enchantment.,%s でダメージを与えるにはエンチャントを理解する必要があります。
