key,source_text,target_text
itemGroup.jaff,Just a Few Fish,いくつかの魚
tile.tank.name,Fish Tank,魚のタンク
item.iron_hook.name,Iron Fish Hook,鉄魚フック
item.fish_bones.name,Fish Bones,魚の骨
item.wooden_fishing_rod.name,Wooden Fishing Rod,木製釣り竿
item.iron_fishing_rod.name,Iron Fishing Rod,鉄の釣竿
item.golden_fishing_rod.name,Gold Fishing Rod,金の釣り竿
item.diamond_fishing_rod.name,Diamond Fishing Rod,ダイヤモンドの釣竿
item.fish_bucket_cod.name,Bucket with Cod,コダの桶
item.fish_bucket_salmon.name,Bucket with Salmon,サーモン入りバケツ
item.fish_bucket_clownfish.name,Bucket with Clownfish,クラウンフィッシュ入りバケツ
item.fish_bucket_pufferfish.name,Bucket with Pufferfish,フラミンゴの入ったバケツ
bait.seeds.name,Seeds,種
bait.worms.name,Worms,ワーム
entity.cod.name,Cod,コード
entity.salmon.name,Salmon,サルモン
entity.clownfish.name,Clownfish,クマノミ
entity.pufferfish.name,Pufferfish,パufferフィッシュ
entity.iron_fish_hook.name,Iron Fish Hook,鉄魚フック
rod.info.bait,Bait: %1$s of %2$s,餌：%1$sの%2$s
enchantment.fireFishingRod,Roasting,ロースト
subtitles.item.rod.reel,Fishing Rod Reels,釣り竿リール
advancements.story.iron_hook.title,Cutting-Edge Fishing,最先端釣り
advancements.story.iron_hook.description,Craft an iron fish hook,鉄の魚針をクラフトする
advancements.husbandry.bait_hook.title,A Fish's Favorite Food,魚のお気に入りの食べ物
advancements.husbandry.bait_hook.description,Craft seeds around a JAFF fishing rod to bait it,JAFF釣り竿の周りに種を作って餌として使用します。
advancements.husbandry.jaff_fish.title,I Caught One!,捕まえた！
advancements.husbandry.jaff_fish.description,Catch a fish mob,魚モブを捕まえる
advancements.husbandry.fish_bucket.title,Catch and Release,捕獲と放流
advancements.husbandry.fish_bucket.description,Catch a fishy friend with a water bucket in your hotbar,ホットバーに水バケツを持って、魚の友達を捕まえてください
advancements.husbandry.fish_tank.title,You Can Farm Them?,彼らを育てることができますか？
advancements.husbandry.fish_tank.description,Craft a fish tank block,魚タンクブロックをクラフトする
