key,source_text,target_text
_comment,Tooltips,ツールチップ
config.jeiintegration.tooltips.burnTimeTooltipMode,Burn Time Tooltip,燃焼時間のツールチップ
config.jeiintegration.tooltips.durabilityTooltipMode,Durability Tooltip,耐久度のツールチップ
config.jeiintegration.tooltips.foodTooltipMode,Hunger/Saturation Tooltip,空腹度/飽和度のツールチップ
config.jeiintegration.tooltips.maxStackSizeTooltipMode,Max Stack Size Tooltip,最大スタック数のツールチップ
config.jeiintegration.tooltips.nbtTooltipMode,NBT Data Tooltip,NBTデータのツールチップ
config.jeiintegration.tooltips.registryNameTooltipMode,Registry Name Tooltip,レジストリ名のツールチップ
config.jeiintegration.tooltips.tagsTooltipMode,Tags Tooltip,タグのツールチップ
config.jeiintegration.tooltips.translationKeyTooltipMode,Translation Key Tooltip,翻訳キーのツールチップ
tooltip.jeiintegration.burnTime,Burn Time:,燃焼時間:
tooltip.jeiintegration.burnTime.suffix,ticks,ターン
tooltip.jeiintegration.durability,Durability:,耐久値:
tooltip.jeiintegration.hunger,Hunger:,空腹度:
tooltip.jeiintegration.maxStackSize,Max Stack Size:,最大スタック数:
tooltip.jeiintegration.nbtTagData,NBT:,NBT:
tooltip.jeiintegration.registryName,ID:,ID:
tooltip.jeiintegration.saturation,Saturation:,飽和度:
tooltip.jeiintegration.tags,Tags:,タグ:
tooltip.jeiintegration.translationKey,Translation Key:,翻訳キー:
config.jeiintegration.tooltips.enchantabilityTooltipMode,Enchantability Tooltip,エンチャント適性のツールチップ
tooltip.jeiintegration.enchantability,Enchantability:,エンチャント適性:
