key,source_text,target_text
emi.category.justenoughbreeding.breeding,Breeding,繁殖
modmenu.descriptionTranslation.justenoughbreeding,JEI/REI/EMI plugin that displays breeding information,繁殖情報を表示する JEI/REI/EMI プラグイン
translation.justenoughbreeding.breeding,Breeding,繁殖
translation.justenoughbreeding.tamed,Tamed,ペット
translation.justenoughbreeding.trusting,Trusting,信頼
emi.category.justenoughbreeding.allay_duplication,Allay Duplication,Allay 複製
emi.category.justenoughbreeding.taming,Taming,飼育
emi.category.justenoughbreeding.temper,Temper,性格
emi.category.justenoughbreeding.transformation,Transformation,変換
emi.category.justenoughbreeding.trusting,Trusting,信頼
translation.justenoughbreeding.allay_duplication,Allay Duplication,Allay 複製
translation.justenoughbreeding.taming,Taming,飼育
translation.justenoughbreeding.temper,Temper,性格
translation.justenoughbreeding.transformation,Transformation,変換
