key,source_text,target_text
box.keybindbundles.bundle_name,Insert key bundle name,キーバンドル名を入力
box.keybindbundles.key_icon_id,Item icon ID,アイテムアイコンID
button.keybindbundles.add_bundle,Add key bundle,キーバンドルを追加
button.keybindbundles.edit,Edit,編集
button.keybindbundles.select,Select,選択
keybindbundles.configuration.ignoreInvalidKeyChecks,Ignore invalid key checks in #isKeyDown,#isKeyDownで無効なキーチェックを無視
message.keybindbundles.confirm_deletion,Are you sure you want to delete this bundle?,このバンドルを削除してもよろしいですか？
title.keybindbundles.confirm_deletion,Confirm deletion,削除の確認
tooltip.keybindbundles.bundle.edit_entry,Left click to edit entry,左クリックでエントリを編集
tooltip.keybindbundles.bundle.move_counterclockwise,Shift Right Click to move entry counterclockwise,Shift右クリックでエントリを反時計回りに移動
box.keybindbundles.key_icon,Key Item Icon ID,キーアイテムアイコンID
button.keybindbundles.selected,Selected,選択済み
key.keybindbundles.open_screen,Open Key Bindings Screen,キー割り当て画面を開く
keybindbundles.configuration.clipMouseToMenu,Clip mouse within radial menu bounds,マウスをラジアルメニュー内に制限
keybindbundles.configuration.triggerKeymappingOnRelease,Trigger hovered keymapping on bundle release,バンドル解放時にホバー中のキーマッピングを実行
button.keybindbundles.delete,Delete,削除
category.keybindbundles,KeyBind Bundles,
key.keybindbundles.open_radial_menu,Open Bundle radial menu,バンドルラジアルメニューを開く
title.keybindbundles.adding_bundle,Creating a new key bundle,新しいキーバンドルを作成
title.keybindbundles.editing_key,Editing Key %s,キー%sを編集中
box.keybindbundles.key_title,Key Title,キータイトル
key.keybindbundles.bundle,Key bundle §6%s§r,キーバンドル §6%s§r
title.keybindbundles.editing_keybundle,Editing Key Bundle §6%s§r,キーバンドル §6%s§r を編集中
tooltip.keybindbundles.bundle.delete_entry,Shift Left Click to delete entry,Shift左クリックでエントリを削除
tooltip.keybindbundles.bundle.move_clockwise,Right click to move entry clockwise,右クリックでエントリを時計回りに移動
tooltip.keybindbundles.delete_bundle,Delete key bundle,キーバンドルを削除
