key,source_text,target_text
commands.kiwi.configure.failed,Unknown error occurred.,不明なエラーが発生しました。
commands.kiwi.configure.install,Please install Cloth Config API to use this command.,このコマンドを使用するには Cloth Config API をインストールしてください。
commands.kiwi.reload.failed,Configuration %s is not found or not provided by Kiwi.,コンフィグ %s は見つかりません、または Kiwi によって提供されていません。
commands.kiwi.reload.success,Configuration %s has been reloaded.,コンフィグ %s がリロードされました。
cosmetic.snownee.2020q3,Planets,惑星
cosmetic.snownee.2020q4,Fox,キツネ
cosmetic.snownee.2021q1,Electronicat,エレクトロキャット
cosmetic.snownee.sunny_milk,Sunny Milk,サニーミルク
cosmetic.snownee.xmas,Santa Hat,サンタの帽子
gui.kiwi.builder.convert,Convert items,アイテムを変換
gui.kiwi.cosmetic.disabled,Keybind Disabled,キーバインドが無効
gui.kiwi.cosmetic.enabled,Keybind Enabled,キーバインド有効
item.kiwi.first_item.tip,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.

Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.

Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","すべての側面において、苦しみそのものを愛しているため、また苦しみ自体によってもたらされるからである。

苦しむことがしばしば起こることから、つまり退屈さえも苦しみからは生じるが、それでも労働と苦痛のみを行い、喜びや喜びの果実を得ない人がいる。その理由は、それが本当に困難で、重い苦労が必要だからである。"
item.kiwi.first_item.tip.shift,"§2Curabitur pretium tincidunt lacus. Nulla gravida orci a odio.

Nullam varius, turpis et commodo pharetra, est eros bibendum elit, nec luctus magna felis sollicitudin mauris.

Integer in mauris eu nibh euismod gravida.","§2これらの条件下では、彼らはまたしても苦しみを好むでしょう。しかし、苦しむことをどのように正当化するか、またはそれがどのような結果をもたらすかについての知識がないため。

しかし、私たちはこの非常に小さなしるしに従うべきです。これが本当に困難であるとしても、喜びは苦痛よりも優れています。"
key.kiwi.builders_button2,Builder's Button,ビルダーのボタン
kiwi.builder_mode.off,Builder Mode: §cOFF,ビルダー モード: §cOFF
kiwi.builder_mode.on,Builder Mode: §aON,ビルダー モード: §aON
kiwi.config.client,Client-side,クライアント側
kiwi.config.common,Common,コモン
kiwi.config.cosmeticScreenKeybind,Cosmetic Screen Keybind,装飾スクリーンのキー結合
kiwi.config.cosmeticScreenKeybind.desc,"Opens the Kiwi Cosmetic Screen by holding K, if you have available cosmetics",Kキーを押し続けてKiwi Cosmetic Screenを開きます（利用可能なコスメがある場合）
kiwi.config.debug,Debug,デバッグ
kiwi.config.debug.F3CopyInInventory,F3 Copy In Inventory,F3コピーインインベントリ
kiwi.config.debug.NBTTooltip.desc,Shows item NBT in advanced tooltips (F3+H) while holding shift,シフトキーを押しながら詳細ツールチップ (F3+H) でアイテムのNBT を表示
kiwi.config.debug.printDataComponentsWhenCopy,Print Data Components When Copy,コピー時にデータコンポーネントを表示
