key,source_text,target_text
libipn.common.enum.context.any,In-game / Gui,ゲーム内/Gui
libipn.common.enum.context.gui,Gui,Gui
libipn.common.enum.context.ingame,In-game,ゲーム内
libipn.common.enum.key_action.both,Press / Release,押す / リリース
libipn.common.enum.key_action.press,Press,押す
libipn.common.enum.key_action.release,Release,リリース
libipn.common.enum.modifier_key.differentiate,Diff left/right,左右の差
libipn.common.enum.modifier_key.normal,Normal,通常
libipn.common.gui.config.activate_on,Activate On,アクティブオン
libipn.common.gui.config.advanced_keybind_settings,Advanced Key Binding Settings,上級者向けのキー設定
libipn.common.gui.config.allow_extra_keys,Allow Extra Keys,追加キーを許可
libipn.common.gui.config.color_picker_dialog,Pick a Color,色を選択
libipn.common.gui.config.colorpicker.alpha,Alpha,アルファ
libipn.common.gui.config.colorpicker.blue,Blue,青
libipn.common.gui.config.colorpicker.green,Green,緑
libipn.common.gui.config.colorpicker.red,Red,赤
libipn.common.gui.config.context,Context,コンテキスト
libipn.common.gui.config.description.settings_screen.search-box,Shows only options that match the search term in the box.,検索語と一致するオプションのみ表示します。
libipn.common.gui.config.false,§4false,§4false
libipn.common.gui.config.keybind_settings_tips,"- Left click to configure
- Right click to reset to defaults","- 左クリックで設定
- 右クリックで既定値にリセット"
libipn.common.gui.config.more," ...(more)"," ...(詳しく)"
libipn.common.gui.config.no,no,no
libipn.common.gui.config.order_sensitive,Order Sensitive,順序敏感
libipn.common.gui.config.reset,Reset,リセット
libipn.common.gui.config.settings_screen.search-box,Search,検索
libipn.common.gui.config.true,§2true,§2true
libipn.common.gui.config.yes,yes,はい
