key,source_text,target_text
curios.identifier.left_arm,Left Arm,左腕
curios.identifier.left_leg,Left Leg,左脚
curios.identifier.right_arm,Right Arm,右腕
curios.identifier.right_leg,Right Leg,右脚
curios.identifier.torso,Torso,胴体
item.limbs.drowned_head,Drowned Head,ドラウンドの頭
item.limbs.drowned_left_arm,Drowned Left Arm,水母左腕
item.limbs.drowned_left_leg,Drowned Left Leg,水母左脚
item.limbs.drowned_right_arm,Drowned Right Arm,溺れた右腕
item.limbs.drowned_right_leg,Drowned Right Leg,溺れた右脚
item.limbs.drowned_torso,Drowned Torso,溺れた胴体
item.limbs.enderman_head,Enderman Head,エンダーマンの頭
item.limbs.enderman_left_arm,Enderman Left Arm,エンダーマン左腕
item.limbs.enderman_left_leg,Enderman Left Leg,エンダーマン左脚
item.limbs.enderman_right_arm,Enderman Right Arm,エンダーマンの右腕
item.limbs.enderman_right_leg,Enderman Right Leg,エンダーマンの右脚
item.limbs.enderman_torso,Enderman Torso,エンダーマンの胴体
item.limbs.husk_head,Husk Head,ハスクの頭
item.limbs.husk_left_arm,Husk Left Arm,ホスの左腕
item.limbs.husk_left_leg,Husk Left Leg,ホスの左脚
item.limbs.husk_right_arm,Husk Right Arm,ホスの右腕
item.limbs.husk_right_leg,Husk Right Leg,ホスの右脚
item.limbs.husk_torso,Husk Torso,ハスクの胴体
item.limbs.piglin_brute_head,Piglin Brute Head,ピグリンブラートヘッド
item.limbs.piglin_brute_left_arm,Piglin Brute Left Arm,ピグリンブリート左腕
item.limbs.piglin_brute_left_leg,Piglin Brute Left Leg,ピグリンブリート左脚
item.limbs.piglin_brute_right_arm,Piglin Brute Right Arm,ピグリンブリートの右腕
item.limbs.piglin_brute_right_leg,Piglin Brute Right Leg,ピグリンブリートの右脚
item.limbs.piglin_brute_torso,Piglin Brute Torso,ピグリン・ブリートの胴体
item.limbs.piglin_head,Piglin Head,ピグリンの頭
item.limbs.piglin_left_arm,Piglin Left Arm,ピグリンの左腕
item.limbs.piglin_left_leg,Piglin Left Leg,ピグリンの左脚
item.limbs.piglin_right_arm,Piglin Right Arm,猪灵右腕
item.limbs.piglin_right_leg,Piglin Right Leg,猪灵右脚
item.limbs.piglin_torso,Piglin Torso,ピグリンの胴体
item.limbs.skeleton_head,Skeleton Head,スケルトンの頭
item.limbs.skeleton_left_arm,Skeleton Left Arm,スケルトン左腕
item.limbs.skeleton_left_leg,Skeleton Left Leg,スケルトン左脚
item.limbs.skeleton_right_arm,Skeleton Right Arm,スケルトンの右腕
item.limbs.skeleton_right_leg,Skeleton Right Leg,スケルトンの右脚
item.limbs.skeleton_torso,Skeleton Torso,スケルトンの胴体
item.limbs.stray_head,Stray Head,ストレイの頭
item.limbs.stray_left_arm,Stray Left Arm,スレイの左腕
item.limbs.stray_left_leg,Stray Left Leg,スレイの左脚
item.limbs.stray_right_arm,Stray Right Arm,スリーブの右腕
item.limbs.stray_right_leg,Stray Right Leg,スリーブの右脚
item.limbs.stray_torso,Stray Torso,迷いの胴体
item.limbs.wither_skeleton_head,Wither Skeleton Head,ウィザー・スケルトンの頭
item.limbs.wither_skeleton_left_arm,Wither Skeleton Left Arm,ウィザー・スケルトン 左腕
item.limbs.wither_skeleton_left_leg,Wither Skeleton Left Leg,ウィザー・スケルトン左脚
item.limbs.wither_skeleton_right_arm,Wither Skeleton Right Arm,ワーストスケルトンの右腕
item.limbs.wither_skeleton_right_leg,Wither Skeleton Right Leg,ワーストスケルトンの右脚
item.limbs.wither_skeleton_torso,Wither Skeleton Torso,ウィザースケルトン胴体
item.limbs.zombie_head,Zombie Head,ゾンビの頭
item.limbs.zombie_left_arm,Zombie Left Arm,ゾンビの左腕
item.limbs.zombie_left_leg,Zombie Left Leg,ゾンビの左脚
item.limbs.zombie_right_arm,Zombie Right Arm,僵尸右腕
item.limbs.zombie_right_leg,Zombie Right Leg,僵尸右脚
item.limbs.zombie_torso,Zombie Torso,ゾンビの胴体
item.limbs.zombified_piglin_head,Zombified Piglin Head,ゾンビファイズピグリン頭
item.limbs.zombified_piglin_left_arm,Zombified Piglin Left Arm,ゾンビ化されたピグリンの左腕
item.limbs.zombified_piglin_left_leg,Zombified Piglin Left Leg,ゾンビ化されたピグリンの左脚
item.limbs.zombified_piglin_right_arm,Zombified Piglin Right Arm,ゾンビ化されたピグリンの右腕
item.limbs.zombified_piglin_right_leg,Zombified Piglin Right Leg,ゾンビ化されたピグリンの右脚
item.limbs.zombified_piglin_torso,Zombified Piglin Torso,ゾンビフィードピグリンの胴体
itemGroup.limbs.tab,Limbs,四肢
