key,source_text,target_text
pickup.loot_journal.experience_multiple,Experience (%s),経験値 (%s)
pickup.loot_journal.experience_single,Experience,経験値
pickup.loot_journal.grouped_items_multiple,And %s Other Items,他に %s 件のアイテムがあります
pickup.loot_journal.grouped_items_single,And %s Other Item,他に%sアイテムがあります
pickup.loot_journal.item_multiple,%s x%s,
pickup.loot_journal.item_single,%s,
text.autoconfig.obscuria/loot_journal-client.option.display,Display,表示
text.autoconfig.obscuria/loot_journal-client.option.display.displayExperience,Display Experience,経験値を表示
text.autoconfig.obscuria/loot_journal-client.option.display.displayTotal,Display Total,総額を表示
text.autoconfig.obscuria/loot_journal-client.option.display.experienceColor,Experience Color,経験値色
text.autoconfig.obscuria/loot_journal-client.option.display.groupedItemsColor,Grouped Items Color,グループ化されたアイテムの色
text.autoconfig.obscuria/loot_journal-client.option.display.itemsColor,Items Color,アイテム色
text.autoconfig.obscuria/loot_journal-client.option.display.style,Style,スタイル
text.autoconfig.obscuria/loot_journal-client.option.display.useRarityColor,Use Rarity Color,レアリティカラーを使用
text.autoconfig.obscuria/loot_journal-client.option.filtering,Filtering,フィルタリング
text.autoconfig.obscuria/loot_journal-client.option.filtering.defaultBehavior,Default Behavior,デフォルト動作
text.autoconfig.obscuria/loot_journal-client.option.filtering.itemsBlacklist,Items Blacklist,アイテム黒リスト
text.autoconfig.obscuria/loot_journal-client.option.filtering.itemsWhitelist,Items Whitelist,アイテム白リスト
text.autoconfig.obscuria/loot_journal-client.option.filtering.tabsBlacklist,Category Blacklist,カテゴリ黒リスト
text.autoconfig.obscuria/loot_journal-client.option.filtering.tabsWhitelist,Category Whitelist,カテゴリ白リスト
text.autoconfig.obscuria/loot_journal-client.option.positioning,Positioning,位置設定
text.autoconfig.obscuria/loot_journal-client.option.positioning.anchor,Anchor,アンカー
text.autoconfig.obscuria/loot_journal-client.option.positioning.anchorOffset,Anchor Offset,アンカーのオフセット
text.autoconfig.obscuria/loot_journal-client.option.positioning.maxQueuedNotifications,Max Queued Notifications,最大待ち通知数
text.autoconfig.obscuria/loot_journal-client.option.positioning.maxVisibleNotifications,Max Visible Notifications,表示可能な通知の最大数
text.autoconfig.obscuria/loot_journal-client.option.positioning.notificationLifetime,Notification Lifetime,通知の有効期間
text.autoconfig.obscuria/loot_journal-client.option.positioning.notificationSeparation,Notification Separation,通知分離
text.autoconfig.obscuria/loot_journal-client.title,Loot Journal Options,Loot Journal オプション
