key,source_text,target_text
command.coins.add.success,%2$s received %1$d %3$s,%2$s が %1$d の %3$s を受け取った
command.coins.rank.title,Magnates Ranking,マグネートランキング
command.coins.set.success,%2$s set to %1$d %3$s,%2$s は %1$d %3$s に設定されました
item.magic_coins.crystal_coin,Crystal Coin,水晶硬貨
item.magic_coins.crystal_coin.description,The value of this coin is $%s,このコインの価値は $%s です
item.magic_coins.gold_coin,Gold Coin,金貨
item.magic_coins.gold_coin.description,The value of this coin is $%s,このコインの価値は $%s です
item.magic_coins.prosperity_amulet,Prosperity Amulet,繁栄のアミュレット
item.magic_coins.silver_coin,Silver Coin,銀の硬貨
item.magic_coins.silver_coin.description,The value of this coin is $%s,このコインの価値は $%s です
item.prosperity_amulet.description_0.effect_0,Protects the coins in,コインを保護します。
item.prosperity_amulet.description_0.effect_1,When health is below 50% grants a,体力が50％未満になると、あるものを付与する
item.prosperity_amulet.description_1.effect_0,your pouch if you die,あなたのポーチにあるコインは死亡時も保護されます。
item.prosperity_amulet.description_1.effect_1,regeneration I effect for 3 seconds.,再生 I 効果 3 秒間。
item_group.magic_coins.magic_group,Magic Coins,魔法硬貨
text.coin,coin,コイン
text.coins,coins,コイン
text.page,page,ページ
