key,source_text,target_text
advancements.progressive_difficulty.angler_treasure_bag.description,Open an Angler Treasure Bag,釣り人のトレジャーバッグを開ける
advancements.progressive_difficulty.angler_treasure_bag.title,Fishing Fanatic,釣りマニア
advancements.progressive_difficulty.bleeding.description,Bleed for the first time,初めて出血する
advancements.progressive_difficulty.bleeding.title,Is this... blood?,これは...血?
advancements.progressive_difficulty.bleeding_cactus.description,Touch a cactus and bleed,サボテンを触って出血する
advancements.progressive_difficulty.bleeding_cactus.title,Ouch!,あいてっ!
advancements.progressive_difficulty.bleeding_healed.description,Use a Bandage to stop the Bleeding,包帯で出血を止める
advancements.progressive_difficulty.bleeding_healed.title,'Tis But a Scratch!,かすり傷だ!
advancements.progressive_difficulty.bleeding_healed_other.description,Use a Golden Bandage on someone else,他のプレイヤーに金の包帯を使う
advancements.progressive_difficulty.bleeding_healed_other.title,For a Friend In Need,困っている友人のために
advancements.progressive_difficulty.bleeding_inflicted.description,Make any mob bleed,Mobを血祭りにあげる
advancements.progressive_difficulty.bleeding_inflicted.title,Bloodthirsty,血の渇き
advancements.progressive_difficulty.creeperling.description,Encounter a Creeperling,クリープリングに遭遇する
advancements.progressive_difficulty.creeperling.title,What Was That!?,今のは何だ？
advancements.progressive_difficulty.elder_guardian_treasure_bag.description,Open an Elder Guardian Treasure Bag,エルダーガーディアンのトレジャーバッグを開ける
advancements.progressive_difficulty.elder_guardian_treasure_bag.title,Ocean Looter,海の略奪者
advancements.progressive_difficulty.ender_dragon_treasure_bag.description,Open an Ender Dragon Treasure Bag,エンダードラゴンのトレジャーバッグを開ける
advancements.progressive_difficulty.ender_dragon_treasure_bag.title,The End of the End?,終わりの終わり？
advancements.progressive_difficulty.enderium_ingot.description,Acquire Enderium Ingot,エンデリウムインゴットを手に入れる
advancements.progressive_difficulty.enderium_ingot.title,Mysterious Ingot,不思議なインゴット
advancements.progressive_difficulty.enderium_shard.description,Acquire Enderium Shard,エンデリウムの欠片を手に入れる
advancements.progressive_difficulty.enderium_shard.title,Strange Shards,奇妙な破片
advancements.progressive_difficulty.enderman_teleport_attack.description,Get teleported by the Enderman,エンダーマンにテレポートさせられる
advancements.progressive_difficulty.enderman_teleport_attack.title,I Am Confusion,混乱
advancements.progressive_difficulty.kill_yourself.description,Defeat the Undead Version of Yourself,自分のゾンビを殺す...
advancements.progressive_difficulty.kill_yourself.title,'Kill Yourself' Has Acquired a New Meaning,新しい意味の自殺
