key,source_text,target_text
item.matc.imperium_crystal,§9Imperium Infusion Crystal,§9インペリウム注入水晶
item.matc.inferium_crystal,§eInferium Infusion Crystal,§eインフェリウム注入水晶
item.matc.prudentium_crystal,§2Prudentium Infusion Crystal,§2プリズマリン浸透クリスタル
item.matc.supremium_crystal,§cSupremium Infusion Crystal,§cスーパーエンピュージョンクラスタ
item.matc.tertium_crystal,§6Tertium Infusion Crystal,§6テルティウム注入クリスタル
itemGroup.matc,Mystical Agriculture Tiered Crystals,ミステリアス農業階層クリスタル
item.inferiumcrystal.name,§eInferium Infusion Crystal,§eインフェリウム注入水晶
item.prudentiumcrystal.name,§2Prudentium Infusion Crystal,§2プリズマリン浸透クリスタル
item.intermediumcrystal.name,§6Intermedium Infusion Crystal,§6インターミディアム注入クリスタル
item.superiumcrystal.name,§9Superium Infusion Crystal,§9スーパリウムインフュージョンクリスタル
item.supremiumcrystal.name,§cSupremium Infusion Crystal,§cスーパーエンピュージョンクラスタ
itemGroup.tab_matc,Mystical Agriculture Tiered Crystals,ミステリアス農業階層クリスタル
matc.config.infusiondurabilities,Infusion Crystal Durabilities,注入クリスタル耐久値
matc.config.infusiondurabilities.inferiumDurability,Inferium,インフェリウム
matc.config.infusiondurabilities.prudentiumDurability,Prudentium,プルデンティウム
matc.config.infusiondurabilities.intermediumDurability,Intermedium,インターメディアム
matc.config.infusiondurabilities.superiumDurability,Superium,スーパリウム
matc.config.infusiondurabilities.supremiumDurability,Supremium,スーパーレイト
matc.config.infusiondurabilities.enabled,Durability,耐久値
matc.configuration.imperiumDurability,Imperium Durability,インペリウムクリスタル耐久性
matc.configuration.upgradeTooltip.tooltip,Should crystals display 'tier -> tier' on their tooltips?,クリスタルがツールチップに「ティア → ティア」を表示すべきか？
matc.configuration.usesTooltip,Enable Uses Left Tooltip,使用回数残量ツールチップを有効化
matc.configuration.tertiumDurabilityEnabled,Enable Tertium Durability,テルティウム耐久性を有効化
matc.configuration.upgradeTooltip,Enable Upgrade Tooltip,アップグレードツールチップを有効化
matc.configuration.prudentiumDurability,Prudentium Durability,プルーデンティウムクリスタル耐久性
matc.configuration.supremiumDurabilityEnabled,Enable Supremium Durability,スプレミウム耐久性を有効化
matc.configuration.inferiumDurability,Inferium Durability,インフェリウムクリスタル耐久性
matc.configuration.supremiumDurability,Supremium Durability,スプレミウムクリスタル耐久性
matc.configuration.tertiumDurability.tooltip,Durability for the Tertium Crystal,テルティウムクリスタルの耐久性
matc.configuration.title,MATC Configuration,MATC 設定
matc.configuration.imperiumDurability.tooltip,Durability for the Imperium Crystal,インペリウムクリスタルの耐久性
matc.configuration.imperiumDurabilityEnabled.tooltip,Should the Imperium Crystal Have Durability?,インペリウムクリスタルが耐久性を持つべきか？
matc.configuration.inferiumDurabilityEnabled.tooltip,Should the Inferium Crystal Have Durability?,インフェリウムクリスタルが耐久性を持つべきか？
matc.configuration.prudentiumDurabilityEnabled,Enable Prudentium Durability,プルーデンティウム耐久性を有効化
matc.configuration.prudentiumDurabilityEnabled.tooltip,Should the Prudentium Crystal Have Durability?,プルーデンティウムクリスタルが耐久性を持つべきか？
matc.configuration.section.matc.client.toml,MATC Client Configuration,MATC クライアント設定
matc.configuration.section.matc.server.toml,MATC Server Configuration,MATC サーバー設定
matc.configuration.imperiumDurabilityEnabled,Enable Imperium Durability,インペリウム耐久性を有効化
matc.configuration.tooltips,Tooltip Settings,ツールチップ設定
matc.configuration.prudentiumDurability.tooltip,Durability for the Prudentium Crystal,プルーデンティウムクリスタルの耐久性
matc.configuration.tertiumDurabilityEnabled.tooltip,Should the Tertium Crystal Have Durability?,テルティウムクリスタルが耐久性を持つべきか？
matc.configuration.durabilityEnabled,Enable / Disable Durability,耐久性を有効化 / 無効化
matc.configuration.supremiumDurability.tooltip,Durability for the Supremium Crystal,スプレミウムクリスタルの耐久性
matc.configuration.supremiumDurabilityEnabled.tooltip,Should the Supremium Crystal Have Durability?,スプレミウムクリスタルが耐久性を持つべきか？
matc.configuration.tertiumDurability,Tertium Durability,テルティウムクリスタル耐久性
matc.configuration.usesTooltip.tooltip,Should crystals display 'Uses Left' on their tooltips?,クリスタルがツールチップに「使用回数残量」を表示すべきか？
matc.configuration.durability.tooltip,Number of uses for each infusion crystal,各注入クリスタルの使用回数
matc.configuration.section.matc.client.toml.title,MATC Client Configuration,MATC クライアント設定
matc.configuration.durability,Durability,耐久性
matc.configuration.durabilityEnabled.tooltip,Whether or not crystals should lose durability,クリスタルが耐久性を失うかどうか
matc.configuration.inferiumDurability.tooltip,Durability for the Inferium Crystal,インフェリウムクリスタルの耐久性
matc.configuration.inferiumDurabilityEnabled,Enable Inferium Durability,インフェリウム耐久性を有効化
matc.configuration.section.matc.server.toml.title,MATC Server Configuration,MATC サーバー設定
