key,source_text,target_text
block.mcwfences.acacia_hedge,Acacia Hedge,アカシアのハーブ
block.mcwfences.acacia_highley_gate,Acacia Highley Gate,アカシアのハイリーゲート
block.mcwfences.acacia_horse_fence,Acacia Horse Fence,アカシアの馬用フェンス
block.mcwfences.acacia_picket_fence,Acacia Picket Fence,アカシアのピケットフェンス
block.mcwfences.acacia_pyramid_gate,Acacia Pyramid Gate,アカシアのピラミッドゲート
block.mcwfences.acacia_stockade_fence,Acacia Stockade Fence,アカシアの木柵フェンス
block.mcwfences.acacia_wired_fence,Acacia Wired Fence,アカシアの有刺フェンス
block.mcwfences.andesite_grass_topped_wall,Andesite Grass Topped Wall,安山岩の草付き壁
block.mcwfences.andesite_pillar_wall,Andesite Pillar Wall,安山岩の柱状の壁
block.mcwfences.andesite_railing_gate,Andesite Railing Gate,安山岩の手すりゲート
block.mcwfences.azalea_hedge,Azalea Hedge,ツツジの生け垣
block.mcwfences.bamboo_fence,Bamboo Fence,竹のフェンス
block.mcwfences.bamboo_highley_gate,Bamboo Highley Gate,竹のハイリーゲート
block.mcwfences.bamboo_horse_fence,Bamboo Horse Fence,竹の馬用フェンス
block.mcwfences.bamboo_picket_fence,Bamboo Picket Fence,竹のピケットフェンス
block.mcwfences.bamboo_pyramid_gate,Bamboo Pyramid Gate,竹のピラミッドゲート
block.mcwfences.bamboo_stockade_fence,Bamboo Stockade Fence,竹の木柵フェンス
block.mcwfences.bamboo_wired_fence,Bamboo Wired Fence,竹の有刺フェンス
block.mcwfences.birch_hedge,Birch Hedge,シラカバのフェンス
block.mcwfences.birch_highley_gate,Birch Highley Gate,ビーチハイリーゲート
block.mcwfences.birch_horse_fence,Birch Horse Fence,白樺の馬用フェンス
block.mcwfences.birch_picket_fence,Birch Picket Fence,シラカバ列柱フェンス
block.mcwfences.birch_pyramid_gate,Birch Pyramid Gate,白樺のピラミッドゲート
block.mcwfences.birch_stockade_fence,Birch Stockade Fence,白樺の木柵フェンス
block.mcwfences.birch_wired_fence,Birch Wired Fence,白樺の有刺フェンス
block.mcwfences.blackstone_brick_railing_gate,Blackstone Brick Railing Gate,ブラックストーンレンガの手すりゲート
block.mcwfences.blackstone_grass_topped_wall,Blackstone Grass Topped Wall,ブラックストーンの草付き壁
block.mcwfences.blackstone_pillar_wall,Blackstone Pillar Wall,ブラックストーンの柱状の壁
block.mcwfences.blackstone_railing_gate,Blackstone Railing Gate,ブラックストーンの手すりゲート
block.mcwfences.cherry_hedge,Cherry Hedge,サクラの生け垣
block.mcwfences.cherry_highley_gate,Cherry Highley Gate,サクラのハイリーゲート
block.mcwfences.cherry_horse_fence,Cherry Horse Fence,サクラの馬用フェンス
block.mcwfences.cherry_picket_fence,Cherry Picket Fence,サクラのピケットフェンス
block.mcwfences.cherry_pyramid_gate,Cherry Pyramid Gate,サクラのピラミッドゲート
block.mcwfences.cherry_stockade_fence,Cherry Stockade Fence,サクラの木柵フェンス
block.mcwfences.cherry_wired_fence,Cherry Wired Fence,サクラの有刺フェンス
block.mcwfences.crimson_highley_gate,Crimson Highley Gate,深紅のハイリーゲート
block.mcwfences.crimson_horse_fence,Crimson Horse Fence,深紅の馬用フェンス
block.mcwfences.crimson_picket_fence,Crimson Picket Fence,深紅のピケットフェンス
