key,source_text,target_text
block.me_beam_former.beam_former_block,Mega ME Beam Former,メガMEビームフォーマー
block.me_beam_former.omni_beam_former_block,Omni ME Beam Former,オムニMEビームフォーマー
block.me_beam_former.wireless_energy_tower,Wireless Energy Induction Tower,ワイヤレスエネルギー誘導タワー
item.me_beam_former.beam_former_part,ME Beam Former,MEビーム生成器
item.me_beam_former.laser_binding_tool,Laser Binding Tool,レーザー結合ツール
itemGroup.me_beam_former.example_tab,ME Beam Former,MEビーム生成器
tooltip.me_beam_former.beam_former_block,Only back face can connect cables; requires two opposite placement to form beam,後面のみがケーブル接続可能；ビームを形成するには反対側に2つ配置が必要。
tooltip.me_beam_former.beam_former_part,Used to emit/receive energy beams within ME networks,MEネットワーク内でエネルギービームを発射/受信するために使用します
tooltip.me_beam_former.binding.cleared,Source beam former cleared,ソースビームフォーマークリア済み
tooltip.me_beam_former.binding.invalid,Source beam former is invalid or no longer exists,ソースビームフォーマーが無効または存在しない
tooltip.me_beam_former.binding.no_source,Please use Shift+Right Click to select source beam former first,まずソースビームフォーマーを選択するにはShift+右クリックしてください。
tooltip.me_beam_former.binding.omni_linked,"Omni Beam connected: (%s, %s, %s) → (%s, %s, %s)","オムニビーム接続済み: (%s, %s, %s) → (%s, %s, %s)"
tooltip.me_beam_former.binding.omni_only,Omni Beam Former can only connect to other Omni Beam Formers,オムニビームフォーマーは他のオムニビームフォーマーとしか接続できません
tooltip.me_beam_former.binding.out_of_range,"Connection distance out of range! Limit: 16x16 horizontal, 32 vertical",接続距離が範囲外です！制限：水平16x16、垂直32
tooltip.me_beam_former.binding.self_link,Cannot connect to itself,自身に接続できません
tooltip.me_beam_former.binding.set,"Source beam former selected: (%s, %s, %s)","ソースビームフォーマーが選択されました: (%s, %s, %s)"
tooltip.me_beam_former.binding.set_omni,"Omni Beam Former selected: (%s, %s, %s)","オムニビームフォーマー選択済み: (%s, %s, %s)"
tooltip.me_beam_former.binding.set_tower,"Wireless Energy Tower selected: (%s, %s, %s) - Use Shift+Right Click to bind machines","ワイヤレスエネルギータワー選択中: (%s, %s, %s) - Shift+右クリックで機械をバインド"
tooltip.me_beam_former.binding.tower_linked,"Energy Tower linked to machine: (%s, %s, %s) → (%s, %s, %s)","エネルギートワーが機械にリンクされています: (%s, %s, %s) → (%s, %s, %s)"
tooltip.me_beam_former.binding.tower_needs_shift,Wireless Energy Tower requires Shift+Right Click to bind machines,ワイヤレスエネルギータワーはShift+右クリックで機械をバインドします
tooltip.me_beam_former.binding.tower_out_of_range,"Tower connection distance out of range! Limit: 16x16 horizontal, 256 vertical",タワー接続距離が範囲外です！制限：水平16x16、垂直256
tooltip.me_beam_former.binding.tower_to_tower_linked,"Energy Tower network connected: (%s, %s, %s) ↔ (%s, %s, %s)","エネルギートワーネットワークが接続されました: (%s, %s, %s) ↔ (%s, %s, %s)"
tooltip.me_beam_former.binding.tower_to_tower_needs_normal_click,"To connect towers, use normal Right Click (without Shift)",タワーを接続するには、通常の右クリック（Shiftなし）を使用
tooltip.me_beam_former.binding.tower_to_tower_unlinked,"Energy Tower network disconnected: (%s, %s, %s) ✗ (%s, %s, %s)","エネルギータワー ネットワーク切断: (%s, %s, %s) ✗ (%s, %s, %s)"
tooltip.me_beam_former.binding.tower_unlinked,"Energy Tower unlinked from machine: (%s, %s, %s) ✗ (%s, %s, %s)","エネルギータワーが機械から切断されました：(%s, %s, %s) ✗ (%s, %s, %s)"
tooltip.me_beam_former.binding.omni_unlinked,"Omni Beam disconnected: (%s, %s, %s) ✗ (%s, %s, %s)",
