key,source_text,target_text
advancement.meadow.buffalo,The Water Buffalo Challenge,水牛の挑戦
advancement.meadow.buffalo.desc,Prove your dominance by taking down a Water Buffalo.,ウォーターバッファローを倒して支配力を証明せよ。
advancement.meadow.cheese_collector,The Ultimate Cheese Connoisseur,究極のチーズ通
advancement.meadow.cheese_collector.desc,Discover and collect every type of cheese from Meadow's offerings.,メドウの提供するすべての種類のチーズを発見し収集してください。
advancement.meadow.cheese_form,Form Your Future,未来を創造する
advancement.meadow.cheese_form.desc,Craft and place a Cheese Form,チーズフォームをクラフトして設置してください
advancement.meadow.find_meadow,Alpine Paradise,アルプスの楽園
advancement.meadow.find_meadow.desc,Embark on an adventure to uncover the hidden beauty of the Meadow biome.,メドウバイオームの隠れた美しさを発見する冒険へ出かけよう
advancement.meadow.fondue,From Cheese to Stick,チーズから棒へ
advancement.meadow.fondue.desc,Dip bread into a pot of melted cheese and savor the flavor,パンを溶けたチーズの鍋に浸し、風味を楽しむ
advancement.meadow.frame,Framed for Cooking,料理にふさわしい額縁
advancement.meadow.frame.desc,Craft and place a Frame to elevate your culinary creations.,フレームを作成して設置し、料理作品を高める
advancement.meadow.fur_armor,Dressed for Success,成功のための装飾
advancement.meadow.fur_armor.desc,Craft and wear fur armor to stay warm and look fabulous in the wilds.,毛皮防具を作って装着し、野外で暖かくファッショナブルに過ごしましょう。
advancement.meadow.get_cheese,Say Cheese!,チーズを撮って！
advancement.meadow.get_cheese.desc,Craft your very first cheese and begin your dairy-making legacy.,最初のチーズを作って、乳製品作りの遺産を始めましょう。
advancement.meadow.milk_bucket_collector,Milking the Possibilities,可能性を搾取
advancement.meadow.milk_bucket_collector.desc,"Collect every unique type of milk, whether from animals or other sources.",動物やその他のソースから得られるすべてのユニークな種類のミルクを収集してください。
advancement.meadow.rennet,The Secret Ingredient,秘密の隠し味
advancement.meadow.rennet.desc,Craft Rennet using a Cooking Pot,調理鍋を使ってレンネットをクラフトする
advancement.meadow.root,Welcome to Meadow!,ミッドウェイへようこそ！
advancement.meadow.root.desc,Thank you for downloading Meadow,Meadowのダウンロードありがとうございます
advancement.meadow.salt,A Pinch of Alpine,アルプスのほんの少し
advancement.meadow.salt.desc,Alpine Salt can be found in Meadow Biomes.,アルパイン塩は草原バイオームで見つけられます。
advancement.meadow.spyglass_at_buffalo,Through the Looking Glass,鏡越しに
advancement.meadow.spyglass_at_buffalo.desc,Look at a Water Buffalo through a Spyglass,スパイグラスを使って水牛を見る
advancement.meadow.straw_bed,The Rustic Nap,リラックスするお茶
advancement.meadow.straw_bed.desc,Endure a night on a straw bed and wake up with an achy back.,藁ベッドで夜を耐え、背中が痛む状態で目覚める。
advancement.meadow.woodcutter,Cut Above the Rest,上位のカット
advancement.meadow.woodcutter.desc,"Place a Woodcutter, use an axe on it, insert logs or wood, and let the Woodcutter do the hard work for you!",Woodcutterを配置して斧で使用し、原木または木を挿入して、Woodcutterに重い作業を任せてください！
advancement.meadow.wool_collector,The Wool Enthusiast,ウール愛好家
advancement.meadow.wool_collector.desc,Gather all 7 unique types of wool introduced by Meadow.,Meadow が導入した 7 種類のユニークなウールをすべて集めてください。
block.meadow.alpine_birch_leaves_hanging,Hanging Birch Leaves,吊り下げたシラカバリーフ
block.meadow.alpine_birch_log,Alpine Birch Log,アルプスシラカバの原木
block.meadow.alpine_coal_ore,Alpine Coal Ore,アルプスの石炭鉱石
block.meadow.alpine_copper_ore,Alpine Copper Ore,アルプスの銅鉱石
block.meadow.alpine_diamond_ore,Alpine Diamond Ore,アルプスのダイヤモンド鉱石
block.meadow.alpine_emerald_ore,Alpine Emerald Ore,アルプスのエメラルド鉱石
