key,source_text,target_text
item.measurements.tape_measure,Tape Measure,テープ測定器
measurements.configuration.client,Client,クライアント
measurements.configuration.lineColor,Line Color,線の色
measurements.configuration.lineWidth,Line Width,線の太さ
measurements.configuration.lineWidthMax,Line Width Max,線の太さ最大値
measurements.configuration.textColor,Text Color,テキスト色
measurements.configuration.textSize,Text Size,テキストサイズ
text.autoconfig.measurements.option.client,Client,クライアント
text.autoconfig.measurements.option.client.lineColor,Line Color,線の色
text.autoconfig.measurements.option.client.lineWidth,Line Width,線の太さ
text.autoconfig.measurements.option.client.lineWidthMax,Line Width Max,線の太さ最大値
text.autoconfig.measurements.option.client.textColor,Text Color,テキスト色
text.autoconfig.measurements.option.client.textSize,Text Size,テキストサイズ
text.autoconfig.measurements.title,Measurements,測定
_comment,ClothConfig,布製設定
