key,source_text,target_text
advancements.mffs.camouflage.description,Craft a camouflage module,カモフラージュモジュールをクラフトする
advancements.mffs.camouflage.title,Hidden in plain sight,プレーンサイトで隠れている
advancements.mffs.custom_camouflage.description,Use Custom Mode with Camouflage,カモフラージュを使ったカスタムモードを使用する
advancements.mffs.custom_camouflage.title,Enter the Matrix,マトリックスに入る
advancements.mffs.field_shape.description,Create your own field shape,あなた自身のフィールドシェイプを作成する
advancements.mffs.field_shape.title,Field Architect,フィールド建築家
advancements.mffs.field_shock.description,Get exterminated by a Force Field,フォースフィールドによって消滅させられる
advancements.mffs.field_shock.title,A Shocking Experience,ショッキングな経験
advancements.mffs.projector.description,Craft a Force Field Projector,フォースフィールドプロジェクターをクラフトする
advancements.mffs.projector.title,May the Force by with you!,フォースと共に！
advancements.mffs.root.description,Enter the world of Force Fields!,フォースフィールドの世界に入る！
advancements.mffs.root.title,Modular Force Field Systems,モジュール式フォースフィールドシステム
advancements.mffs.smelt_steel.description,Smelt a Steel Ingot,スチールインゴットを製錬する
advancements.mffs.smelt_steel.title,Harder than Iron,鉄より硬い
advancements.mffs.sponge_module.description,Craft a Sponge Module,スポンジモジュールをクラフトする
advancements.mffs.sponge_module.title,Where's my water?,私の水はどこに？
advancements.mffs.steel_compound.description,Craft Steel Compound,スチールコンパウンドをクラフトする
advancements.mffs.steel_compound.title,A Sturdy Mixture,頑丈な混合物
block.mffs.biometric_identifier,Biometric Identifier,バイオメトリック識別装置
block.mffs.coercion_deriver,Coercion Deriver,強制デリバー
block.mffs.force_field,Force Field,フォースフィールド
block.mffs.fortron_capacitor,Fortron Capacitor,フォートロンコンデンサー
block.mffs.interdiction_matrix,Interdiction Matrix,インターディクション・マトリックス
block.mffs.machine_block,Base Machine Block,ベースマシンブロック
block.mffs.projector,Force Field Projector,フォースフィールドプロジェクター
death.attack.mffs.field_shock,%1$s was disintegrated by a force field.,%1$sはフォースフィールドによって分解されました。
fluid_type.mffs.fortron,Fortron,フォートロン
info.mffs.cannot_harness,Cannot harness %s FE from the Fortron field.,フォートロンフィールドから%sFEを利用できません。
info.mffs.coercion_deriver.mode.derive,Derive,導出
info.mffs.coercion_deriver.mode.integrate,Integrate,統合
info.mffs.field_permission.bypass_confiscation,Bypass Confiscation,没収をバイパス
info.mffs.field_permission.bypass_confiscation.tooltip,Allows the player to bypass the Interdiction Matrix confiscation.,プレイヤーがインターディクション・マトリックスの没収をバイパスできます。
info.mffs.field_permission.bypass_defense,Bypass Defense,防御をバイパス
info.mffs.field_permission.bypass_defense.tooltip,Allows the player to bypass Interdiction Matrix restrictions.,プレイヤーがインターディクション・マトリックスの制限をバイパスできます。
info.mffs.field_permission.configure_security_center,Configure Security,セキュリティ設定
info.mffs.field_permission.configure_security_center.tooltip,Allows the player to configure the Biometric Identifier.,プレイヤーがバイオメトリック識別装置を設定できます。
info.mffs.field_permission.place_blocks,Place Blocks,ブロック配置
info.mffs.field_permission.place_blocks.tooltip,Allows the player to place and break blocks.,プレイヤーがブロックを配置・破壊できます。
info.mffs.field_permission.remote_control,Remote Control,リモートコントロール
info.mffs.field_permission.remote_control.tooltip,Allows the player to use the remote control within defensive region.,プレイヤーが防御領域内でリモートコントロールを使用できます。
info.mffs.field_permission.use_blocks,Use Blocks,ブロック使用
info.mffs.field_permission.use_blocks.tooltip,Allows the player to interact and open GUIs in blocks.,プレイヤーがブロックと対話しGUIを開くことができます。
info.mffs.field_permission.warp,Warp,ワープ
info.mffs.field_permission.warp.tooltip,Allows the player to walk through and bypass force fields.,プレイヤーがフォースフィールドを通り抜けてバイパスできます。
info.mffs.fortron_usage,Fortron: %s L/s,フォートロン：%sL/s
info.mffs.frequency,Frequency: %s,周波数: %s
info.mffs.frequency.generated,Generated random frequency: %s,ランダム周波数を生成：%s
info.mffs.frequency.set,Frequency set to: %s,周波数を設定：%s
info.mffs.handbook.landing_text,"Welcome to the in-game MFFS user guide, designed to help you navigate the complex world of Force Field technology. Force Fields, high tech machinery and defensive measures are all included. Let's get started!",ゲーム内MFFSユーザーガイドへようこそ。フォースフィールド技術の複雑な世界をナビゲートするために設計されています。フォースフィールド、ハイテク機械、防御的な措置はすべて含まれています。始めましょう！
info.mffs.handbook.title,Force Field Handbook,フォースフィールドハンドブック
info.mffs.identity,Identity: %s,アイデンティティ: %s
info.mffs.identity_cleared,Identity cleared,IDをクリア
info.mffs.identity_set,Identity set to: %s,IDを設定：%s
info.mffs.interdiction_matrix.confiscation_plural,[%s] %s of your items have been confiscated.,[%s]あなたの%sアイテムが没収されました。
