key,source_text,target_text
_comment_blocks,Blocks,ブロック
_comment_interaction,Interaction Messages,インタラクションメッセージ
_comment_items,Items,アイテム
_comment_jade_configs,Jade Configs,Jade 配置
_comment_jobs,Jobs,ジョブ
_comment_jobs_jei_descs,JEI Jobs,JEIジョブ
_comment_module_settings,Module Settings,モジュール設定
_comment_modules,Modules,モジュール
_comment_requests,Requests,リクエスト
_comment_texts,Texts,テキスト
_comment_tools,Tools,ツール
_eof,EOF,
block.minecolonies_compatibility.citizen_extension,Controller Access Point for Colonist,コロニスト用コントローラアクセスポイント
block.minecolonies_compatibility.citizen_grid,Grid for Colonist,コロニスト用グリッド
block.minecolonies_compatibility.citizen_inventory,Storage Inventory for Colonist,殖民者用のストレージインベントリ
block.minecolonies_compatibility.citizen_slave,Controller Slave for Colonist,殖民者用コントローラー Slave
block.minecolonies_compatibility.common_network_storage,Common Network Storage,共通ネットワークストレージ
com.minecolonies.coremod.gui.workerhuts.butcherablelist_blacklist,Butcherables,肉を切れる
com.minecolonies.coremod.gui.workerhuts.fluid_manager_lava_cauldron,Lava Cauldron,溶岩の鍋
com.minecolonies.coremod.gui.workerhuts.fruitlist_blacklist,Fruits,果物
com.minecolonies.coremod.gui.workerhuts.network_storage,Network Storage,ネットワークストレージ
com.minecolonies.coremod.gui.workerhuts.recipe.bucket_filling,Bucket Filling Recipes,バケツ詰めレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.bucket_filling.menu,Bucket Filling Recipes,バケツ詰めレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.butchercraft_grinder,Butchercraft - Grinder Recipes,肉加工 - グリンダーのレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.butchercraft_grinder.menu,Grinder Recipes,グリンダーレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.farmers_cooking,Farmer's Delight - Cooking Recipes,ファーマーズデライト - クッキングレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.farmers_cooking.menu,Cooking Recipes,調理レシピ
com.minecolonies.coremod.gui.workerhuts.recipe.farmers_cutting_axe,Farmer's Delight - Cutting Recipes(Axe),ファーマーズデライト - 切断レシピ（斧）
com.minecolonies.coremod.gui.workerhuts.recipe.farmers_cutting_axe.menu,Cutting Recipes(Axe),カットレシピ（斧）
com.minecolonies.coremod.gui.workerhuts.recipe.farmers_cutting_knife,Farmer's Delight - Cutting Recipes(Knife),ファーマーズデライト - 切断レシピ（ナイフ）
com.minecolonies.coremod.gui.workerhuts.recipe.farmers_cutting_knife.menu,Cutting Recipes(Knife),切断レシピ(ナイフ)
com.minecolonies.coremod.gui.workerhuts.recipe.farmers_cutting_pickaxe,Farmer's Delight - Cutting Recipes(Pickaxe),ファーマーズデライト - 切断レシピ（ツルハシ）
com.minecolonies.coremod.gui.workerhuts.recipe.farmers_cutting_pickaxe.menu,Cutting Recipes(Pickaxe),切断レシピ（ツルハシ）
com.minecolonies.coremod.gui.workerhuts.recipe.lets_do_bakery_baking,[Let's Do] Bakery - Caking Station Recipes,[Let's Do] ベーカリー - ケーキステーションレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.lets_do_bakery_baking.menu,Caking Station Recipes,粉砕ステーションレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.lets_do_bakery_bowl,[Let's Do] Bakery - Crafting Bowl Recipes,[Let's Do] ベーカリー - クラフトボウルレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.lets_do_bakery_bowl.menu,Crafting Bowl Recipes,クレイムボウルのレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.lets_do_bakery_cooking,[Let's Do] Bakery - Cooking Pot Recipes,[Let's Do] ベーカリー - クッキングポットレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.lets_do_bakery_cooking.menu,Cooking Pot Recipes,調理鍋レシピ
com.minecolonies.coremod.gui.workerhuts.recipe.lets_do_bakery_stove,[Let's Do] Bakery - Stove Recipes,[Let's Do] ベーカリー - ストーブレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.lets_do_bakery_stove.menu,Stove Recipes,炉のレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.lets_do_brewery_silo,[Let's Do] Brewery - Silo Recipes,[やろう] ブリュワリー - サイロレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.lets_do_brewery_silo.menu,Silo Recipes,シロのレシピ
com.minecolonies.coremod.gui.workerhuts.recipe.lets_do_candlelight_pan,[Let's Do] Candlelight - Cooking Pan Recipes,[Let's Do] Candlelight - クッキングパンレシピ
