key,source_text,target_text
entity.monsterplus.abyssologer,Hermit Abysswalker,深淵学者
entity.monsterplus.crystal_arrow,Crystal Arrow,水晶矢
entity.monsterplus.crystal_spikes,Crystal Spikes,クリスタルスパイク
entity.monsterplus.crystal_zombie,Crystalian,結晶化ゾンビ
entity.monsterplus.glow_skeleton,Glow Skeleton,発光スケルトン
entity.monsterplus.lava_squid,Lava Squid,溶岩イカ
entity.monsterplus.mother_lava_squid,Mother Lava Squid,マザー溶岩イカ
entity.monsterplus.opalescent_eye,Opalescent Eye,遊色眼
entity.monsterplus.overgrown_skeleton,Overgrown Skeleton,蔓に覆われたスケルトン
entity.monsterplus.purple_fireball,Abyssal Fireball,紫の火の玉
entity.monsterplus.spectral_skeleton,Spectral Minion,スペクトラルスケルトン
entity.monsterplus.swamp_zombie,Swamp Monster,沼地ゾンビ
item.monsterplus.abyssologer_spawn_egg,Abyssologer Spawn Egg,深淵学者のスポーンエッグ
item.monsterplus.ancient_crystal,Ancient Crystal,古代結晶
item.monsterplus.crystal_arrow,Crystal Arrow,水晶矢
item.monsterplus.crystal_boots,Ancient Crystal Boots,古代結晶のブーツ
item.monsterplus.crystal_chestplate,Ancient Crystal Chestplate,古代結晶のチェストプレート
item.monsterplus.crystal_clump,Crystal Clump,結晶塊
item.monsterplus.crystal_helmet,Ancient Crystal Helmet,古代結晶のヘルメット
item.monsterplus.crystal_leggings,Ancient Crystal Leggings,古代結晶のレギンス
item.monsterplus.crystal_shard,Ancient Crystal Fragment,古代結晶の破片
item.monsterplus.crystal_sword,Ancient Crystal Sword,古代結晶の剣
item.monsterplus.crystal_zombie_spawn_egg,Crystalian Spawn Egg,結晶化ゾンビのスポーンエッグ
item.monsterplus.darkstar,Darkstar,ダークスター
item.monsterplus.glow_skeleton_spawn_egg,Glow Skeleton Spawn Egg,発光スケルトンのスポーンエッグ
item.monsterplus.gnawing_jaw,Gnawing Jaw,かみ砕く顎
item.monsterplus.lava_squid_spawn_egg,Lava Squid Spawn Egg,溶岩イカのスポーンエッグ
item.monsterplus.mother_lava_squid_spawn_egg,Mother Lava Squid Spawn Egg,マザー溶岩イカのスポーンエッグ
item.monsterplus.opalescent_eye_spawn_egg,Opalescent Eye Spawn Egg,遊色眼のスポーンエッグ
item.monsterplus.overgrown_skeleton_spawn_egg,Overgrown Skeleton Spawn Egg,野生スケルトンのスポーンエッグ
item.monsterplus.spectral_skeleton_spawn_egg,Spectral Minion Spawn Egg,スペクトラルスケルトンのスポーンエッグ
item.monsterplus.swamp_zombie_spawn_egg,Swamp Zombie Spawn Egg,沼地ゾンビのスポーンエッグ
