key,source_text,target_text
key.categories.mousewheelie,Mouse Wheelie,マウスホイール
key.mousewheelie.all_of_kind_modifier,All of Kind Modifier,全種類修飾子
key.mousewheelie.deposit_modifier,Deposit Modifier,入金修飾子
key.mousewheelie.drop_modifier,Drop Modifier,ドロップ修飾子
key.mousewheelie.open_config_screen,Open Config Screen,設定画面を開く
key.mousewheelie.pick_tool,Pick the correct tool,正しいツールを選択
key.mousewheelie.restock_modifier,Restock Modifier,再補充修飾子
key.mousewheelie.scroll_down,Scroll Items Down,アイテムを下へスクロール
key.mousewheelie.scroll_up,Scroll Items Up,アイテムを上へスクロール
key.mousewheelie.sort_inventory,Sort Inventory,インベントリの整理
key.mousewheelie.whole_stack_modifier,Whole Stack Modifier,スタック全体修飾子
mousewheelie.gui.config-screen-unavailable,Opening the config screen with the keybinding is currently unavailable.,キー設定でコンフィグ画面を開くことは現在できません
mousewheelie.gui.config-screen-unavailable.note,Please use Mod Menu to edit the config or use an external application to edit the config directly.,Mod Menu を使用して設定を編集するか、外部アプリケーションで直接設定を編集してください。
mousewheelie.sortmode.alphabet,By Alphabet,アルファベットによる
mousewheelie.sortmode.creative,Creative Search,クリエイティブ検索
mousewheelie.sortmode.none,Don't Sort,並べ替えしない
mousewheelie.sortmode.quantity,By Quantity,数量による
mousewheelie.sortmode.raw_id,By Raw Id,生のIDで
tweed4_tailor_screen.screen.mousewheelie,Mouse Wheelie Config,マウスホイール設定
tweed4_tailor_screen.screen.mousewheelie.general,General,一般
tweed4_tailor_screen.screen.mousewheelie.general.better-fast-dragging,Better fast dragging,高速ドラッグ改善
tweed4_tailor_screen.screen.mousewheelie.general.better-fast-dragging.description,"This helps when you regularly move your mouse faster than the game can pick up.
This will impact performance though.",マウスを定期的にゲームが追跡できるより早く動かすときに便利です。ただし、パフォーマンスに影響します。
tweed4_tailor_screen.screen.mousewheelie.general.enable-bundle-dragging,Enable Bundle dragging,バインダーのドラッグを有効化
tweed4_tailor_screen.screen.mousewheelie.general.enable-bundle-dragging.description,Enable clicking and dragging the bundle in the inventory to easily put in or out multiple stacks.,インベントリでバンドルをクリック＆ドラッグして、複数スタックを簡単に入れたり出したりできるようにする。
tweed4_tailor_screen.screen.mousewheelie.general.enable-drop-modifier,Drop with Alt+Click,Alt+クリックでドロップ
tweed4_tailor_screen.screen.mousewheelie.general.enable-drop-modifier.description,"Enables dropping items when holding the drop modifier (alt by default) and clicking on them.
The modifier can be changed in the vanilla controls menu.",ドロップ修飾キー（デフォルトではalt）を押しながらクリックでアイテムをドロップできます。修飾キーはバニラの操作設定メニューで変更できます。
tweed4_tailor_screen.screen.mousewheelie.general.enable-quick-armor-swapping,Quick Armor Swapping,クイック防具切替
tweed4_tailor_screen.screen.mousewheelie.general.enable-quick-armor-swapping.description,Enables quick swapping of armor pieces and elytra pieces by clicking them while in hand.,装備中にクリックして、アーマーやエリトラを素早く入れ替えることができる。
tweed4_tailor_screen.screen.mousewheelie.general.enable-quick-craft,Enable quick crafting,クイッククラフトを有効にする
tweed4_tailor_screen.screen.mousewheelie.general.enable-quick-craft.description,Enables right-clicking in recipe books/villager trading to swiftly craft/trade.,レシピブックや村人取引で右クリックして素早くクラフト/トレードできるようにします。
tweed4_tailor_screen.screen.mousewheelie.general.hotbar-scoping,Treat hotbar separately,ホットバーを別に扱う
tweed4_tailor_screen.screen.mousewheelie.general.hotbar-scoping.description,"Lets you define how the hotbar will be treated when e.g. scrolling or sorting items in the inventory.
  HARD: The hotbar will always be treated separately.
  SOFT: The hotbar will be treated as part of the inventory. This does not apply when sending the whole inventory (ctrl+shift).
  NONE: The hotbar will be treated as part of the inventory. This also applies when sending the whole inventory (ctrl+shift).","スクロールやアイテム並び替え時のホットバー扱いを定義します。
  HARD: ホットバーは常に別扱いされます。
  SOFT: ホットバーをインベントリの一部として扱います。全インベントリ送信時(ctrl+shift)には適用されません。
  NONE: ホットバーをインベントリの一部として扱います。全インベントリ送信時(ctrl+shift)にも適用されます。"
tweed4_tailor_screen.screen.mousewheelie.general.integrated-interaction-rate,Singleplayer Interaction rate,シングルプレイヤー用の相互作用率
tweed4_tailor_screen.screen.mousewheelie.general.integrated-interaction-rate.description,Sets the interval in milliseconds for singleplayer and local multiplayer.,シングルプレイヤーおよびローカルマルチプレイアの間隔（ミリ秒）を設定します。
tweed4_tailor_screen.screen.mousewheelie.general.interaction-rate,Interaction rate,相互作用率
tweed4_tailor_screen.screen.mousewheelie.general.interaction-rate.description,"Sets the interval in milliseconds in which interactions are sent to the server.
Lower numbers increase the speed but might be rejected by servers.",サーバーへの相互作用送信間隔をミリ秒単位で設定します。数値を低くするとスピードが上がりますが、サーバーに拒否される可能性があります。
tweed4_tailor_screen.screen.mousewheelie.general.item-kinds-nbt-match-mode,Match item kinds by NBT,NBTでアイテム種類を一致させる
tweed4_tailor_screen.screen.mousewheelie.general.item-kinds-nbt-match-mode.description,"Whether item types should check nbt data.
This is for example used by scrolling and drop-clicking.
NONE disables this, ALL checks for exactly the same nbt and SOME allows for differences in damage and enchantments.",アイテムタイプがNBTデータをチェックするかどうか。スクロールやドロップクリックなど様々な場面で使用されます。NONEで無効化、ALLは完全に同じNBTをチェック、SOMEはダメージやエンチャント差を許容します。
tweed4_tailor_screen.screen.mousewheelie.refill,Refill,補充
tweed4_tailor_screen.screen.mousewheelie.refill.description,"Item refilling is a feature that automatically loads more items from your inventory when your current stack runs out.
This is for example useful when building with a lot of the same block, so you don't have to constantly open your inventory.

The first section of this config concerns which or under which circumstances items will get refilled.
The ""Refill rules"" section, allows you to configure how the replacement stack will be determined by searching your inventory.","アイテム自動補充は、現在のスタックが終わったときにインベントリから自動的に新しいアイテムを読み込む機能です。同じブロックをたくさん使って建築するときなど、頻繁にインベントリを開く必要がなくなります。

このコンフィグの最初のセクションはアイテムがどのような場合に補充されるかに関するものです。「補充ルール」セクションでは、インベントリを検索することで補充スタックをどう決定するかを設定できます。"
tweed4_tailor_screen.screen.mousewheelie.refill.drop,Refill when dropping items,アイテムを落とすときに補充
tweed4_tailor_screen.screen.mousewheelie.refill.drop.description,Refill when dropping stacks from the hotbar.,ホットバーからスタックをドロップするときにリフィルする。
tweed4_tailor_screen.screen.mousewheelie.refill.eat,Refill when eating food,食べ物を摂取時に補充
tweed4_tailor_screen.screen.mousewheelie.refill.eat.description,Refill when the last food item in the hand has been consumed.,手に持っている最後の食料アイテムが消費されたらリフィルする。
tweed4_tailor_screen.screen.mousewheelie.refill.enable,Enable item refilling,アイテムリフィルを有効にする
tweed4_tailor_screen.screen.mousewheelie.refill.enable.description,"Enables item refilling.
Turn this off to disable refilling entirely.",アイテム再補充を有効化します。
tweed4_tailor_screen.screen.mousewheelie.refill.item-changes,Refill when current item changes,現在のアイテムが変わったらリフィル
tweed4_tailor_screen.screen.mousewheelie.refill.item-changes.description,"Refill when the item just used changes to a different item.
This is e.g. triggered when filling or emptying water buckets.",使用したアイテムが別のアイテムに変わったときに補充します。例えば水バケツを満たしたり空にしたりするときに発動します。
tweed4_tailor_screen.screen.mousewheelie.refill.off-hand,Refill the off hand,オフハンドをリフィル
tweed4_tailor_screen.screen.mousewheelie.refill.off-hand.description,Refills stacks in the off hand.,オフハンドでスタックをリフィルします。
tweed4_tailor_screen.screen.mousewheelie.refill.other,Refill on other occasions,他の機会で補充
tweed4_tailor_screen.screen.mousewheelie.refill.other.description,Refill on other occasions.,他の機会に再充填してください。
tweed4_tailor_screen.screen.mousewheelie.refill.play-sound,Play refill sound,リフィル音を再生
