key,source_text,target_text
_comment,Advancements,アドバンスメント
advancements.mowziesmobs.kill_ferrous_wroughtnaut.description,Kill a Ferrous Wroughtnaut,フェラス・ロートノートを倒す
advancements.mowziesmobs.kill_ferrous_wroughtnaut.title,Just a Flesh Wound,なんとか致命傷で済んだ
advancements.mowziesmobs.kill_foliaath.description,Kill a Foliaath,フォリアスを倒す
advancements.mowziesmobs.kill_foliaath.title,Jennifer Dumped Me,ジェニファーに振られた
advancements.mowziesmobs.kill_frostmaw.description,Kill a Frostmaw,フロストモーを倒す
advancements.mowziesmobs.kill_frostmaw.title,Rude Awakening,悪い目覚め
advancements.mowziesmobs.kill_grottol.description,Kill a Grottol,グロットルを倒す
advancements.mowziesmobs.kill_grottol.title,You Monster...,鬼!悪魔!
advancements.mowziesmobs.kill_grottol_fortune.description,Kill a Grottol with a fortune pickaxe,グロットルを幸運付きツルハシで倒す
advancements.mowziesmobs.kill_grottol_fortune.title,Double Or Nothing!,一か八か
advancements.mowziesmobs.kill_grottol_silk_touch.description,Kill a Grottol with a silk touch pickaxe,グロットルをシルクタッチ付きツルハシで回収する
advancements.mowziesmobs.kill_grottol_silk_touch.title,You're Coming With Me,どこでもいっしょ
advancements.mowziesmobs.kill_naga.description,Kill a Naga,ナーガを倒す
advancements.mowziesmobs.kill_naga.title,Wingin' It,即興で対応
advancements.mowziesmobs.kill_umvuthana_raptor.description,Kill an Umvuthana Raptor,ウムヴーサナ・ラプターを倒す
advancements.mowziesmobs.kill_umvuthana_raptor.title,Masquerade,仮面舞踏会
advancements.mowziesmobs.kill_umvuthi.description,"Kill Umvuthi, the Sunbird",ウムヴーティ・ザ・サンバードを倒す
advancements.mowziesmobs.kill_umvuthi.title,Praise the Sun,太陽を崇めよ
advancements.mowziesmobs.root.description,Welcome to Mowzie's Mobs!,Mowzie's Mobsへようこそ!
advancements.mowziesmobs.sneak_grove.description,Sneak into an Umvuthana grove in disguise,偽装してウムヴァサナの森に潜入する
advancements.mowziesmobs.sneak_grove.title,Birds of a Feather,同種の鳥
advancements.mowziesmobs.steal_ice_crystal.description,Steal an ice crystal from a Frostmaw,フロストモーからアイスクリスタルを盗む
advancements.mowziesmobs.steal_ice_crystal.title,Big Brain™ Time,大知略の時™
advancements.mowziesmobs.suns_blessing.description,Receive the Sun's Blessing,太陽の祝福を受ける
advancements.mowziesmobs.suns_blessing.title,Heliomancer,太陽師
block.mowziesmobs.clawed_log,Clawed Log,爪痕の木
block.mowziesmobs.grottol,Grottol,グロットル
block.mowziesmobs.painted_acacia,Painted Acacia Wood,模様付きアカシアの木材
block.mowziesmobs.painted_acacia_slab,Painted Acacia Wood Slab,模様付きアカシアの木材ハーフブロック
block.mowziesmobs.thatch_block,Thatch,茅葺
config.mowziesmobs.allowed_block_tags,Allowed Block Tags,スポーンするブロックのタグ
config.mowziesmobs.allowed_blocks,Allowed Blocks,スポーンするブロック
config.mowziesmobs.armor_data,Armor Controls,防具の設定
config.mowziesmobs.attack_damage,Attack Damage,攻撃ダメージ
config.mowziesmobs.attack_multiplier,Attack Damage Multiplier,攻撃力倍率
config.mowziesmobs.attack_speed,Attack Speed,攻撃速度
config.mowziesmobs.axe_of_a_thousand_metals,Axe of a Thousand Metals,千鋼の斧
config.mowziesmobs.backstab_damage_mult,Backstab Damage Multiplier,背後ダメージ倍率
config.mowziesmobs.blow_gun,Blowgun,吹き筒
config.mowziesmobs.breakable,Breakable,破壊可能
config.mowziesmobs.combat_data,Combat Controls,戦闘設定
config.mowziesmobs.crane_heal_sounds,Play Umvuthana Crane Heal Sounds,ウムヴーサナ・クレーン治癒音を再生する
config.mowziesmobs.custom_boss_bar,Custom Boss Health Bars,特別なHPバーを使うか
config.mowziesmobs.custom_player_anims,Custom Player Animations,特別なプレイヤーのアニメーションを使うか
