key,source_text,target_text
microblock.missing,The following microblocks are not installed on this client: %s,以下のマイクロブロックがクライアントにインストールされていません: %s
multipart.missing,The following multiparts are not installed on this client: %s,以下のマルチパーツはこのクライアントにインストールされていません: %s
itemGroup.microblockcbe,MicroBlock CBE,マイクロブロックCBE
item.microblockcbe:saw_stone.name,Stone Saw,石製の手鋸
item.microblockcbe:saw_iron.name,Iron Saw,鉄のノコギリ
item.microblockcbe:saw_diamond.name,Diamond Saw,ダイヤモンドノコギリ
item.microblockcbe:stone_rod.name,Stone Rod,石の棒
mcr_face.1.name,%s Cover,%s 覆蓋
mcr_face.1.subset,Cover,カバー
mcr_face.2.name,%s Panel,%s パネル
mcr_face.2.subset,Panel,パネル
mcr_face.4.name,%s Slab,%s ハーフブロック
mcr_face.4.subset,Slab,ハーフブロック
mcr_hllw.1.name,Hollow %s Cover,空洞 %s カバー
mcr_hllw.1.subset,Hollow Cover,空洞のカバー
mcr_hllw.2.name,Hollow %s Panel,空洞 %s パネル
mcr_hllw.2.subset,Hollow Panel,空洞パネル
mcr_hllw.4.name,Hollow %s Slab,空洞 %s ハーフブロック
mcr_hllw.4.subset,Hollow Slab,空洞のハーフブロック
mcr_edge.1.name,%s Strip,%s ストリップ
mcr_edge.1.subset,Strip,ストリップ
mcr_edge.2.name,%s Post,%s ポスト
mcr_edge.2.subset,Post,ポスト
mcr_edge.4.name,%s Pillar,%s柱
mcr_edge.4.subset,Pillar,柱
mcr_cnr.1.name,%s Nook,%s ノーク
mcr_cnr.1.subset,Nook,ヌック
mcr_cnr.2.name,%s Corner,%sの角
mcr_cnr.2.subset,Corner,角
mcr_cnr.4.name,%s Notch,%s ノッチ
mcr_cnr.4.subset,Notch,ノッチ
nei.subsets.Microblocks,Microblocks,マイクロブロック
