key,source_text,target_text
block.mysticalagradditions.awakened_draconium_crux,Awakened Draconium Crux,覚醒ドラコニウムの核
block.mysticalagradditions.dragon_egg_crux,Dragon Egg Crux,ドラゴンの卵の核
block.mysticalagradditions.end_inferium_ore,End Inferium Ore,エンドインフェリウム鉱石
block.mysticalagradditions.end_prosperity_ore,End Prosperity Ore,エンドプロスペリティ鉱石
block.mysticalagradditions.imperium_coal_block,Imperium Coal Block,インペリウムの石炭ブロック
block.mysticalagradditions.inferium_coal_block,Inferium Coal Block,インフェリウムの石炭ブロック
block.mysticalagradditions.insanium_block,Insanium Block,インサニウムブロック
block.mysticalagradditions.insanium_coal_block,Insanium Coal Block,インサニウムの石炭ブロック
block.mysticalagradditions.insanium_farmland,Insanium Farmland,インサニウムの耕地
block.mysticalagradditions.insanium_gemstone_block,Insanium Gemstone Block,インサニウムの宝石ブロック
block.mysticalagradditions.insanium_ingot_block,Insanium Ingot Block,インサニウムインゴットブロック
block.mysticalagradditions.nether_inferium_ore,Nether Inferium Ore,ネザーインフェリウム鉱石
block.mysticalagradditions.nether_prosperity_ore,Nether Prosperity Ore,ネザープロスペリティ鉱石
block.mysticalagradditions.nether_star_crux,Nether Star Crux,ネザースターの核
block.mysticalagradditions.nitro_crystal_crux,Nitro Crystal Crux,ニトロクリスタルの核
block.mysticalagradditions.prudentium_coal_block,Prudentium Coal Block,プルデンティウムの石炭ブロック
block.mysticalagradditions.supremium_coal_block,Supremium Coal Block,スプレミウムの石炭ブロック
block.mysticalagradditions.tertium_coal_block,Tertium Coal Block,テルティウムの石炭ブロック
book.mysticalagriculture.category.agradditions.description,This section goes over the additional content added by Mystical Agradditions.,このセクションでは、Mystical Agradditionsによって追加された要素について説明しています。
book.mysticalagriculture.entry.cruxes,Cruxes,核
book.mysticalagriculture.entry.essence_apples,Essence Apples,エッセンスのリンゴ
book.mysticalagriculture.entry.essence_apples.page.1,"Essence Apples are a much ""healthier"" alternative to regular Apples that provide buffs and additional nutrition.",エッセンスのリンゴは、通常のリンゴの「健康的」な代替品です。バフと追加の栄養を提供します。
book.mysticalagriculture.entry.insanium,Insanium Essence,インサニウムのエッセンス
book.mysticalagriculture.entry.insanium.page.2,$(li)They $(bold)usually$() cannot be grown using $(l:advances/mystical_fertilizer)Mystical Fertilizer$() or $(l:basics/fertilized_essence)Fertilized Essence$().$(),$(li)$(bold)通常$()、$(l:advances/mystical_fertilizer)神秘の肥料$()や$(l:basics/fertilized_essence)肥料のエッセンス$()を使用して成長させることはできません。$()
book.mysticalagriculture.entry.ore_variants,Ore Variants,鉱石のバリエーション
book.mysticalagriculture.entry.ore_variants.page.1,Nether Prosperity and Nether Inferium ores $(bold)usually$() spawn at all Y levels in the Nether.,ネザープロスペリティ鉱石とネザーインフェリウム鉱石は$(bold)通常$()、ネザーのすべてのY座標に生成されます。
book.mysticalagriculture.entry.ore_variants.page.2,End Prosperity and End Inferium ores $(bold)usually$() spawn at all Y levels in the End.,エンドプロスペリティ鉱石とエンドインフェリウム鉱石は$(bold)通常$()、ジ・エンドのすべてのY座標に生成されます。
book.mysticalagriculture.entry.paxels,Essence Paxels,エッセンスのパクセル
book.mysticalagriculture.entry.paxels.page.1,"Essence Paxels are a tool that works as a Pickaxe, Axe, and Shovel, all in one.",エッセンスのパクセルは、ツルハシ、斧、シャベルのすべての機能を持った道具です。
crop.mysticalagradditions.awakened_draconium,Awakened Draconium,覚醒ドラコニウム
crop.mysticalagradditions.dragon_egg,Dragon Egg,ドラゴンの卵
crop.mysticalagradditions.nether_star,Nether Star,ネザースター
crop.mysticalagradditions.nitro_crystal,Nitro Crystal,ニトロクリスタル
cropTier.mysticalagradditions.6,6,6
fluid.mysticalagradditions.molten_imperium,Molten Imperium,溶融したインペリウム
fluid.mysticalagradditions.molten_inferium,Molten Inferium,溶融したインフェリウム
fluid.mysticalagradditions.molten_prudentium,Molten Prudentium,溶融したプルデンティウム
fluid.mysticalagradditions.molten_soulium,Molten Soulium,溶融したソウリウム
fluid.mysticalagradditions.molten_supremium,Molten Supremium,溶融したスプレミウム
fluid.mysticalagradditions.molten_tertium,Molten Tertium,溶融したテルティウム
item.mysticalagradditions.creative_essence,Creative Essence,クリエイティブのエッセンス
item.mysticalagradditions.dragon_egg_chunk,Dragon Egg Chunk,ドラゴンの卵の欠片
item.mysticalagradditions.dragon_scale,Dragon Scale,ドラゴンの鱗
item.mysticalagradditions.imperium_apple,Imperium Apple,インペリウムのリンゴ
item.mysticalagradditions.imperium_coal,Imperium Coal,インペリウムの石炭
item.mysticalagradditions.imperium_paxel,Imperium Paxel,インペリウムのパクセル
item.mysticalagradditions.inferium_apple,Inferium Apple,インフェリウムのリンゴ
item.mysticalagradditions.inferium_coal,Inferium Coal,インフェリウムの石炭
item.mysticalagradditions.inferium_paxel,Inferium Paxel,インフェリウムのパクセル
item.mysticalagradditions.insanium_apple,Insanium Apple,インサニウムのリンゴ
item.mysticalagradditions.insanium_coal,Insanium Coal,インサニウムの石炭
item.mysticalagradditions.insanium_essence,Insanium Essence,インサニウムのエッセンス
item.mysticalagradditions.insanium_gemstone,Insanium Gemstone,インサニウムの宝石
item.mysticalagradditions.insanium_ingot,Insanium Ingot,インサニウムインゴット
item.mysticalagradditions.insanium_nugget,Insanium Nugget,インサニウム塊
item.mysticalagradditions.molten_imperium_bucket,Molten Imperium Bucket,溶融したインペリウム入りバケツ
item.mysticalagradditions.molten_inferium_bucket,Molten Inferium Bucket,溶融したインフェリウム入りバケツ
item.mysticalagradditions.molten_prudentium_bucket,Molten Prudentium Bucket,溶融したプルデンティウム入りバケツ
item.mysticalagradditions.molten_soulium_bucket,Molten Soulium Bucket,溶融したソウリウム入りバケツ
item.mysticalagradditions.molten_supremium_bucket,Molten Supremium Bucket,溶融したスプレミウム入りバケツ
item.mysticalagradditions.molten_tertium_bucket,Molten Tertium Bucket,溶融したテルティウム入りバケツ
item.mysticalagradditions.nether_star_shard,Nether Star Shard,ネザースターの欠片
