key,source_text,target_text
advancements.mythicbotany.mythicbotany.alfheim.description,Travel to Alfheim.,アルフェイムへ旅する
advancements.mythicbotany.mythicbotany.alfheim.title,Face to Face,顔対顔
advancements.mythicbotany.mythicbotany.alfsteel.description,Craft some Alfsteel,Alfsteelを作る
advancements.mythicbotany.mythicbotany.alfsteel.title,Confusing Resemblance,似ているが混乱
advancements.mythicbotany.mythicbotany.all_runes.description,Craft all types of runes.,すべての種類のルーンをクラフトする。
advancements.mythicbotany.mythicbotany.all_runes.title,Master of the Runes,文字の主導者
advancements.mythicbotany.mythicbotany.andwari.description,Get the curse off a Ring of Andwari.,アンワリのリングから呪いを取り除く
advancements.mythicbotany.mythicbotany.andwari.title,A Piglin would be proud,ピグリンは誇りに思うだろう
advancements.mythicbotany.mythicbotany.kill_pixie.description,Throw Mjöllnir at a Pixie.,ピクシーにMjöllnirを投げる。
advancements.mythicbotany.mythicbotany.kill_pixie.title,Is this a butterfly?,これは蝶ですか？
advancements.mythicbotany.mythicbotany.mending_repair.description,Repair some mending tools on an Alfsteel Pylon.,アルフスチール・パイロンで一部の修復ツールを修理する。
advancements.mythicbotany.mythicbotany.mending_repair.title,Mana makes experience,マナは経験値を生み出す
advancements.mythicbotany.mythicbotany.mimir.description,Drink from the well of Mimir.,ミミルの井戸から飲む。
advancements.mythicbotany.mythicbotany.mimir.title,Watery Wisdom,水の知恵
advancements.mythicbotany.mythicbotany.mjoellnir.description,Create a replica of Mjöllnir.,ミョールニルのレプリカを作成する。
advancements.mythicbotany.mythicbotany.mjoellnir.title,The Lightning Hammer,ライトニングハンマー
advancements.mythicbotany.mythicbotany.root.description,Dive deeper into the world of magic,魔法の世界をさらに深く探求する
biome.mythicbotany.alfheim_hills,Alfheim Hills,アルフェイム・ヒルズ
biome.mythicbotany.alfheim_lakes,Alfheim Lakes,アルフェイム・レイクス
biome.mythicbotany.alfheim_plains,Alfheim Plains,アルフヘイム平原
biome.mythicbotany.dreamwood_forest,Dreamwood Forest,ドリームウッドの森
biome.mythicbotany.golden_fields,Golden Fields,ゴールデン・フィールズ
block.mythicbotany.alfsteel_block,Block of Alfsteel,アルフスチールブロック
block.mythicbotany.alfsteel_pylon,Alfsteel Pylon,アルフステイルピラソン
block.mythicbotany.aquapanthus,Aquapanthus,アクゥパントス
block.mythicbotany.aquapanthus.description,Try it when it's dry.,乾いたときに試してみてください。
block.mythicbotany.aquapanthus_floating,Floating Aquapanthus,浮遊アクワパンセス
block.mythicbotany.dragonstone_ore,Dragonstone Ore,ドラゴンストーン鉱石
block.mythicbotany.dreamwood_leaves,Dreamwood Leaves,ドリームウッドの葉
block.mythicbotany.elementium_ore,Elementium Ore,エレメント鉱石
block.mythicbotany.exoblaze,Exoblaze,エクソブレイズ
block.mythicbotany.exoblaze.description,Blazing!,燃え盛る!
block.mythicbotany.exoblaze_floating,Floating Exoblaze,浮遊するエクスブレイズ
block.mythicbotany.feysythia,Feysythia,フェイシティア
block.mythicbotany.feysythia.description,A Fairytale of Fey,フェイの童話
block.mythicbotany.feysythia_floating,Floating Feysythia,浮遊フェイスシサイア
block.mythicbotany.gold_ore,Gold Ore,金鉱石
block.mythicbotany.hellebore,Hellebore,ヘレボール
block.mythicbotany.hellebore.description,It feels like Helheim.,ヘルハイムみたいな気分になる。
block.mythicbotany.hellebore_floating,Floating Hellebore,浮遊ヘレボール
block.mythicbotany.mana_collector,Mana Collector,マナコレクター
block.mythicbotany.mana_infuser,Mana-Infuser,マナインフューザー
block.mythicbotany.master_rune_holder,Master Rune Holder,マスター・ルーンホルダー
block.mythicbotany.mjoellnir,Mjöllnir,ミョルニル
block.mythicbotany.petrunia,Petrunia,ペトゥニア
block.mythicbotany.petrunia.description,Obtained from a garden in Privet Drive,Privet Drive の庭園から入手可能
block.mythicbotany.petrunia_floating,Floating Petrunia,浮遊するペトランイア
block.mythicbotany.raindeletia,Raindeletia,レインデレティア
block.mythicbotany.raindeletia.description,Rain is not a pain.,雨は痛みではありません。
block.mythicbotany.raindeletia_floating,Floating Raindeletia,浮遊レインデレティア
block.mythicbotany.return_portal,Alfheim Return Portal,アルフェイムの帰還扉
block.mythicbotany.rune_holder,Rune Holder,ルーンホルダー
block.mythicbotany.wither_aconite,Wither Aconite,ウィザーアコニット
block.mythicbotany.wither_aconite.description,It gobbles nether stars.,ネザー星を食べ尽くす。
block.mythicbotany.wither_aconite_floating,Floating Wither Aconite,浮遊するウィザー・アコニテ
block.mythicbotany.yggdrasil_branch,Branch of Yggdrasil,ユグドラシルの枝
enchantment.mythicbotany.hammer_mobility,Hammer Mobility,ハンマーの移動性
entity.mythicbotany.alf_pixie,Alfheim Pixie,アルフェイム・ピクシー
entity.mythicbotany.mjoellnir,Mjöllnir,ミョルニル
item.mythicbotany.alf_pixie_spawn_egg,Alfheim Pixie Spawn Egg,アルフヘイムピクシースポーンエッグ
item.mythicbotany.alfheim_rune,Rune of Alfheim,アルフェイムの呪文
item.mythicbotany.alfsteel_armor_upgrade,Double Alfsteel Ingot,双倍アルフェースティールインゴット
item.mythicbotany.alfsteel_axe,Alf Truncator,アルフ・トランシータ
item.mythicbotany.alfsteel_boots,Alfsteel Boots,アルフスチールブーツ
item.mythicbotany.alfsteel_boots.description,Makes you jump higher.,ジャンプが高くなる。
item.mythicbotany.alfsteel_chestplate,Alfsteel Chestplate,アルフスチールの胸甲
item.mythicbotany.alfsteel_chestplate.description,Gives you fairly good knockback resistance.,かなり良いノックバック抵抗を付与する
item.mythicbotany.alfsteel_helmet,Alfsteel Helmet,Alfsteel ヘルメット
item.mythicbotany.alfsteel_helmet.description,Makes you reach a little bit further.,少し遠くまで届くようにする。
item.mythicbotany.alfsteel_ingot,Alfsteel Ingot,アルフスチールインゴット
item.mythicbotany.alfsteel_leggings,Alfsteel Leggings,アルフスチールレッグス
item.mythicbotany.alfsteel_leggings.description,Makes you run faster.,走行速度が上がります。
item.mythicbotany.alfsteel_nugget,Alfsteel Nugget,Alfsteel ニュゲット
item.mythicbotany.alfsteel_pick,Alf Shatterer,アルフ・シャッターバー
item.mythicbotany.alfsteel_sword,Alf Blade,アルフ ブレード
item.mythicbotany.andwari_ring,Ring of Andwari,アンドワリのリング
