key,source_text,target_text
advancements.adventure.nasty.arrow_hit.description,Hit by Nasty Skeleton,厄介なスケルトンに見舞われた
advancements.adventure.nasty.arrow_hit.title,From way Downtown!,ダウンタウンから！
advancements.adventure.nasty.kill_a_mob.description,Kill a Nasty Skeleton,厄介なスケルトンを殺す
advancements.adventure.nasty.kill_a_mob.title,Sweet Revenge,甘い復讐
advancements.adventure.nasty.kill_all_mobs.description,Kill each type of Nasty Skeleton,厄介なスケルトンの各タイプを殺す
advancements.adventure.nasty.kill_all_mobs.title,Nasty Killer,厄介なキラー
advancements.adventure.nasty.kill_by_bow.description,Kill a Nasty Skeleton with a bow and arrow,弓と矢で厄介なスケルトンを殺す
advancements.adventure.nasty.kill_by_bow.title,How does it feel!,どんな感じですか！
entity.nasty.skeleton,Nasty Skeleton,厄介なスケルトン
entity.nasty.wolf,Nasty Wolf,厄介なオオカミ
item.nasty.explosive_arrow,Explosive Arrow,爆発の矢
item.nasty.magic_arrow,Magic Arrow,魔法の矢
item.nasty.skeleton_spawn_egg,Nasty Skeleton Spawn Egg,厄介なスケルトンスポーンエッグ
item.nasty.wolf_spawn_egg,Nasty Wolf Spawn Egg,厄介なウルフスポーンエッグ
subtitles.nasty.item.armor.drop,Gear drops,ギアドロップ
