key,source_text,target_text
block.natures_delight.aspen_cabinet,Aspen Cabinet,アスペンのキャビネット
block.natures_delight.cedar_cabinet,Cedar Cabinet,セダーキャビネット
block.natures_delight.coconut_cabinet,Coconut Cabinet,ココナッツのキャビネット
block.natures_delight.cypress_cabinet,Cypress Cabinet,シラカバのキャビネット
block.natures_delight.desert_turnip_crate,Desert Turnip Crate,砂漠のカブ箱
block.natures_delight.fir_cabinet,Fir Cabinet,トウヒのキャビネット
block.natures_delight.ghaf_cabinet,Ghaf Cabinet,ジャフキャビネット
block.natures_delight.joshua_cabinet,Joshua Cabinet,ジョシュアのキャビネット
block.natures_delight.larch_cabinet,Larch Cabinet,ラーチキャビネット
block.natures_delight.mahogany_cabinet,Mahogany Cabinet,マホガニーのキャビネット
block.natures_delight.manakish,Manakish,マナキッシュ
block.natures_delight.maple_cabinet,Maple Cabinet,メープルのキャビネット
block.natures_delight.olive_cabinet,Olive Cabinet,オリーブのキャビネット
block.natures_delight.palo_verde_cabinet,Palo Verde Cabinet,パロ・ヴェルデキャビネット
block.natures_delight.redwood_cabinet,Redwood Cabinet,レッドウッドのキャビネット
block.natures_delight.saxaul_cabinet,Saxaul Cabinet,サクールのキャビネット
block.natures_delight.shiitake_mushroom_colony,Shiitake Mushroom Colony,シイタケキノココロニー
block.natures_delight.sugi_cabinet,Sugi Cabinet,スギキャビネット
block.natures_delight.willow_cabinet,Willow Cabinet,ウィローのキャビネット
block.natures_delight.wisteria_cabinet,Wisteria Cabinet,ウィスティアのキャビネット
block.natures_spirit.pizza.farmersdelight.cabbage,With Cabbage,キャベツ付き
block.natures_spirit.pizza.farmersdelight.cabbage_leaf,With Chopped Cabbage,切ったキャベツ付き
block.natures_spirit.pizza.farmersdelight.cooked_bacon,With Cooked Bacon,調理済みベーコン付き
block.natures_spirit.pizza.farmersdelight.cooked_chicken_cuts,With Chopped Chicken,切ったチキン付き
block.natures_spirit.pizza.farmersdelight.cooked_cod_slice,With Chopped Cod,カットされたコダの入ったもの
block.natures_spirit.pizza.farmersdelight.onion,With Onions,オニオン付き
block.natures_spirit.pizza.farmersdelight.tomato,With Tomatoes,トマト付き
item.natures_delight.alfredo_pasta,Alfredo Pasta,アルフレドパスタ
item.natures_delight.cocada,Cocada,コカダ
item.natures_delight.coconut_bread,Coconut Bread,ココナッツのパン
item.natures_delight.coconut_pancakes,Coconut Pancakes,ココナッツのパンケーキ
item.natures_delight.coconut_sauce,Coconut Sauce,ココナッツソース
item.natures_delight.fafaru,Fafaru,ファファル
item.natures_delight.manakish_slice,Slice of Manakish,マナキッシュのスライス
item.natures_delight.sweet_and_savory_saute,Sweet And Savory Saute,甘味と旨味のソテー
item.natures_delight.turnip_tagine,Turnip Tagine,タグインのタジン
