key,source_text,target_text
_comment,STRINGS - PRECIPITATION,文字列 - 降雨
item.naturescompass.naturescompass,Nature's Compass,自然のコンパス
string.naturescompass.average,Average,平均
string.naturescompass.back,Back,戻る
string.naturescompass.baseHeight,Base Height,基準の高度
string.naturescompass.biome,Biome,バイオーム
string.naturescompass.climate,Climate,気候
string.naturescompass.cold,Cold,寒い
string.naturescompass.coordinates,Coordinates,座標
string.naturescompass.distance,Distance,距離
string.naturescompass.fillerBlock,Filler Block,繋ぎのブロック
string.naturescompass.found,Found,発見済み
string.naturescompass.heightVariation,Height Variation,高度の変化
string.naturescompass.high,High,高い
string.naturescompass.highHumidity,High Humidity,高湿度
string.naturescompass.info,Info,情報
string.naturescompass.low,Low,低い
string.naturescompass.medium,Medium,普通
string.naturescompass.name,Name,名前
string.naturescompass.none,None,なし
string.naturescompass.notFound,Not Found,未発見
string.naturescompass.precipitation,Precipitation,降水
string.naturescompass.radius,Radius,半径
string.naturescompass.rain,Rain,雨
string.naturescompass.rainfall,Rainfall,降水量
string.naturescompass.samples,Samples,サンプル
string.naturescompass.search,Search,検索
string.naturescompass.searching,Searching,検索中
string.naturescompass.selectBiome,Select Biome,バイオームを選ぶ
string.naturescompass.snow,Snow,雪
string.naturescompass.sortBy,Sort By,並び替え
string.naturescompass.source,Source,ソース
string.naturescompass.startSearch,Start Search,検索する
string.naturescompass.status,Status,ステータス
string.naturescompass.teleport,Teleport,テレポート
string.naturescompass.temperature,Temperature,気温
string.naturescompass.topBlock,Top Block,表面のブロック
string.naturescompass.veryHigh,Very High,とても高い
string.naturescompass.veryLow,Very Low,とても低い
string.naturescompass.warm,Warm,暖かい
string.naturescompass.category,Category,カテゴリー
string.naturescompass.dimension,Dimension,ディメンション
string.naturescompass.tags,Tags,タグ
item.naturescompass.NaturesCompass.name,Nature's Compass,自然の羅針盤
string.naturescompass.ocean,Ocean,海洋
