key,source_text,target_text
nbt_ac.options,NBT Autocomplete Settings,NBT自動補完設定
nbt_ac.options.advanced_settings,Advanced Settings,詳細設定
nbt_ac.options.common.gui_debug_warning,Config screen debug mode is enabled!,設定画面のデバッグモードが有効です！
nbt_ac.options.common.reset_settings,Reset Settings,設定をリセット
nbt_ac.options.common.tooltip,"%s
§8Default value: %s","%s
§8デフォルト値: %s"
nbt_ac.options.common.undefined,[undefined],[未定義]
nbt_ac.options.debugging_options,Debugging Options,デバッグオプション
nbt_ac.options.field.allow_block_entity_extraction,Allow Block Entity Extraction,ブロックエンティティの抽出を許可
nbt_ac.options.field.allow_block_entity_extraction.desc,Allows for usage of block entity extraction method (similar to one used by disassembler) after suggestions are loaded.,提案が積み込まれた後、ブロックエンティティ抽出メソッド(分解機が使用するものと類似)の使用を許可します。
nbt_ac.options.field.custom_sorting,Custom Sorting,カスタムソート
nbt_ac.options.field.custom_sorting.desc,Allows the mod to use non-alphabetical suggestion sorting.,Modが非アルファベット順の提案ソートを使用できるようにします。
nbt_ac.options.field.debug_config_screen,Debug Config Screen,デバッグ設定画面
nbt_ac.options.field.debug_config_screen.desc,Shows settings GUI after exiting realms screen. It isn't reset to default value by GUI reset button!,Realms画面を終了した後、設定GUIを表示します。GUI リセットボタンではデフォルト値にリセットされません！
nbt_ac.options.field.debug_mode,Debug Mode,デバッグモード
nbt_ac.options.field.debug_mode.desc,Enables additional messages and checks useful for debugging.,デバッグに役立つ追加メッセージとチェックを有効にします。
nbt_ac.options.field.debug_sleep,Debug Loading Sleep,デバッグ読込遅延
nbt_ac.options.field.debug_sleep.0,[disabled],[無効]
nbt_ac.options.field.debug_sleep.desc,"Delays suggestion loading to better measure time it takes (value in milliseconds, recommended to set to a few thousand).",提案読込にかかる時間をより正確に測定するために読込を遅延させます(ミリ秒単位、数千に設定することをお勧めします)。
nbt_ac.options.field.default_quotation_mark_type,Default Quotation Mark Type,デフォルト引用符タイプ
nbt_ac.options.field.default_quotation_mark_type.1,Single ('),シングル (')
nbt_ac.options.field.default_quotation_mark_type.2,"Double ("")","ダブル ("")"
nbt_ac.options.field.default_quotation_mark_type.desc,"Defines what kind of quotation mark will be used by default.
1 - Single (')
2 - Double ("")
Other values will be treated as 2.
If you're using version 1.19.4 or older, note that setting it to single (especially with ""Put Tags In Quotation Marks"" set to ""Always"") may cause some issues with NBT paths due to MC-175504 bug. It also doesn't apply to JSON text components.","デフォルトで使用される引用符の種類を定義します。
1 - シングル (')
2 - ダブル ("")
その他の値は2として扱われます。
バージョン1.19.4以前を使用している場合、特に「タグを引用符で囲む」が「常に」に設定されている場合、シングルに設定するとMC-175504バグによるNBTパスの問題が発生する可能性があります。JSONテキストコンポーネントには適用されません。"
nbt_ac.options.field.gray_out_irrelevant,Gray Out Irrelevant,無関係な提案を灰色化
nbt_ac.options.field.gray_out_irrelevant.desc,Grays out irrelevant suggestions.,無関係な提案を灰色化します。
nbt_ac.options.field.hide_forge_tags,Hide Forge Tags,Forgeタグを非表示
nbt_ac.options.field.hide_forge_tags.desc,"Hides Forge specific tags. Requires removing ""./minecraft/cache/nbt_ac"" and game restart to take effect.",Forge固有のタグを非表示にします。効果を適用するには「./minecraft/cache/nbt_ac」を削除してゲームを再起動する必要があります。
nbt_ac.options.field.hide_mc_namespace_in_components,Hide Minecraft Namespace In Components,コンポーネント内のMinecraftネームスペースを非表示
nbt_ac.options.field.hide_mc_namespace_in_components.desc,"Hides ""minecraft:"" namespace from item component suggestions.",アイテムコンポーネント提案から「minecraft:」ネームスペースを非表示にします。
nbt_ac.options.field.hide_mc_namespace_in_strings,Hide Minecraft Namespace In Strings,文字列内のMinecraftネームスペースを非表示
nbt_ac.options.field.hide_mc_namespace_in_strings.desc,"Hides ""minecraft:"" namespace from string suggestions.",文字列提案から「minecraft:」ネームスペースを非表示にします。
nbt_ac.options.field.hide_mc_namespace_in_tags,Hide Minecraft Namespace In Tags,タグ内のMinecraftネームスペースを非表示
nbt_ac.options.field.hide_mc_namespace_in_tags.desc,"Hides ""minecraft:"" namespace from tag suggestions.",タグ提案から「minecraft:」ネームスペースを非表示にします。
nbt_ac.options.field.ignore_letter_case,Ignore Letter Case,大文字小文字を区別しない
nbt_ac.options.field.ignore_letter_case.desc,Ignores letter case when providing tag name suggestions.,タグ名の提案を提供するときに大文字小文字を区別しません。
nbt_ac.options.field.json_string_suggestion,JSON String Suggestion,JSON文字列提案
nbt_ac.options.field.json_string_suggestion.0,None,なし
nbt_ac.options.field.json_string_suggestion.1,Recommended,推奨
nbt_ac.options.field.json_string_suggestion.2,Default For Strings,文字列のデフォルト
nbt_ac.options.field.json_string_suggestion.3,"Legacy, Separated (' "")","レガシー、分離 (' "")"
nbt_ac.options.field.json_string_suggestion.4,"Legacy, Merged ('"")","レガシー、統合 ('"")"
nbt_ac.options.field.json_string_suggestion.5,"Legacy, Backslash (""\"")","レガシー、バックスラッシュ (""\"")"
