key,source_text,target_text
text.autoconfig.no_fog.title,No Fog Configuration,ノーフォグ設定
text.no_fog.config.blindness_fog,Enable blindness fog,盲目の霧を有効化
text.no_fog.config.category.biomes,Biome settings,バイオーム設定
text.no_fog.config.category.dimensions,Dimension Type settings,ディメンションタイプ設定
text.no_fog.config.category.global,Global settings,全体設定
text.no_fog.config.darkness_fog,Enable darkness fog,闇の霧を有効化
text.no_fog.config.default.disabled,Default: disabled,デフォルト：無効化
text.no_fog.config.default.enabled,Default: enabled,デフォルト: 有効
text.no_fog.config.lava_fog,Enable lava fog,溶岩の霧を有効化
text.no_fog.config.powder_snow_fog,Enable powder snow fog,粉雪の霧を有効化
text.no_fog.config.sky_fog,Enable sky fog,空の霧を有効化
text.no_fog.config.terrain_fog,Enable terrain fog,地形の霧を有効化
text.no_fog.config.thick_fog,Enable thick fog,濃い霧を有効にする
text.no_fog.config.thick_fog.tooltip,(e.g. boss fog or Nether fog),(例: ボスの霧または下界の霧)
text.no_fog.config.water_fog,Enable water fog,水の霧を有効にする
