key,source_text,target_text
block.occultengineering.brass_chalk,Brass Chalk,真鍮のチョーク
block.occultengineering.copper_chalk,Copper Chalk,銅のチョーク
block.occultengineering.fan_enspirit_catalyst,Fan Enspirit Catalyst,ファンエンスパイア触媒
block.occultengineering.mechanical_chamber,Mechanical Chamber,機械式の間
block.occultengineering.mechanical_pulverizer,Mechanical Pulverizer,機械式粉砕機
block.occultengineering.otherworld_detector,Otherworld Detector,異界探知機
block.occultengineering.pentacle_altar,Pentacle Altar,ペンタクルアルタ
block.occultengineering.phlogiport,Phlogiport,フロジポート
block.occultengineering.pucalith,Púcalith,プカリス
block.occultengineering.spirit_solution,Spirit Solution,精霊溶液
block.occultengineering.sterling_silver_block,Block of Sterling Silver,スターリングシルバーのブロック
block.occultengineering.zinc_chalk,Zinc Chalk,亜鉛のチョーク
book.occultengineering.encyclopedia_of_souls.getting_started.basics.description,Simple interactions between Create & Occultism,CreateとOccultismの基本的な連携
book.occultengineering.encyclopedia_of_souls.getting_started.basics.name,Basics,基本
book.occultengineering.encyclopedia_of_souls.getting_started.basics.new_arm_interaction.text,"The Mechanical Arm has new targets!
\
\
It can directly interact with the Sacrificial Bowl, the Stable Wormhole and the Dimensional Storage
Actuator.
","機械式アームが新たな対象に対応しました！
\
\
犠牲の器、安定ワームホール、次元保管アクチュエーターに直接干渉できます。
"
book.occultengineering.encyclopedia_of_souls.getting_started.basics.new_arm_interaction.title,The Mechanical Arm,機械式アーム
book.occultengineering.encyclopedia_of_souls.getting_started.basics.new_fan_catalyst.text,"Spiritfire and the Spirit Campfire can now be used in front of an encased fan to 'Bulk Enspirit'
items. This can be used to automate all of the Spiritfire's recipes.
","精霊の炎や精霊の焚き火を密閉ファンの前で使用して、アイテムを「大量霊化」できるようになりました。
この仕組みにより、精霊の炎を使った全てのレシピを自動化可能です。
"
book.occultengineering.encyclopedia_of_souls.getting_started.basics.new_fan_catalyst.title,Encased Fan & Spiritfire,密閉ファンと精霊の炎
book.occultengineering.encyclopedia_of_souls.getting_started.basics.new_recipes.text,"Occult Engineering contains a bunch of new recipes to assist the creation of occult items.
\
\
For one, the mixer can now be used to mix up all the books of binding from Occultism.
","Occult Engineeringには、神秘的なアイテム作成を支援する新しいレシピが多数追加されています。
\
\
例えば、ミキサーを使ってOccultismの全ての縛霊の書を混合して作れるようになりました。
"
book.occultengineering.encyclopedia_of_souls.getting_started.basics.new_recipes.title,New Recipes,新しいレシピ
book.occultengineering.encyclopedia_of_souls.getting_started.basics.new_recipes2.text,"Don't have enough silver? Raw Gold can be haunted into Raw Silver.
\
\
Check JEI for the specific recipes.
","銀が足りない？　原金を幽霊化することで原銀に変換できます。
\
\
詳細なレシピはJEIを参照してください。
"
book.occultengineering.encyclopedia_of_souls.getting_started.chalks.chalks.text,"Along with Occultism's standard chalk, you may need to end up crafting 3 new types of chalk.
\
\
The cost of the chalk scales with the cost of the ritual, with Copper being the cheapest, then Zinc and
finally Brass.
","Occultismの標準チョークに加え、3種類の新しいチョークを作る必要があるかもしれません。
\
\
チョークのコストは儀式のコストに比例し、銅が最も安価で、次に亜鉛、そして最後に真鍮が最も高価です。
"
book.occultengineering.encyclopedia_of_souls.getting_started.chalks.chalks.title,More Chalks,さらなるチョーク
book.occultengineering.encyclopedia_of_souls.getting_started.chalks.chalks2.text,"The new chalks can only be crafted by pressing them with [Spirit Solution](entry://occultengineering:encyclopedia_of_souls/getting_started/spirit_solution).
\
\
The more expensive the chalk, the more spirit solution that they require.
","新しいチョークは[精霊溶液](entry://occultengineering:encyclopedia_of_souls/getting_started/spirit_solution)を加圧することでのみ作成可能です。
\
\
チョークが高価になるほど、必要な精霊溶液の量も増加します。
"
book.occultengineering.encyclopedia_of_souls.getting_started.chalks.description,Fancier symbols to decorate the ground,地面に装飾を施すためのより豪華な記号
book.occultengineering.encyclopedia_of_souls.getting_started.chalks.name,New Chalks,新しいチョーク
book.occultengineering.encyclopedia_of_souls.getting_started.chalks.purify_brass.title,Brass Chalk,真鍮のチョーク
book.occultengineering.encyclopedia_of_souls.getting_started.chalks.purify_copper.title,Copper Chalk,銅のチョーク
book.occultengineering.encyclopedia_of_souls.getting_started.chalks.purify_zinc.title,Zinc Chalk,亜鉛のチョーク
book.occultengineering.encyclopedia_of_souls.getting_started.intro.description,About using the Encyclopedia,この書の使い方について
book.occultengineering.encyclopedia_of_souls.getting_started.intro.help.text,"If you run into any trouble with Occult Engineering, feel free to join the Discord to get help.
\
\
[Join at https://discord.gg/B7Sd3eaTrs](https://discord.gg/B7Sd3eaTrs)
","Occult Engineeringで困ったことがあれば、Discordに参加してサポートを受けてください。
\
\
[https://discord.gg/B7Sd3eaTrs に参加](https://discord.gg/B7Sd3eaTrs)
"
book.occultengineering.encyclopedia_of_souls.getting_started.intro.help.title,Getting Help,サポートを受ける
book.occultengineering.encyclopedia_of_souls.getting_started.intro.intro.text,"This book aims to introduce the new functionality of Occult Engineering,
and aims to complement the Ponder system of the Kinetic Blocks, adding info about the other features.
","この書はOccult Engineeringの新機能を紹介し、
Kinetic BlocksのPonderシステムを補完するために作られています。他の機能についての情報も追加されます。
"
book.occultengineering.encyclopedia_of_souls.getting_started.intro.intro.title,About,概要
book.occultengineering.encyclopedia_of_souls.getting_started.intro.name,About,概要
book.occultengineering.encyclopedia_of_souls.getting_started.mechanical_chamber.description,The height of ritual automation,儀式自動化の最先端
book.occultengineering.encyclopedia_of_souls.getting_started.mechanical_chamber.mechanical_chamber.text,"The Mechanical Chamber can be used in place of the Golden Sacrificial Bowl for any ritual that does not require item use
or sacrifice.
\
\
It works best with the rituals that produce items.
\
\
For more info, ponder the block.
","機械式の間は、アイテムの使用や犠牲を必要としない儀式であれば、黄金の犠牲の器の代わりとして使用できます。
\
\
特にアイテムを生成する儀式で効果を発揮します。
\
\
詳しくは、そのブロックをPonderしてください。
"
book.occultengineering.encyclopedia_of_souls.getting_started.mechanical_chamber.mechanical_chamber.title,Mechanical Chamber,機械式の間
book.occultengineering.encyclopedia_of_souls.getting_started.mechanical_chamber.name,Mechanical Chamber,機械式の間
book.occultengineering.encyclopedia_of_souls.getting_started.mechanical_pulverizer.description,It grinds through the competition,競争相手を粉砕する
book.occultengineering.encyclopedia_of_souls.getting_started.mechanical_pulverizer.mechanical_pulverizer.text,"The Mechanical Chamber can be used instead of Occultism's crushing for any item a spirit can crush.
\
\
For more info ponder the block.
","機械式の間は、Occultismにおける精霊の粉砕機能の代わりとして使用できます。
\
\
詳しくは、そのブロックをPonderしてください。
"
book.occultengineering.encyclopedia_of_souls.getting_started.mechanical_pulverizer.mechanical_pulverizer.title,Mechanical Pulverizer,機械式粉砕機
book.occultengineering.encyclopedia_of_souls.getting_started.mechanical_pulverizer.name,Mechanical Pulverizer,機械式粉砕機
book.occultengineering.encyclopedia_of_souls.getting_started.name,Getting Started,はじめに
book.occultengineering.encyclopedia_of_souls.getting_started.otherworld_detector.description,It knows when you're awake,目覚めているかどうかを見抜く
book.occultengineering.encyclopedia_of_souls.getting_started.otherworld_detector.name,Otherworld Detector,異界探知機
book.occultengineering.encyclopedia_of_souls.getting_started.otherworld_detector.otherworld_detector.text,"An Otherworld Detector can be used to detect whether the nearest player can see into the otherworld.
\
\
It outputs a redstone signal if they can.
\
\
For more info ponder the block.
","異界探知機は、最も近くにいるプレイヤーが異界を視認できるかどうかを検知します。
\
\
視認できる場合、レッドストーン信号を出力します。
\
\
詳しくは、該当ブロックをPonderしてください。
"
book.occultengineering.encyclopedia_of_souls.getting_started.otherworld_detector.otherworld_detector.title,Otherworld Detector,異界探知機
book.occultengineering.encyclopedia_of_souls.getting_started.pentacles_link.name,Go to Pentacles,五芒星へ移動
book.occultengineering.encyclopedia_of_souls.getting_started.phlogiport.description,"Move over, delivery drones!",配達ドローン、退避しろ！
book.occultengineering.encyclopedia_of_souls.getting_started.phlogiport.name,Phlogiport,フロジポート
book.occultengineering.encyclopedia_of_souls.getting_started.phlogiport.phlogiport.text,"Phlogiports can be use to wirelessly transmit packages based on their address.
\
\
Click it to open the inventory.
\
\
For more info ponder the block.
","フロギポートはアドレスに基づいてパッケージをワイヤレスで送信するために使用できます。

クリックしてインベントリを開きます。

詳細については、ブロックをポンダーしてください。"
book.occultengineering.encyclopedia_of_souls.getting_started.phlogiport.phlogiport.title,Phlogiport,フロジポート
book.occultengineering.encyclopedia_of_souls.getting_started.phlogiston.description,The raw essence of fire,炎の原始的な精髄
book.occultengineering.encyclopedia_of_souls.getting_started.phlogiston.name,Phlogiston,フロジスチン
book.occultengineering.encyclopedia_of_souls.getting_started.phlogiston.phlogiston.text,"Phlogiston is the element of fire which is a component of everything that burns.
It also interacts with Sterling Silver, weirdly.
\
\
Craft it by compacting 4 Blaze Powder with Lava, superheated
","フロギストンは、燃えるすべてのもののコンポーネントである火の要素です。
また、奇妙なことにスターリングシルバーと相互作用します。

ブレイズパウダー 4 個と溶岩を圧縮して、超加熱して作成します。"
book.occultengineering.encyclopedia_of_souls.getting_started.phlogiston.phlogiston.title,Sterling Silver,スターリングシルバー
book.occultengineering.encyclopedia_of_souls.getting_started.phlogiston.uses.text,"- [*Silver Phlogistate*](entry://occultengineering:encyclopedia_of_souls/getting_started/silver_phlogistate)
",- [*シルバーフロギステート*](entry://occultengineering:encyclopedia_of_souls/getting_started/silver_phlogistate)
book.occultengineering.encyclopedia_of_souls.getting_started.phlogiston.uses.title,Usage,使用方法
book.occultengineering.encyclopedia_of_souls.getting_started.puca_book.description,A new spirit fascinated with machinery,機械に魅了された新たな精霊
book.occultengineering.encyclopedia_of_souls.getting_started.puca_book.name,The Púca,プーカ
book.occultengineering.encyclopedia_of_souls.getting_started.puca_book.puca.text,"The Púca is a new spirit that can be used to perform new rituals.
\
\
Its not very harmful, so it doesn't require large pentacles to contain it.
\
\
They are primarily used for crafting machines.
","プーカは、新たな儀式を行うために使える精霊です。
\
\
非常に攻撃的ではないため、大きな五芒星で封印する必要はありません。
\
\
主に機械の製作に使われます。
"
book.occultengineering.encyclopedia_of_souls.getting_started.puca_book.puca.title,The Púca,プーカ
book.occultengineering.encyclopedia_of_souls.getting_started.puca_book.uses.text,"- [*Otherworld Detector*](entry://occultengineering:encyclopedia_of_souls/getting_started/otherworld_detector)
","- [*異界探知機*](entry://occultengineering:encyclopedia_of_souls/getting_started/otherworld_detector)
"
book.occultengineering.encyclopedia_of_souls.getting_started.puca_book.uses.title,Used to Craft,使用先
book.occultengineering.encyclopedia_of_souls.getting_started.silver_phlogistate.description,New & Improved,新機能＆改良
book.occultengineering.encyclopedia_of_souls.getting_started.silver_phlogistate.name,Silver Phlogistate,銀 Phlogistate
book.occultengineering.encyclopedia_of_souls.getting_started.silver_phlogistate.silver_phlogistate.text,"Silver Phlogistate is used to craft Occult Technologies that don't require rotational power.
\
\
Craft it by mixing Phlogiston and Sterling Silver
","シルバーフロギステートは、回転力を必要としないオキュルトテクノロジーを作成するために使用されます。

フロギストンとスターリングシルバーを混ぜることで作成します。"
book.occultengineering.encyclopedia_of_souls.getting_started.silver_phlogistate.silver_phlogistate.title,Silver Phlogistate,銀 Phlogistate
book.occultengineering.encyclopedia_of_souls.getting_started.silver_phlogistate.uses.title,Usage,使用方法
book.occultengineering.encyclopedia_of_souls.getting_started.spirit_solution.description,The essential elixir,不可欠な霊薬
book.occultengineering.encyclopedia_of_souls.getting_started.spirit_solution.intro.text,"Spirit Solution is used for a number of things in the mod. Most notably, it can be poured onto books
of binding to bind them ready for a ritual which can be used in place of  of crafting with a Dictionary of Spirits.
\
It is also used as the only way to craft the new chalks.
","精霊溶液は、このMODでさまざまな用途があります。特に重要なのは、縛霊の書に注いで儀式用に準備し、精霊の辞典を使ったクラフトの代替として使えることです。
\
また、新しいチョークを作る唯一の手段でもあります。
"
book.occultengineering.encyclopedia_of_souls.getting_started.spirit_solution.intro.title,Spirit Solution,精霊溶液
book.occultengineering.encyclopedia_of_souls.getting_started.spirit_solution.intro2.text,"To get started with a small bit of Spirit Solution, crush some Demon's Dream Seeds.
\
Use standard Create machinery to pump it around, or collect it in a bucket when you have enough.
\
To get the solution more efficiently, Water can either be mixed with Demon's Dream Fruit or
Otherworld Essence with heat applied.
","少量の精霊溶液を手に入れるには、悪魔の夢の種を粉砕してください。
\
標準的なCreateの機械を使ってポンプで移送したり、十分な量があればバケツで回収することもできます。
\
より効率的に作るには、水に悪魔の夢の果実または異界の精を混ぜて加熱してください。
"
book.occultengineering.encyclopedia_of_souls.getting_started.spirit_solution.name,Spirit Solution,精霊溶液
book.occultengineering.encyclopedia_of_souls.getting_started.sterling_silver.description,A new versatile material,新たな万能素材
book.occultengineering.encyclopedia_of_souls.getting_started.sterling_silver.name,Sterling Silver,スターリングシルバー
book.occultengineering.encyclopedia_of_souls.getting_started.sterling_silver.sterling_silver.text,"Sterling Silver is a new crafting material that can be used to craft Occult Machinery.
\
\
Craft it by mixing Copper Dust and Silver Dust in a heated basin.
","スターリングシルバーは、神秘機械を作成するための新しい素材です。
\
\
加熱した容器で銅の粉末と銀の粉末を混ぜて作成します。
"
book.occultengineering.encyclopedia_of_souls.getting_started.sterling_silver.sterling_silver.title,Sterling Silver,スターリングシルバー
book.occultengineering.encyclopedia_of_souls.getting_started.sterling_silver.uses.text,"- [*Mechanical Chamber*](entry://occultengineering:encyclopedia_of_souls/getting_started/mechanical_chamber)
- [*Mechanical Pulverizer*](entry://occultengineering:encyclopedia_of_souls/getting_started/mechanical_pulverizer)
","- [*機械式の間*](entry://occultengineering:encyclopedia_of_souls/getting_started/mechanical_chamber)
- [*機械式粉砕機*](entry://occultengineering:encyclopedia_of_souls/getting_started/mechanical_pulverizer)
"
book.occultengineering.encyclopedia_of_souls.getting_started.sterling_silver.uses.title,Usage,使用方法
book.occultengineering.encyclopedia_of_souls.name,Encyclopedia of Souls,魂の百科典
book.occultengineering.encyclopedia_of_souls.pentacles.craft_puca.description,The first of the mechanical rituals.,最初の機械儀式。
