key,source_text,target_text
block.oceansdelight.guardian_soup,Guardian Soup,ガーディアンスープ
item.oceansdelight.baked_tentacle_on_a_stick,Baked Tentacle on a Stick,棒に焼かれた触手
item.oceansdelight.bowl_of_guardian_soup,Bowl of Guardian Soup,ガーディアンスープボウル
item.oceansdelight.braised_sea_pickle,Braised Sea Pickle,煮込み海塩漬け
item.oceansdelight.cabbage_wrapped_elder_guardian,Cabbage Wrapped Elder Guardian,キャベツで包まれたエルダーガーディアン
item.oceansdelight.cooked_elder_guardian_slice,Cooked Slice of Elder Guardian,調理したエルダーガーディアンの切片
item.oceansdelight.cooked_guardian_tail,Cooked Guardian Tail,調理済みのガーディアンの尾
item.oceansdelight.cooked_stuffed_cod,Cooked Stuffed Cod,焼き魚の詰め物
item.oceansdelight.cut_tentacles,Cut Tentacles,触手を切断
item.oceansdelight.elder_guardian_roll,Roll of Elder Guardian,エルダーガーディアンの巻物
item.oceansdelight.elder_guardian_slab,Slab of Elder Guardian,エルダーガーディアンのハーフブロック
item.oceansdelight.elder_guardian_slice,Slice of Elder Guardian,エレブランのスライス
item.oceansdelight.fugu_roll,Fugu Roll,フグの回転
item.oceansdelight.fugu_slice,Fugu Slice,フグのスライス
item.oceansdelight.guardian,Guardian,ガーディアン
item.oceansdelight.guardian_tail,Guardian Tail,ガーディアンテール
item.oceansdelight.honey_fried_kelp,Honey Fried Kelp,ハニーフライド・ケルプ
item.oceansdelight.seagrass_salad,Seagrass Salad,海草サラダ
item.oceansdelight.squid_rings,Squid Rings,イカリング
item.oceansdelight.stuffed_cod,Stuffed Cod,詰め込みされたカニ
item.oceansdelight.tentacle_on_a_stick,Tentacle on a Stick,棍棒に触手
item.oceansdelight.tentacles,Tentacles,触手
itemGroup.oceansdelight,Ocean's Delight,海の甘美
