key,source_text,target_text
gui.omtteam.omlib:owner,Owner,所有者
gui.omtteam.omlib:invert,Inverted,反転
gui.omtteam.omlib:active,Active,アクティブ
gui.omtteam.omlib:mode,Mode,モード
gui.omtteam.omlib:true,true,真
gui.omtteam.omlib:false,false,偽
gui.omtteam.omlib:yes,yes,はい
gui.omtteam.omlib:no,no,no
gui.omtteam.omlib:trusted_players,Trusted Players,認可されたプレイヤー
gui.omtteam.omlib:attack_mobs,Attack Mobs,モンスターを攻撃
gui.omtteam.omlib:attack_neutrals,Attack Neutrals,中立体を攻撃
gui.omtteam.omlib:attack_players,Attack Players,プレイヤーを攻撃
gui.omtteam.omlib:multi_targeting,Multi Targeting,複数ターゲット
gui.omtteam.omlib:facing,Facing,向き
item.debug_tool.name,Debug Tool,デバッグツール
gui.omtteam.omlib:base,Base,基本
gui.omtteam.omlib:inverted,Inverted,反転
gui.omtteam.omlib:noninverted,Noninverted,非反転
gui.omtteam.omlib:always_on,Always on,常に有効
gui.omtteam.omlib:always_off,Always off,常にオフ
gui.omtteam.omlib:next,Next,次へ
gui.omtteam.omlib:previous,Previous,前へ
gui.omtteam.omlib:back,Back,戻る
gui.omtteam.omlib:shift,Shift,シフト
gui.omtteam.omlib:shift_detail_start,Press,押す
gui.omtteam.omlib:shift_detail_end,for details.,詳細については。
gui.omtteam.omlib:add_trusted_player,Add trusted player,信頼プレイヤーを追加
gui.omtteam.omlib:permissions,Permissions,コロニー権限
gui.omtteam.omlib:access_level_open_gui,Open GUI,GUIを開く
gui.omtteam.omlib:access_level_change_settings,Change Settings,設定変更
gui.omtteam.omlib:access_level_admin,Admin,管理者
gui.omtteam.omlib:access_type_trusted,Trusted,許可プレイヤーのみ
gui.omtteam.omlib:access_type_owner,Owner,所有者
gui.omtteam.omlib:access_type_op,OP,OP
gui.omtteam.omlib:light_values,Light Values,光値
tooltip.omtteam.omlib:add_trusted_player,Adds the given player to the base's trusted list.,指定されたプレイヤーを基地の信頼リストに追加します。
tooltip.omtteam.omlib:remove_trusted_player,Removes player from the base's trusted player list.,プレイヤーを基地の信頼済みリストから除外します。
tooltip.omtteam.omlib:tp_none,Player cannot open GUI.,プレイヤーがGUIを開けない。
tooltip.omtteam.omlib:tp_can_open_gui,Player can open GUI.,プレイヤーはGUIを開ける。
tooltip.omtteam.omlib:tp_can_change_settings,Player can change the base's parameters.,プレイヤーはベースのパラメータを変更できる
tooltip.omtteam.omlib:tp_can_administer,Player can administer turret (trust. players and dropping).,プレイヤーはタレットを管理できます（信頼、プレイヤーとドロップ）。
tooltip.omtteam.omlib:tp_decrease_access,Decrease viewed trusted players access level.,閲覧可能な信頼済みプレイヤーのアクセスレベルを下げる。
tooltip.omtteam.omlib:tp_increase_access,Increase viewed trusted players access level.,閲覧可能な信頼済みプレイヤーのアクセスレベルを上げる。
tooltip.omtteam.omlib:tp_text_field,Name of the trusted player to add.,追加する信頼されたプレイヤーの名前。
tooltip.omtteam.omlib:info_access_level,"When a player is selected, this shows their access level.",プレイヤーが選択されたとき、アクセスレベルを表示します。
tooltip.omtteam.omlib:trusted_player_gui,Open trusted player managment GUI.,信頼されたプレイヤー管理のGUIを開きます。
