key,source_text,target_text
tile.fence_tier_one.name,Fence (Tier 1),フェンス (1段階)
tile.fence_tier_two.name,Fence (Tier 2),フェンス (2段階)
tile.fence_tier_three.name,Fence (Tier 3),フェンス (Tier 3)
tile.fence_tier_four.name,Fence (Tier 4),フェンス (Tier 4)
tile.fence_tier_five.name,Fence (Tier 5),フェンス (Tier 5)
tile.wall_tier_one.name,Hardened Wall (Tier 1),硬化壁 (レベル1)
tile.wall_tier_two.name,Hardened Wall (Tier 2),硬化壁 (レベル2)
tile.wall_tier_three.name,Hardened Wall (Tier 3),硬化壁 (レベル3)
tile.wall_tier_four.name,Hardened Wall (Tier 4),硬化壁 (レベル4)
tile.wall_tier_five.name,Hardened Wall (Tier 5),硬化壁 (レベル5)
tile.hardened_tier_one.name,Hardened Block (Tier 1),硬化ブロック（レベル1）
tile.hardened_tier_two.name,Hardened Block (Tier 2),硬化ブロック（レベル2）
tile.hardened_tier_three.name,Hardened Block (Tier 3),硬化ブロック（レベル3）
tile.hardened_tier_four.name,Hardened Block (Tier 4),硬化ブロック（レベル4）
tile.hardened_tier_five.name,Hardened Block (Tier 5),硬化ブロック（レベル5）
tile.camo_trap.name,Camouflage Trap,カモフラージュトラップ
gui.ompd:owner,Owner,所有者
itemGroup.openmodularpassivedefense,Open Modular Passive Defense,オープンモジュラー受動防御
status.ownership,"You do not own this block, or you don't have permission to do that.",あなたはこのブロックの所有者ではないか、またはその操作権限がありません。
