key,source_text,target_text
item.onlyhammersandexcavators.diamond_excavator,Diamond Excavator,ダイヤモンド・エクスカベータ
item.onlyhammersandexcavators.diamond_hammer,Diamond Hammer,ダイヤモンドハンマー
item.onlyhammersandexcavators.emerald_excavator,Emerald Excavator,エメラルド・エクスカベータ
item.onlyhammersandexcavators.emerald_hammer,Emerald Hammer,エメラルドのハンマー
item.onlyhammersandexcavators.gold_excavator,Gold Excavator,金の掘削機
item.onlyhammersandexcavators.gold_hammer,Gold Hammer,金のハンマー
item.onlyhammersandexcavators.iron_excavator,Iron Excavator,鉄の掘削機
item.onlyhammersandexcavators.iron_hammer,Iron Hammer,鉄のハンマー
item.onlyhammersandexcavators.lapis_excavator,Lapis Excavator,ラピスの掘削機
item.onlyhammersandexcavators.lapis_hammer,Lapis Hammer,ラピスのハンマー
item.onlyhammersandexcavators.netherite_excavator,Netherite Excavator,ネザーite掘削機
item.onlyhammersandexcavators.netherite_hammer,Netherite Hammer,ネザーiteハンマー
item.onlyhammersandexcavators.obsidian_excavator,Obsidian Excavator,黒曜石掘削機
item.onlyhammersandexcavators.obsidian_hammer,Obsidian Hammer,黒曜石のハンマー
item.onlyhammersandexcavators.redstone_excavator,Redstone Excavator,レッドストーン掘削機
item.onlyhammersandexcavators.redstone_hammer,Redstone Hammer,レッドストーンのハンマー
item.onlyhammersandexcavators.stone_excavator,Stone Excavator,石掘り機
item.onlyhammersandexcavators.stone_hammer,Stone Hammer,石のハンマー
item.onlyhammersandexcavators.wooden_excavator,Wooden Excavator,木製の掘削機
item.onlyhammersandexcavators.wooden_hammer,Wooden Hammer,木製のハンマー
itemGroup.onlyhammersandexcavators,Only Hammers And Excavators,ハンマーと掘削機のみ
