key,source_text,target_text
_comment,Key Binds,キーバインディング
block.overloaded.almost_infinite_barrel,Almost Infinity Barrel,ほぼ無限の樽
block.overloaded.almost_infinite_capacitor,Almost Infinity Capacitor,ほぼ無限のキャパシタ
block.overloaded.almost_infinite_tank,Almost Infinity Tank,ほぼ無限タンク
block.overloaded.creative_generator,Creative Generator,クリエイティブジェネレーター
block.overloaded.energy_extractor,Energy Extractor,エネルギー抽出器
block.overloaded.grill,Grill,グリル
block.overloaded.hyper_energy_receiver,Hyper Energy Receiver,ハイパーエネルギーレシーバー
block.overloaded.hyper_energy_sender,Hyper Energy Sender,ハイパーエネルギー送信機
block.overloaded.hyper_fluid_receiver,Hyper Fluid Receiver,ハイパー流体受信器
block.overloaded.hyper_fluid_sender,Hyper Fluid Sender,ハイパー流体送信器
block.overloaded.hyper_item_receiver,Hyper Item Receiver,ハイパーアイテム受信機
block.overloaded.hyper_item_sender,Hyper Item Sender,ハイパーアイテム送信者
block.overloaded.infinite_water_source,Infinite Water Source,無限水源
block.overloaded.instant_furnace,Instant Furnace,炉を即時使用
block.overloaded.item_interface,Item Interface,アイテムインターフェース
block.overloaded.nether_star_block,Nether Star Block,ネザー星ブロック
block.overloaded.player_interface,Player Interface,プレイヤーインターフェース
block.overloaded.true_infinite_barrel,True Infinity Barrel,真の無限バーレル
block.overloaded.true_infinite_capacitor,True Infinity Capacitor,真の無限コンデンサ
block.overloaded.true_infinite_tank,True Infinity Tank,真の無限タンク
item.overloaded.energy_core,Energy Core,エネルギーコア
item.overloaded.energy_shield,Energy Shield,エネルギーの盾
item.overloaded.fluid_core,Fluid Core,流体コア
item.overloaded.item_core,Item Core,アイテムコア
item.overloaded.linking_card,Hyper Linking Card,ハイパーリンキングカード
item.overloaded.multi_boots,Multi Boots,マルチブーツ
item.overloaded.multi_chestplate,Multi Chestplate,マルチチェストプレート
item.overloaded.multi_helmet,Multi Helmet,マルチヘルメット
item.overloaded.multi_leggings,Multi Leggings,マルチレッグス
item.overloaded.multi_tool,Multi Tool,多機能ツール
item.overloaded.railgun,Railgun,ライフル
item.overloaded.ray_gun,Ray Gun,レーザー銃
item.overloaded.settings_editor,Multi-Armor Settings Editor,マルチアーマー設定エディタ
itemGroup.Overloaded_Compressed,Overloaded Compressed Blocks,過負荷圧縮ブロック
itemGroup.Overloaded_Tech,Overloaded Tech,過負荷テクノロジー
overloaded.cat.key,Overloaded,過負荷
overloaded.key.noclip,Toggle No Clip,ノ・クリップを切り替え
overloaded.key.railgun100x,Railgun 100x Modifier,レールガン100x修飾子
tile.creative_generator.name,Creative Generator,クリエイティブジェネレーター
tile.infinite_capacitor.name,Infinity Capacitor,インフィニティキャパシタ
item.energy_shield.name,Energy Shield,エネルギーの盾
tile.infinite_barrel.name,Infinity Barrel,インフィニティバーレル
tile.infinite_tank.name,Infinity Tank,無限タンク
tile.grill.name,Grill,グリル
tile.infinite_water_source.name,Infinite Water Source,無限水源
tile.energy_extractor.name,Energy Extractor,エネルギー抽出器
tile.nether_star_block.name,Nether Star Block,ネザー星ブロック
tile.player_interface.name,Player Interface,プレイヤーインターフェース
tile.item_interface.name,Item Interface,アイテムインターフェース
item.energy_core.name,Energy Core,エネルギー核心
item.fluid_core.name,Fluid Core,液体核
item.item_core.name,Item Core,アイテムコア
item.multi_tool.name,Multi Tool,多機能ツール
item.multi_helmet.name,Multi Helmet,マルチヘルメット
item.multi_boots.name,Multi Boots,マルチブーツ
item.multi_chestplate.name,Multi Chestplate,マルチチェストプレート
item.multi_leggings.name,Multi Leggings,マルチレッグス
item.settings_editor.name,Multi-Armor Settings Editor,マルチアーマー設定エディタ
item.ray_gun.name,Ray Gun,レーザー銃
item.railgun.name,Railgun,ライフル
tile.hyper_energy_sender.name,Hyper Energy Sender,ハイパーエネルギー送信機
tile.hyper_energy_receiver.name,Hyper Energy Receiver,ハイパーエネルギー受信機
tile.hyper_item_sender.name,Hyper Item Sender,ハイパーメンバー送信機
tile.hyper_item_receiver.name,Hyper Item Receiver,ハイパーアイテム受信機
tile.hyper_fluid_sender.name,Hyper Fluid Sender,ハイパーフラウド送信器
tile.hyper_fluid_receiver.name,Hyper Fluid Receiver,ハイパーアンチフリュー受信器
item.linking_card.name,Hyper Linking Card,ハイパーリンキングカード
overloaded.cat.key.multiarmor,Overloaded Multi-Armor,過負荷マルチアーマー
text.compressed,Compressed,圧縮された
