key,source_text,target_text
a.lang.author.name,manmaed,マナメッド
a.lang.file.name,English US,英語（米国）
advancements.petrock.cook_raw_stoneium.description,Cook Raw Stoneium to Stoneium so you can also tame a PetRock,生のストニウムを石に調理して、ペットロックを飼い慣らすこともできます
advancements.petrock.cook_raw_stoneium.title,Cook Raw Stoneium,生石を調理する
advancements.petrock.get_petrock.description,You got a PetRock delivered,ペットロックを受け取りました
advancements.petrock.get_petrock.title,You Got Mail!,メールが届きました!
advancements.petrock.get_petrock_with_legs.description,Get a petrock with legs!,脚付きのペットロックを入手！
advancements.petrock.get_petrock_with_legs.title,It Has Legs,足がある
advancements.petrock.heal_a_petrock.description,Heal the PetRock! You monster!,ペットロックを治療しなさい！ 君はモンスターだ！
advancements.petrock.heal_a_petrock.title,Petrock Healing!,ペトロック治癒!
advancements.petrock.mine_stoneium.title,Mine Stoneium Ore,石鉱石を採掘する
advancements.petrock.order_form.description,Craft an Order Form so you can get a PetRock,オーダーフォームを作ってペットロックを入手しよう
advancements.petrock.order_form.title,Order a PetRock,ペットロックを注文
advancements.petrock.root.description,Install PetRock,PetRock をインストール
advancements.petrock.root.title,PetRock Advancements,ペットロック進捗
advancements.petrock.warranty_void.description,You somehow damaged your PetRock this voids its warranty!,あなたは何らかの方法でPetRockを破壊し、保証が失効しました！
advancements.petrock.warranty_void.title,Void the Warranty!,保証書無効！
block.petrock.deepslate_stoneium_ore,Deepslate Stoneium Ore,深層岩 ストニウム鉱石
block.petrock.stoneium_block,Stoneium Block,ストーンィウムブロック
block.petrock.stoneium_ore,Stoneium Ore,ストーンイウム鉱石
config.jade.plugin_petrock.petrock_stats,PetRock Stats,ペットロックのステータス
entity.petrock.mating,Petrock Mating,ペトロックの交配
entity.petrock.petrock,PetRock,ペットロック
entity.petrock.petrockwithlegs,PetRock with Legs,足付きペットロック
entity.petrock.tamed,PetRock Tamed,ペットロック（驯化済み）
item.petrock.kibble,Rock Kibble,岩の餌
item.petrock.kibble.tooltip,For PetRock consumption only!,PetRockの消費専用！
item.petrock.missingno.tooltip,§kMissingNo§r,§k欠損番号§r
item.petrock.orderform,Order Form,注文書
item.petrock.petrockbox,PetRock,ペットロック
item.petrock.petrockwithlegsbox,PetRock With Legs,足付きペットロック
item.petrock.raw_stoneium,Raw Stoneium,生のストーンイウム
item.petrock.stone_legs,Stone Legs,石の足
item.petrock.stone_legs.tooltip,Used only for crafting,クラフト専用
item.petrock.stoneium,Stoneium,ストニウム
item.petrock.ultimate_stoneium,Ultimate Stoneium,究極のストーンイウム
item.petrock.ultimate_stoneium.tooltip,Instant Taming for PetRocks,ペットロック用即時テイミング
itemGroup.petrock,PetRock,ペットロック
petrock.command.fun.anotherrunning,It seems another fun command is running please wait till that one ends or use /petrock fun stop,別の楽しいコマンドが実行中のようです。終了するまで待つか、/petrock fun stop を使用してください
petrock.command.fun.cc.failure,Petrock Chance Cubes is already running,Petrock Chance Cubes は既に実行中です。
petrock.command.fun.cc.success,Petrock Chance Cubes will start soon™,ペトロックチャンスキューブがまもなく開始します™
petrock.command.fun.cc.whatone,What version of Chance Cubes do I run?,あなたが運営しているチャンスキューブのバージョンは？
petrock.command.fun.notrunning,It seems no fun commands are running,楽しめるコマンドが実行されていないようです
petrock.command.fun.sd.failure,Petrock Self-Destruct is already running,Petrock Self-Destruct はすでに実行中です。
petrock.command.fun.sd.success,Petrock Self-Destruct will start soon™,ペトロック自爆が始まります™
petrock.command.fun.stop.success,Stopping Trolls,トロールを止める
petrock.command.iamslowpoke101.feedback,Slowpoke101 Hat Enabled!,Slowpoke101 ヘッドセット有効化!
petrock.command.reload.feedback,Hats Reloaded!,ハットを再読み込み！
petrock.command.sethat.actuallybear.success,Happy Birthday ActuallyBear!,ハッピーバースデー アクチュアルベア！
petrock.command.sethat.birthday.feedback,Birthday mode enabled!,誕生日モードが有効になりました！
petrock.command.sethat.christmas.feedback,Happy Christmas %1$s!,メリークリスマス %1$s！
petrock.command.sethat.easter.feedback,Happy Easter %1$s!,イースターパーク %1$s!
petrock.command.sethat.halloween.feedback,Happy Halloween %1$s!,ハロウィンおめでとう %1$s！
petrock.command.sethat.loneztar.success,Happy Birthday Loneztar!,ハッピーバースデー Loneztar!
petrock.command.sethat.none.feedback,Hats cleared!,帽子をクリアしました！
petrock.command.sethat.noslow.failure,No custom hat set with Slowpoke mode enabled,Slowpokeモードが有効なカスタムハットセットはありません
petrock.command.sethat.tnt.feedback,TNT mode enabled!,TNTモード有効！
petrock.entity.petrock.hat_data,Hat: %d,帽子: %d
petrock.entity.petrock.hat_data.notset,Hat Set via Event System,イベントシステム経由でヘッドセットを設定
petrock.entity.petrock.is_slowpoke,Slowpoke Mode: %d,スロー・ポークモード: %d
petrock.entity.petrock.variant,Variant: %d,変種: %d
