key,source_text,target_text
block.pickletweaks.black_cobblestone,Black Cobblestone,黒い丸石
block.pickletweaks.blue_cobblestone,Blue Cobblestone,青い丸石
block.pickletweaks.brown_cobblestone,Brown Cobblestone,茶色の丸石
block.pickletweaks.cyan_cobblestone,Cyan Cobblestone,青緑の丸石
block.pickletweaks.dark_glass,Dark Glass,ダークガラス
block.pickletweaks.gray_cobblestone,Gray Cobblestone,灰色の丸石
block.pickletweaks.green_cobblestone,Green Cobblestone,緑の丸石
block.pickletweaks.light_blue_cobblestone,Light Blue Cobblestone,空色の丸石
block.pickletweaks.light_gray_cobblestone,Light Gray Cobblestone,薄灰色の丸石
block.pickletweaks.lime_cobblestone,Lime Cobblestone,黄緑の丸石
block.pickletweaks.magenta_cobblestone,Magenta Cobblestone,赤紫の丸石
block.pickletweaks.orange_cobblestone,Orange Cobblestone,橙色の丸石
block.pickletweaks.pink_cobblestone,Pink Cobblestone,桃色の丸石
block.pickletweaks.purple_cobblestone,Purple Cobblestone,紫の丸石
block.pickletweaks.red_cobblestone,Red Cobblestone,赤い丸石
block.pickletweaks.smooth_glowstone,Smooth Glowstone,滑らかなグロウストーン
block.pickletweaks.white_cobblestone,White Cobblestone,白い丸石
block.pickletweaks.yellow_cobblestone,Yellow Cobblestone,黄の丸石
item.pickletweaks.charcoal_piece,Charcoal Piece,木炭の欠片
item.pickletweaks.coal_piece,Coal Piece,石炭の欠片
item.pickletweaks.diamond_apple,Diamond Apple,ダイヤモンドのリンゴ
item.pickletweaks.diamond_paxel,Diamond Paxel,ダイヤモンドのパクセル
item.pickletweaks.diamond_scythe,Diamond Scythe,ダイヤモンドの大鎌
item.pickletweaks.diamond_sickle,Diamond Sickle,ダイヤモンドの鎌
item.pickletweaks.emerald_apple,Emerald Apple,エメラルドりんご
item.pickletweaks.emerald_axe,Emerald Axe,エメラルド斧
item.pickletweaks.emerald_boots,Emerald Boots,エメラルドブーツ
item.pickletweaks.emerald_chestplate,Emerald Chestplate,エメラルドチェストプレート
item.pickletweaks.emerald_helmet,Emerald Helmet,エメラルドヘルメット
item.pickletweaks.emerald_hoe,Emerald Hoe,エメラルドクワ
item.pickletweaks.emerald_leggings,Emerald Leggings,エメラルドのレギンス
item.pickletweaks.emerald_paxel,Emerald Paxel,エメラルドのパクセル
item.pickletweaks.emerald_pickaxe,Emerald Pickaxe,エメラルドのツルハシ
item.pickletweaks.emerald_scythe,Emerald Scythe,エメラルドの大鎌
item.pickletweaks.emerald_shovel,Emerald Shovel,エメラルドシャベル
item.pickletweaks.emerald_sickle,Emerald Sickle,エメラルドの鎌
item.pickletweaks.emerald_sword,Emerald Sword,エメラルドの剣
item.pickletweaks.flint_axe,Flint Axe,火打石の斧
item.pickletweaks.flint_boots,Flint Boots,火打石のブーツ
item.pickletweaks.flint_chestplate,Flint Chestplate,火打石のチェストプレート
item.pickletweaks.flint_helmet,Flint Helmet,火打石のヘルメット
item.pickletweaks.flint_hoe,Flint Hoe,火打石のクワ
item.pickletweaks.flint_leggings,Flint Leggings,火打石のレギンス
item.pickletweaks.flint_paxel,Flint Paxel,火打石のパクセル
item.pickletweaks.flint_pickaxe,Flint Pickaxe,火打石のツルハシ
item.pickletweaks.flint_scythe,Flint Scythe,火打石の大鎌
item.pickletweaks.flint_shears,Flint Shears,火打石のハサミ
item.pickletweaks.flint_shovel,Flint Shovel,火打石のシャベル
item.pickletweaks.flint_sickle,Flint Sickle,火打石の鎌
item.pickletweaks.flint_sword,Flint Sword,火打石の剣
item.pickletweaks.golden_paxel,Golden Paxel,金のパクセル
item.pickletweaks.golden_scythe,Golden Scythe,金の大鎌
item.pickletweaks.golden_sickle,Golden Sickle,金製の草刈り鎌
item.pickletweaks.grass_fiber,Grass Fiber,草の繊維
item.pickletweaks.grass_fiber_mesh,Grass Fiber Mesh,草の繊維のメッシュ
item.pickletweaks.iron_paxel,Iron Paxel,鉄のパクセル
item.pickletweaks.iron_scythe,Iron Scythe,鉄の大鎌
item.pickletweaks.iron_sickle,Iron Sickle,鉄製の草刈り鎌
item.pickletweaks.magnet,Magnet,マグネット
item.pickletweaks.mesh,Mesh,メッシュ
item.pickletweaks.netherite_paxel,Netherite Paxel,ネザライトのパクセル
item.pickletweaks.netherite_scythe,Netherite Scythe,ネザライトの大鎌
item.pickletweaks.netherite_sickle,Netherite Sickle,ネザライトの鎌
item.pickletweaks.night_vision_goggles,Night Vision Goggles,暗視ゴーグル
item.pickletweaks.reinforced_mesh,Reinforced Mesh,強化されたメッシュ
item.pickletweaks.reinforced_night_vision_goggles,Reinforced Night Vision Goggles,強化された暗視ゴーグル
item.pickletweaks.reinforced_watering_can,Reinforced Watering Can,強化されたジョウロ
item.pickletweaks.stone_paxel,Stone Paxel,石のパクセル
item.pickletweaks.stone_scythe,Stone Scythe,石の大鎌
item.pickletweaks.stone_sickle,Stone Sickle,石製の草刈り鎌
item.pickletweaks.watering_can,Watering Can,ジョウロ
item.pickletweaks.wooden_paxel,Wooden Paxel,木のパクセル
item.pickletweaks.wooden_scythe,Wooden Scythe,木の大鎌
item.pickletweaks.wooden_sickle,Wooden Sickle,木製の草刈り鎌
itemGroup.pickletweaks,Pickle Tweaks,ピクルス調整
tooltip.pickletweaks.ammo,Ammo: %s,弾数：%s
tooltip.pickletweaks.broken,BROKEN,壊れています！
tooltip.pickletweaks.buff_list_item," - %s%s %s",- %s%s %s
tooltip.pickletweaks.disabled,Disabled,無効
tooltip.pickletweaks.empty,Empty,空
tooltip.pickletweaks.enabled,Enabled,有効
tooltip.pickletweaks.filled,Filled,満たす
tooltip.pickletweaks.gives_buffs,Gives Buffs,付与されるバフ
tooltip.pickletweaks.harvest_level,Harvest Level: %s,採取レベル: %s
tooltip.pickletweaks.mining_level,Mining Level: %s,採掘レベル：%s
tooltip.pickletweaks.mining_speed,Mining Speed: %s,採掘速度: %s
tooltip.pickletweaks.useless_bow_1,This bow cannot shoot anything.,この弓は何も発射できません。
tooltip.pickletweaks.useless_hoe_1,This hoe cannot till anything.,この道具は何も耕せません。
tooltip.pickletweaks.useless_tool_1,This tool cannot mine anything.,この道具は何も採掘できません。
tooltip.pickletweaks.useless_tool_2,It can only be used for crafting.,クラフトにのみ使用できます。
tooltip.pickletweaks.useless_weapon_1,This weapon cannot hurt anything.,この武器はダメージを与えることができません。
tooltip.pickletweaks.your_item_is_broken,Your %s is broken!,%sは壊れています！
tile.pt.colored_cobblestone_white.name,White Cobblestone,白い丸石
tile.pt.colored_cobblestone_orange.name,Orange Cobblestone,橙色の丸石
tile.pt.colored_cobblestone_magenta.name,Magenta Cobblestone,赤紫の丸石
tile.pt.colored_cobblestone_lightBlue.name,Light Blue Cobblestone,空色の丸石
tile.pt.colored_cobblestone_yellow.name,Yellow Cobblestone,黄の丸石
tile.pt.colored_cobblestone_lime.name,Lime Cobblestone,黄緑の丸石
tile.pt.colored_cobblestone_pink.name,Pink Cobblestone,桃色の丸石
tile.pt.colored_cobblestone_gray.name,Gray Cobblestone,灰色の丸石
tile.pt.colored_cobblestone_silver.name,Light Gray Cobblestone,薄灰色の丸石
tile.pt.colored_cobblestone_cyan.name,Cyan Cobblestone,青緑の丸石
tile.pt.colored_cobblestone_purple.name,Purple Cobblestone,紫の丸石
tile.pt.colored_cobblestone_blue.name,Blue Cobblestone,青い丸石
tile.pt.colored_cobblestone_brown.name,Brown Cobblestone,茶色の丸石
tile.pt.colored_cobblestone_green.name,Green Cobblestone,緑の丸石
tile.pt.colored_cobblestone_red.name,Red Cobblestone,赤い丸石
tile.pt.colored_cobblestone_black.name,Black Cobblestone,黒い丸石
tile.pt.dark_glass.name,Dark Glass,ダークガラス
item.pt.coal_piece_coal.name,Coal Piece,石炭の欠片
item.pt.coal_piece_charcoal.name,Charcoal Piece,木炭の欠片
item.pt.diamond_apple.name,Diamond Apple,ダイヤモンドのリンゴ
item.pt.emerald_apple.name,Emerald Apple,エメラルドりんご
item.pt.watering_can.name,Watering Can,ジョウロ
item.pt.hammer.name,Hammer,ハンマー
item.pt.grass_fiber.name,Grass Fiber,草の繊維
item.pt.grass_fiber_mesh.name,Grass Fiber Mesh,草の繊維のメッシュ
item.pt.mesh.name,Mesh,メッシュ
item.pt.reinforced_mesh.name,Reinforced Mesh,強化されたメッシュ
item.pt.magnet.name,Magnet,マグネット
item.pt.nightvision_goggles.name,Night Vision Goggles,暗視ゴーグル
item.pt.nightvision_goggles_c.name,Compressed Night Vision Goggles,圧縮夜間視覚ゴーグル
item.pt.mortar_and_pestle.name,Mortar and Pestle,乳鉢と乳棒
item.pt.repair_kit.name,Repair Kit,リペアキット
item.pt.reinforcement.name,Reinforcement,補強
item.pt.dye_powder_white.name,White Dye Powder,白染料粉末
item.pt.dye_powder_orange.name,Orange Dye Powder,橙染料粉末
item.pt.dye_powder_magenta.name,Magenta Dye Powder,赤紫染料粉
item.pt.dye_powder_lightBlue.name,Light Blue Dye Powder,空色染料粉
item.pt.dye_powder_yellow.name,Yellow Dye Powder,黄染料粉末
item.pt.dye_powder_lime.name,Lime Dye Powder,黄緑染料粉
item.pt.dye_powder_pink.name,Pink Dye Powder,桃色染料粉
item.pt.dye_powder_gray.name,Gray Dye Powder,グレイ染料粉
item.pt.dye_powder_silver.name,Light Gray Dye Powder,ライトグレイ染料粉
item.pt.dye_powder_cyan.name,Cyan Dye Powder,青緑染料粉
item.pt.dye_powder_purple.name,Purple Dye Powder,紫色染料粉末
item.pt.dye_powder_blue.name,Blue Dye Powder,ブルー染料粉
item.pt.dye_powder_brown.name,Brown Dye Powder,茶色染料粉末
item.pt.dye_powder_green.name,Green Dye Powder,緑染料粉末
item.pt.dye_powder_red.name,Red Dye Powder,赤い染料粉末
item.pt.dye_powder_black.name,Black Dye Powder,黒染料粉末
item.pt.wooden_paxel.name,Wooden Paxel,木のパクセル
item.pt.stone_paxel.name,Stone Paxel,石のパクセル
item.pt.iron_paxel.name,Iron Paxel,鉄のパクセル
item.pt.golden_paxel.name,Golden Paxel,金のパクセル
item.pt.diamond_paxel.name,Diamond Paxel,ダイヤモンドのパクセル
item.pt.aluminum_paxel.name,Aluminum Paxel,アルミニウムパクセル
item.pt.copper_paxel.name,Copper Paxel,銅のパクセル
item.pt.tin_paxel.name,Tin Paxel,スズのパクセル
item.pt.bronze_paxel.name,Bronze Paxel,青銅のパクセル
item.pt.lead_paxel.name,Lead Paxel,鉛のツルハシ
item.pt.silver_paxel.name,Silver Paxel,銀のパクセル
item.pt.nickel_paxel.name,Nickel Paxel,ニッケルパクセル
item.pt.invar_paxel.name,Invar Paxel,インバーパクセル
item.pt.constantan_paxel.name,Constantan Paxel,コンスタントアンパクセル
item.pt.electrum_paxel.name,Electrum Paxel,エレクトラムパクセル
item.pt.steel_paxel.name,Steel Paxel,鋼鉄のパクセル
item.pt.platinum_paxel.name,Platinum Paxel,プラチナパクセル
item.pt.flint_sword.name,Flint Sword,火打石の剣
item.pt.flint_pickaxe.name,Flint Pickaxe,火打石のツルハシ
item.pt.flint_shovel.name,Flint Shovel,火打石のシャベル
item.pt.flint_axe.name,Flint Axe,火打石の斧
item.pt.flint_hoe.name,Flint Hoe,火打石のクワ
item.pt.flint_paxel.name,Flint Paxel,火打石のパクセル
item.pt.flint_shears.name,Flint Shears,火打石のハサミ
item.pt.coin_wooden.name,Wooden Coin,木製コイン
item.pt.coin_stone.name,Stone Coin,石幣
item.pt.coin_iron.name,Iron Coin,鉄のコイン
item.pt.coin_gold.name,Gold Coin,金貨
item.pt.coin_diamond.name,Diamond Coin,ダイヤモンドコイン
item.pt.coin_emerald.name,Emerald Coin,エメラルドコイン
item.pt.ppm4_info.name,Information,情報
item.pt.ppm4_monkas.name,monkaS,
item.pt.ppm4_paperclip.name,Paper Clip,紙クリップ
item.pt.copper_sword.name,Copper Sword,銅の剣
item.pt.copper_pickaxe.name,Copper Pickaxe,銅のツルハシ
item.pt.copper_shovel.name,Copper Shovel,銅のシャベル
item.pt.copper_axe.name,Copper Axe,銅の斧
item.pt.copper_hoe.name,Copper Hoe,銅のクワ
item.pt.bronze_sword.name,Bronze Sword,青銅の剣
item.pt.bronze_pickaxe.name,Bronze Pickaxe,青銅のツルハシ
item.pt.bronze_shovel.name,Bronze Shovel,青銅のシャベル
item.pt.bronze_axe.name,Bronze Axe,青銅の斧
item.pt.bronze_hoe.name,Bronze Hoe,青銅のクワ
kit.pt.dummy,Dummy,ダミー
kit.pt.wood,Wood,木
kit.pt.stone,Stone,石
kit.pt.iron,Iron,鉄
kit.pt.gold,Gold,金
kit.pt.diamond,Diamond,ダイヤモンド
kit.pt.flint,Flint,火打石
kit.pt.aluminum,Aluminum,アルミニウム
kit.pt.copper,Copper,銅
kit.pt.tin,Tin,スズ
kit.pt.bronze,Bronze,青銅
kit.pt.lead,Lead,鉛
kit.pt.silver,Silver,銀
kit.pt.nickel,Nickel,ニッケル
kit.pt.invar,Invar,インバー
kit.pt.constantan,Constantan,コンスタナ
kit.pt.electrum,Electrum,エレクトルム
kit.pt.steel,Steel,鋼鉄
kit.pt.platinum,Platinum,プラチナ
tooltip.pt.uses_left,Uses Left:,使用残数:
tooltip.pt.hold_shift_for_info,Hold §e§oSHIFT §r§7for info.,§e§oSHIFT§r§7で情報を表示
tooltip.pt.mining_level,Mining Level:,採掘レベル：
tooltip.pt.mining_speed,Mining Speed:,採掘速度：
tooltip.pt.durability,Durability:,耐久値:
tooltip.pt.blocks_broken,Blocks Broken:,破壊されたブロック数:
tooltip.pt.ammo,Ammo:,弾: 
tooltip.pt.attack_damage,Attack Damage:,攻撃ダメージ:
tooltip.pt.enemies_killed,Enemies Killed:,倒した敵数:
tooltip.pt.damage_dealt,Damage Dealt:,与えたダメージ:
tooltip.pt.blocks_tilled,Blocks Tilled:,耕されたブロック数:
tooltip.pt.harvest_level,Harvest Level:,収穫レベル:
tooltip.pt.gives_buffs,Gives Buffs:,付与されるバフ
tooltip.pt.broken,BROKEN,壊れています！
tooltip.useless_tool_1,This tool cannot mine anything.,この道具は何も採掘できません。
tooltip.useless_hoe_1,This hoe cannot till anything.,この道具は何も耕せません。
tooltip.useless_weapon_1,This weapon cannot hurt anything.,この武器はダメージを与えることができません。
tooltip.useless_tool_2,It can only be used for crafting.,クラフトにのみ使用できます。
tooltip.blocks_broken,Blocks Broken,破壊されたブロック数
tooltip.kills,Kills,キル数
tooltip.blocks_tilled,Blocks Tilled,耕されたブロック数
tooltip.pt.empty,Empty,空
tooltip.pt.filled,Filled,満たす
tooltip.pt.disabled,Disabled,無効
tooltip.pt.enabled,Enabled,有効
tooltip.pt.unbreakable,Unbreakable,壊れない
tooltip.pt.reinforce,Reinforce Value: %s,強化値: %s
tooltip.pt.reinforced,Reinforced (%s/%s),強化中 (%s/%s)
desc.item.pt.coal_piece,Cooks a single item. Allows for more efficient fuel use when cooking anything in a Furnace.,単品アイテムを調理します。炉で何かを調理する際に燃料の効率が向上します。
desc.item.pt.charcoal_piece,Cooks a single item. Allows for more efficient fuel use when cooking anything in a Furnace.,単品アイテムを調理します。炉で何かを調理する際に燃料の効率が向上します。
desc.item.pt.diamond_apple,"Gives the same effects as a tier 2 Golden Apple. \n\nDifferences being it gives more Absorption, and the effects have a shorter duration. \n\nAs an added bonus, you can eat multiple of these and have the buff durations stack.","Tier 2のゴールデンアップルと同じ効果を付与します。

異なる点は、より多くの吸収を付与し、効果の継続時間がより短いことです。

ボーナスとして、複数個食べることができ、バフの継続時間がスタックします。"
desc.item.pt.emerald_apple,"Gives the same effects as the Diamond Apple. \n\nDifferences being the stats are higher level, last longer, and you also get Strength. \n\nAs an added bonus, you can eat multiple of these and have the buff durations stack.","ダイヤモンドアップルと同じ効果を付与します。

異なる点は、ステータスがより高いレベルで、持続時間が長く、さらに力も得られることです。

ボーナスとして、複数個食べることができ、バフの継続時間がスタックします。"
desc.item.pt.watering_can,Increases the growth rate of plants in a 3x3 area. \n\nCan also be used to moisten Farmland and spread Grass/Mycelium.,"3x3エリア内の植物の成長速度を上昇させます。

農地を湿らせたり、草/菌糸を広げるのにも使用できます。"
desc.item.pt.magnet,Sucks in items and experience within a certain radius to you.,一定半径内のアイテムと経験値を吸い込んであなたに送ります。
desc.item.pt.nightvision_goggles,Allows the wearer to see clearly in the dark.,装着者が暗闇で明瞭に見えるようにします。
